SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_B100000105	TARA_20100309Z	TARA_039	TARA_20100318T1133Z_039_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.386281	0.498761	0.57099	0.741752	0.595296	0.51759	NA	NA	NA	NA	NA	NA	NA
TARA_B100002029	TARA_20120314Z	TARA_152	TARA_20120319T1848Z_152_EVENT_CAST	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001179	TARA_20120314Z	TARA_152	TARA_20120319T1502Z_152_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.542868	0.593537	0.531123	0.559559	0.693857	0.574202	6000.363223	6008.994291	6.774179828	3626.07	7.209366768	19541	0.729673172
TARA_B100001173	TARA_20120314Z	TARA_152	TARA_20120319T0818Z_152_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.542868	0.593537	0.531123	0.559559	0.693857	0.574202	4331.365456	4176.869955	6.821128944	3084.24	7.183301526	14842.8	0.747850224
TARA_B100001559	TARA_20120223Z	TARA_151	TARA_20120309T1745Z_151_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.414522	0.652942	0.21194	0.53449	0.844305	0.585611	5286.141793	5034.149686	6.940453083	3598.85	7.163827809	17700.9	0.732395269
TARA_B100001564	TARA_20120223Z	TARA_151	TARA_20120309T0859Z_151_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.414522	0.652942	0.21194	0.53449	0.844305	0.585611	4020.600387	3876.811074	6.781088813	2821.83	7.119164683	14771.9	0.741542746
TARA_B100001778	TARA_20120223Z	TARA_150	TARA_20120305T1734Z_150_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.243874	0.578519	0.360266	0.637686	0.745227	0.619626	4224.929725	4039.500295	6.754542143	2919.16	7.216137911	17443.7	0.738848782
TARA_B100001769	TARA_20120223Z	TARA_150	TARA_20120305T0925Z_150_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.243874	0.578519	0.360266	0.637686	0.745227	0.619626	4161.155167	3971.400089	6.777680429	2918.03	7.132661527	14688.2	0.743388576
TARA_B100001765	TARA_20120223Z	TARA_149	TARA_20120301T1853Z_149_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.300514	0.833271	0.015926	0.621283	0.614053	0.556866	6108.653109	6073.607068	6.783395287	3643.06	7.161008963	19184.7	0.72613114
TARA_B100001758	TARA_20120223Z	TARA_149	TARA_20120301T1048Z_149_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.300514	0.833271	0.015926	0.621283	0.614053	0.556866	4325.011918	4068.913067	6.711311234	2962.47	7.144286467	15145.5	0.742228822
