SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite	Nitrite_1	Nitrite_2	Nitrite_3	Nitrite_4	Phosphate	Phosphate_1	Phosphate_2	Phosphate_3	Phosphate_4	Nitrate and Nitrite	Nitrate and Nitrite_1	Nitrate and Nitrite_2	Nitrate and Nitrite_3	Nitrate and Nitrite_4	Silicate	Silicate_1	Silicate_2	Silicate_3	Silicate_4
TARA_B100000105	SAMEA2620084	ERS488919	TARA_039	TARA_20100318T1133Z_039_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	25	23	27	1.6	20	TARA_039_DCM_1.6-20	SEQ-(100L)_W1.6-20	TARA_20100318T1133Z_039_EVENT_PUMP_DCM_(25m)_SEQ-(100L)_W1.6-20_B100000105	"tara_20100318t0956z_039_event_cast,tara_20100318t0441z_039_event_cast,tara_20100320t0817z_039_event_cast"	2.0758-18.8401	P00DT01H40M	2	0.005	0.005	0.011	0.017	0.017	0.231	0.231	0.2465	0.262	0.262	0.042	0.042	0.0675	0.093	0.093	1.208	1.208	1.2415	1.275	1.275
TARA_B100002029	SAMEA2623919	ERS494628	TARA_152	TARA_20120319T1848Z_152_EVENT_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	NA	5	160	0.22	3	TARA_152_MIX_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120319T1848Z_152_EVENT_CAST_MIX_(5-160m)_SEQ-(100L)_W0.22-3_B100002029	"tara_20120319t1043z_152_event_cast,tara_20120319t0817z_152_event_cast"	9.9424-11.4296	P00DT08H03M	9	0.163	0.309375	0.328	0.333125	0.336	0.158	0.161	0.167	0.179875	0.2605	2.159	2.2495	2.2845	2.603375	4.196	1.236	1.279	1.32	1.364625	1.6455
TARA_B100001179	SAMEA2623907	ERS494616	TARA_152	TARA_20120319T1502Z_152_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	790	808	0.22	3	TARA_152_MES_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120319T1502Z_152_Combined-EVENTS_CAST_MES_(800m)_SEQ-(100L)_W0.22-3_B100001179	"tara_20120319t1043z_152_event_cast,tara_20120319t0817z_152_event_cast"	3.7567-5.2802	P00DT04H16M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001173	SAMEA2623886	ERS494579	TARA_152	TARA_20120319T0818Z_152_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_152_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120319T0818Z_152_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B100001173	"tara_20120319t0817z_152_event_cast,tara_20120319t1043z_152_event_cast"	0.036588-1.6623	P00DT00H02M	1	0.3105	0.3105	0.3105	0.3105	0.3105	0.1595	0.1595	0.1595	0.1595	0.1595	2.159	2.159	2.159	2.159	2.159	1.236	1.236	1.236	1.236	1.236
TARA_B100001559	SAMEA2623868	ERS494559	TARA_151	TARA_20120309T1745Z_151_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	70	88	0.22	3	TARA_151_DCM_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120309T1745Z_151_Combined-EVENTS_CAST_DCM_(80m)_SEQ-(100L)_W0.22-3_B100001559	"tara_20120309t1352z_151_event_cast,tara_20120309t1016z_151_event_cast"	4.855-7.0127	P00DT03H53M	2	0.011	0.011	0.0415	0.072	0.072	0.0135	0.0135	0.022	0.0305	0.0305	0.046	0.046	0.142	0.238	0.238	0.6315	0.6315	0.6335	0.6355	0.6355
TARA_B100001564	SAMEA2623850	ERS494518	TARA_151	TARA_20120309T0859Z_151_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_151_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120309T0859Z_151_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100001564	"tara_20120309t1016z_151_event_cast,tara_20120309t1352z_151_event_cast"	2.1579-8.7593	P00DT01H14M	1	0.019	0.019	0.019	0.019	0.019	0.0125	0.0125	0.0125	0.0125	0.0125	NA	NA	NA	NA	NA	0.6545	0.6545	0.6545	0.6545	0.6545
TARA_B100001778	SAMEA2623826	ERS494488	TARA_150	TARA_20120305T1734Z_150_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	0.22	3	TARA_150_DCM_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120305T1734Z_150_EVENT_PUMP_DCM_(40m)_SEQ-(100L)_W0.22-3_B100001778	"tara_20120305t1406z_150_event_cast,tara_20120305t2135z_150_event_cast"	2.3048-13.6719	P00DT03H30M	3	0.0395	0.039625	0.04	0.04	0.04	0	0	0	0	0	0.1595	0.16325	0.1745	0.206	0.2165	0.8378	0.838925	0.8423	0.85355	0.8573
TARA_B100001769	SAMEA2623808	ERS494445	TARA_150	TARA_20120305T0925Z_150_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_150_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120305T0925Z_150_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100001769	"tara_20120305t1406z_150_event_cast,tara_20120305t2135z_150_event_cast"	14.7093-30.5057	P00DT04H38M	1	0.0355	0.0355	0.0355	0.0355	0.0355	0.0055	0.0055	0.0055	0.0055	0.0055	0.1695	0.1695	0.1695	0.1695	0.1695	0.8358	0.8358	0.8358	0.8358	0.8358
TARA_B100001765	SAMEA2623794	ERS494431	TARA_149	TARA_20120301T1853Z_149_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	740	732	750	0.22	3	TARA_149_MES_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120301T1853Z_149_Combined-EVENTS_CAST_MES_(740m)_SEQ-(10L-or-15min)_W0.22-3_B100001765	"tara_20120301t1853z_149_event_cast,tara_20120301t1547z_149_event_cast,tara_20120301t1156z_149_event_cast"	0.001534-6.5546	P00DT00H00M	2	0.00725	0.00725	0.00725	0.00725	0.00725	1.34475	1.34475	1.34475	1.34475	1.34475	20.924	20.924	20.924	20.924	20.924	NA	NA	NA	NA	NA
TARA_B100001758	SAMEA2623774	ERS494394	TARA_149	TARA_20120301T1048Z_149_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_149_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120301T1048Z_149_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100001758	"tara_20120301t1156z_149_event_cast,tara_20120301t1547z_149_event_cast,tara_20120301t1853z_149_event_cast"	3.1453-11.9242	P00DT01H07M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
