Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	Kd490 AMODIS at the sampling date	Kd490 AMODIS 8 days period	Kd490 AMODIS 30 days period	Kd490 GlobColour 8 days period	Kd490 GlobColour 30 days period	bbp470 8 days period	acCDOM 8 days period	"Kd(PAR) 30 days avg, eq.9"	"Kd(PAR) 30 days avg, eq.9'"	z(SD)	z(eu) GlobColour 8 days period	z(eu) Secchi Disk and AMODIS	z(eu) AMODIS 30 days avg from Kd(PAR)1	z(eu) AMODIS 30 days avg from Kd(PAR)2	UMLD from sigma theta	UMLD from temperature	Depth chl max 	Depth max Brunt Vaisala freq 	Depth max O2 	Depth min O2 	Depth nitracline 	Temp at depth 10m	Temp at the base of euphotic zone - Kd(PAR)1	Temp at the base of euphotic zone - Kd(PAR)2	Temp at the base of mixed layer - sigma theta	Temp at the depth of mixed layer - temperature	Temp at depth chl max	Temp at depth of max Brunt Vaisala freq	Temp at depth of max oxygent concentration	Temp at depth of min oxygent concentration	Temp at depth of nitracline	Sal at depth 10m	Sal at the base of euphotic zone - Kd(PAR)1	Sal at the base of euphotic zone - Kd(PAR)2	Sal at the base of mixed layer - sigma theta	Sal at the depth of mixed layer - Salerature	Sal at depth chl max	Sal at depth of max Brunt Vaisala freq	Sal at depth of max oxygent concentration	Sal at depth of min oxygent concentration	Sal at depth of nitracline	Sigma-theta at depth 10m	Sigma-theta at the base of euphotic zone - Kd(PAR)1	Sigma-theta at the base of euphotic zone - Kd(PAR)2	Sigma-theta at the base of mixed layer - sigma theta	Sigma-theta at the depth of mixed layer - Sigma-thetaerature	Sigma-theta at depth chl max	Sigma-theta at depth of max Brunt VaiSigma-thetaa freq	Sigma-theta at depth of max oxygent concentration	Sigma-theta at depth of min oxygent concentration	Sigma-theta at depth of nitracline	N**2 at depth 10m	N**2 at the base of euphotic zone - Kd(PAR)1	N**2 at the base of euphotic zone - Kd(PAR)2	N**2 at the base of mixed layer - sigma theta	N**2 at the depth of mixed layer - N**2erature	N**2 at depth chl max	N**2 at depth of max Brunt VaiN**2a freq	N**2 at depth of max oxygent concentration	N**2 at depth of min oxygent concentration	N**2 at depth of nitracline	Chl a at depth 10m	Chl a at the base of euphotic zone - Kd(PAR)1	Chl a at the base of euphotic zoChl a	Chl a at the base of mixed layer - sigma theta	Chl a at the depth of mixed layer - Chl aerature	Chl a at depth chl max	Chl a at depth of max BruChl aa freq	Chl a at depth of max oxygent concentration	Chl a at depth of min oxygent concentration	Chl a at depth of nitracline	Oxygen at depth 10m	Oxygen at the base of euphotic zone - Kd(PAR)1	Oxygen at the base of euphotic zoOxygen	Oxygen at the base of mixed layer - sigma theta	Oxygen at the depth of mixed layer - Oxygenerature	Oxygen at depth chl max	Oxygen at depth of max BruOxygena freq	Oxygen at depth of max oxygent concentration	Oxygen at depth of min oxygent concentration	Oxygen at depth of nitracline	NO3- at depth 10m	NO3- at the base of euphotic zone - Kd(PAR)1	NO3- at the base of euphotic zoNO3-	NO3- at the base of mixed layer - sigma theta	NO3- at the depth of mixed layer - NO3-erature	NO3- at depth chl max	NO3- at depth of max BruNO3-a freq	NO3- at depth of max NO3-t concentration	NO3- at depth of min NO3-t concentration	NO3- at depth of nitracline
TARA_20120319T1848Z_152_EVENT_CAST	SV Tara	TARA_20120314Z	TARA_152	Rosette Vertical Sampling System	3/19/12 18:46	43.7684	-16.9047	NA	NA	0.068694	0.054664318	0.077205669	0.001734799	0.022001993	0.127181978	0.108924208	23	58.4850502	72	32	37	172	158	13	235	13	525	525	14.3568	14.3417	14.3398	13.9315	14.1997	14.3568	13.1784	14.3568	11.7615	11.7615	36.1736	36.1724	36.1727	36.0864	36.1404	36.1735	35.9723	36.1735	35.8085	35.8085	26.8906	26.8936	26.8944	26.9193	26.9035	26.8907	26.9892	26.8907	27.1482	27.1482	1.45E-07	6.82E-06	1.11E-06	1.10E-05	8.19E-06	3.02E-07	5.36E-06	3.02E-07	1.43E-05	1.43E-05	0.29645	0.29645	0.29645	0.040949	0.16563	0.29645	0	0.29645	0	0	242.0498	240.2607	240.8338	233.7957	236.0203	241.2457	216.7738	241.2457	211.9724	211.9724	4.0332	3.208	4.4824	5.6433	4.3337	3.8309	9.0642	3.8309	11.6296	11.6296
TARA_20100318T1133Z_039_EVENT_PUMP	SV Tara	TARA_20100309Z	TARA_039	High Volume Peristaltic Pump	3/18/10 11:33	18.5839	66.4727	NA	0.05383	0.049063	0.056218026	0.078775376	0.001472789	0.030924862	0.10184841	0.084718893	NA	55.2857132	NA	46	56	13	26	41	3	13	480	124	27.0047	25.7243	25.6165	26.9402	26.8169	26.2665	27.4103	26.9402	12.7161	23.2649	36.464	36.6116	36.7782	36.4699	36.5136	36.6819	36.4517	36.4699	35.8878	36.4932	23.692	24.2109	24.3704	23.7175	23.7907	24.0931	23.5514	23.7175	27.0238	24.8696	6.40E-05	0.00025783	6.15E-05	6.23E-05	3.55E-05	0.00028544	NA	6.23E-05	NA	0.00020562	0.094131	0.5466	0.44474	0.11356	0.1792	0.5634	NA	0.11356	0	0.010389	193.3707	188.0978	183.845	193.4209	192.6607	164.101	192.0858	193.4209	2.6984	69.3795	-0.12619	3.6081	-0.20597	-0.82003	-0.8158	-0.51273	-0.3358	-0.82003	28.0497	14.0643
TARA_20120319T1502Z_152_Combined-EVENTS_CAST	SV Tara	TARA_20120314Z	TARA_152	Rosette Vertical Sampling System	3/19/12 14:59	43.7182	-16.8714	NA	0.0534	0.0652	0.055665169	0.079138741	0.001358631	0.025040014	0.12302453	0.104926518	23	56.7079277	74	34	40	162	138	24	922	13	883	922	14.3291	14.3098	14.3099	13.8479	14.1548	14.3139	9.9375	14.3322	10.12	9.9375	36.1629	36.1623	36.1622	36.0605	36.1232	36.1624	35.8522	36.1631	35.8517	35.8522	26.8884	26.8929	26.893	26.9166	26.8992	26.8917	27.5181	26.888	27.4858	27.5181	1.58E-06	4.37E-07	6.25E-07	3.19E-05	3.21E-05	2.20E-06	3.82E-05	3.15E-06	7.09E-06	3.82E-05	0.28338	0.35965	0.35316	0.040949	0.13107	0.35965	0	0.28496	0	0	243.1371	242.2799	241.9978	234.4086	236.7236	241.9681	175.251	242.8537	174.7779	175.251	1.8714	2.7724	1.3633	2.9173	2.7777	0.85598	16.2063	0.98098	18.6877	16.2063
TARA_20120319T0818Z_152_EVENT_PUMP	SV Tara	TARA_20120314Z	TARA_152	High Volume Peristaltic Pump	3/19/12 8:18	43.6792	-16.8344	NA	NA	0.066961	0.050046725	0.074226141	0.001310127	0.023576794	0.125133853	0.106953694	23	61.41801834	73	33	38	156	144	26	505	14	523	521	14.2762	14.2668	14.2669	13.8355	14.118	14.2699	11.6852	14.2768	11.6137	11.6242	36.1548	36.1531	36.1535	36.065	36.1202	36.154	35.7902	36.1546	35.78	35.7817	26.8935	26.895	26.8954	26.9225	26.9049	26.8948	27.148	26.8933	27.1539	27.1532	3.30E-08	NA	9.82E-07	1.75E-05	1.56E-05	7.95E-07	1.65E-05	1.80E-07	1.96E-06	4.17E-06	0.28258	0.37317	0.35965	0.040949	0.19743	0.37453	0	0.31422	0	0	243.2576	241.5806	241.7805	232.8326	234.8833	242.3563	214.6277	242.1163	213.5179	213.6573	2.4254	1.6366	1.4294	3.5761	1.7997	1.663	11.3382	3.3527	11.1721	9.6127
TARA_20120309T1745Z_151_Combined-EVENTS_CAST	SV Tara	TARA_20120223Z	TARA_151	Rosette Vertical Sampling System	3/9/12 17:42	36.1811	-28.9373	NA	0.035668	0.035391	0.040747369	0.056266215	0.000843367	0.020727045	0.078975237	0.063242251	28	75.1440773	89	55	69	40	48	68	108	52	170	108	17.3242	17.0016	16.9623	17.1924	17.1338	16.9691	16.043	17.0538	14.3377	16.043	36.4007	36.3982	36.3918	36.396	36.4066	36.3929	36.2735	36.4057	36.1179	36.2735	26.3847	26.4624	26.4675	26.4142	26.4367	26.4666	26.5944	26.4555	26.8571	26.5944	1.71E-06	4.23E-06	8.27E-06	7.95E-06	4.28E-05	3.10E-07	0.00013415	2.18E-05	2.98E-05	0.00013415	0.042317	0.2622	0.32296	0.10446	0.1244	0.31588	0.091086	0.21695	0	0.091086	232.8559	233.9442	233.0802	232.9548	233.854	233.0293	216.528	233.4173	206.1086	216.528	-0.69764	1.0425	-0.031929	-0.20444	1.2775	0.87027	4.428	0.26866	8.8785	4.428
TARA_20120309T0859Z_151_EVENT_PUMP	SV Tara	TARA_20120223Z	TARA_151	High Volume Peristaltic Pump	3/9/12 8:59	36.1715	-29.023	NA	NA	0.036282	0.038789766	0.055071572	0.000656307	0.020670944	0.080713517	0.064860598	28	78.73788834	91	56	69	54	56	68	118	14	699	993	17.2724	17.0532	16.8683	17.2108	17.0882	16.8728	15.7432	17.264	9.6666	8.1832	36.4129	36.4001	36.3742	36.4248	36.4105	36.3749	36.2398	36.4103	35.6567	35.695	26.4065	26.4515	26.4765	26.4322	26.451	26.4759	26.6378	26.4067	27.4068	27.6781	3.55E-07	3.97E-05	3.37E-06	7.21E-05	4.24E-05	1.76E-06	0.00012044	4.85E-07	2.07E-05	1.72E-06	0.044205	0.15509	0.19743	0.11119	0.14757	0.19743	0.063583	0.064179	0	0	231.3238	231.5059	231.07	231.999	231.5238	231.6551	214.2422	231.9525	178.6072	188.8039	1.5534	0.76807	-1.2315	-0.043832	-0.52561	0.32722	3.9151	0.62721	17.1419	18.7913
TARA_20120305T1734Z_150_EVENT_PUMP	SV Tara	TARA_20120223Z	TARA_150	High Volume Peristaltic Pump	3/5/12 17:34	35.8427	-37.1526	NA	0.051769	0.044777	0.052444309	0.0719379	0.001349442	0.027109537	0.095386803	0.078612296	18	59.02894211	65	46	56	58	61	48	105	13	547	129	17.706	17.6459	17.5961	17.5688	17.5236	17.6442	17.0298	17.7066	11.3472	16.8311	36.4122	36.4106	36.405	36.4018	36.3965	36.4103	36.4011	36.4121	35.6671	36.4645	26.3001	26.3152	26.3236	26.3278	26.335	26.3155	26.4598	26.3001	27.1166	26.5567	7.39E-07	1.83E-06	3.43E-05	3.57E-05	3.65E-05	2.58E-06	4.75E-05	2.14E-07	2.33E-05	9.01E-05	0.32158	0.3697	0.38857	0.37578	0.33396	0.37014	0.049225	0.32149	0	0.0045134	230.627	230.0006	228.1829	228.1044	227.7081	230.4653	211.848	230.1985	163.1707	198.4594	0.14185	1.5709	1.5824	0.42582	1.3979	0.97326	2.7	0.63822	18.0824	4.9902
TARA_20120305T0925Z_150_EVENT_PUMP	SV Tara	TARA_20120223Z	TARA_150	High Volume Peristaltic Pump	3/5/12 9:25	35.9346	-37.3032	NA	0.05005	0.052811	0.046053849	0.063216332	0.00089522	0.024301537	0.107143359	0.089744921	18	66.59635925	66	41	50	75	77	33	92	15	632	90	17.5817	17.583	17.5825	17.4158	17.3954	17.5789	17.0478	17.5828	9.9778	17.0786	36.4837	36.4837	36.4834	36.466	36.4619	36.483	36.4721	36.4837	35.5462	36.4711	26.3852	26.3862	26.3865	26.4149	26.4168	26.3864	26.5092	26.3851	27.2671	26.501	1.97E-07	3.13E-07	4.33E-07	4.22E-05	8.46E-06	1.31E-07	4.73E-05	2.48E-07	3.92E-06	NA	0.22332	0.31035	0.31035	0.19743	0.18188	0.31035	0.066985	0.26183	0.0079543	0.066985	228.7737	228.1596	227.5091	222.503	222.2958	228.25	204.3081	228.3384	169.6241	205.0074	-2.4639	-0.84621	0.43202	-1.0839	0.78611	-2.5696	2.5581	-0.012623	17.5292	1.5724
TARA_20120301T1853Z_149_Combined-EVENTS_CAST	SV Tara	TARA_20120223Z	TARA_149	Rosette Vertical Sampling System	3/1/12 18:50	34.0771	-49.8233	0.049673	0.049673	0.047481	0.051829288	0.071800623	0.000959259	0.027054391	0.099519557	0.082514516	23	59.31817627	77	44	53	73	150	28	150	14	750	878	18.8278	18.7451	18.7386	18.7779	18.6622	18.7339	18.6622	18.752	10.2406	8.0183	36.5795	36.585	36.5845	36.5978	36.7132	36.5792	36.7132	36.5727	35.5044	35.3397	26.146	26.1729	26.1746	26.1756	26.2965	26.1706	26.2965	26.1604	27.1922	27.423	9.54E-05	2.99E-07	6.53E-07	4.07E-06	6.26E-05	3.01E-06	6.26E-05	3.24E-06	2.67E-05	2.25E-06	0.23933	0.32296	0.29645	0.22713	0.040949	0.34759	0.040949	0.2604	0.0065088	0	220.5331	219.5612	218.4433	218.0712	187.8412	220.5015	187.8412	221.0149	150.087	167.5284	-0.024582	0.43743	0.61692	0.41785	1.3457	1.6821	1.3457	0.21237	21.2713	21.4666
TARA_20120301T1048Z_149_EVENT_PUMP	SV Tara	TARA_20120223Z	TARA_149	High Volume Peristaltic Pump	3/1/12 10:48	34.1132	-49.9181	0.047617	0.047617	0.045426	0.050609361	0.071392827	0.000787121	0.03068604	0.096397644	0.079565596	23	60.83079529	77	45	55	151	167	33	171	14	748	165	18.7348	18.7354	18.7392	18.8901	18.5637	18.7345	18.507	18.73	10.3972	18.6113	36.5797	36.5789	36.5798	36.662	36.7322	36.5791	36.7393	36.5786	35.5225	36.7298	26.1699	26.1708	26.171	26.1993	26.3367	26.1706	26.3567	26.1705	27.1791	26.3227	6.38E-07	9.90E-08	1.00E-07	3.62E-05	1.99E-05	5.50E-08	5.81E-05	3.70E-08	2.38E-05	0.00022662	0.22713	0.25175	0.24256	0.13085	0.040949	0.25646	0.035583	0.23082	0	0.040949	220.217	220.3628	220.1179	211.0393	185.4577	219.5172	184.8566	220.1585	150.1734	186.3297	-1.9507	-1.5492	-2.3687	-0.42556	2.5245	-1.7039	1.208	-1.0498	18.9988	1.136
