Sample_event_ID	start_ISO_dateTime	stop_ISO_dateTime	start_lat	stop_lat	start_lon	stop_lon	Cruise_ID	Station_name	sampling_event_type	cruise_expedition
TARA_20100318T1133Z_039_EVENT_PUMP	3/18/10 11:33	3/18/10 12:32	18.584	18.568	66.473	66.458	TARA_20100309Z	TARA_039	pump	Tara Oceans
TARA_20120319T1502Z_152_Combined-EVENTS_CAST	3/19/12 14:59	3/19/12 18:18	43.718	43.765	-16.871	-16.893	TARA_20120314Z	TARA_152	cast	Tara Oceans
TARA_20120319T0818Z_152_EVENT_PUMP	3/19/12 8:18	3/19/12 11:27	43.679	43.691	-16.834	-16.855	TARA_20120314Z	TARA_152	pump	Tara Oceans
TARA_20120309T1745Z_151_Combined-EVENTS_CAST	3/9/12 17:42	3/9/12 20:52	36.181	36.211	-28.937	-28.799	TARA_20120223Z	TARA_151	cast	Tara Oceans
TARA_20120309T0859Z_151_EVENT_PUMP	3/9/12 8:59	3/9/12 13:03	36.172	36.139	-29.023	-28.96	TARA_20120223Z	TARA_151	pump	Tara Oceans
TARA_20120305T1734Z_150_EVENT_PUMP	3/5/12 17:34	3/5/12 19:39	35.843	35.796	-37.153	-37.1	TARA_20120223Z	TARA_150	pump	Tara Oceans
TARA_20120305T0925Z_150_EVENT_PUMP	3/5/12 9:25	3/5/12 14:02	35.935	35.859	-37.303	-37.173	TARA_20120223Z	TARA_150	pump	Tara Oceans
TARA_20120301T1853Z_149_Combined-EVENTS_CAST	3/1/12 18:50	3/1/12 22:40	34.077	34.155	-49.823	-49.694	TARA_20120223Z	TARA_149	cast	Tara Oceans
TARA_20120301T1048Z_149_EVENT_PUMP	3/1/12 10:48	3/1/12 15:17	34.113	34.049	-49.918	-49.831	TARA_20120223Z	TARA_149	pump	Tara Oceans
TARA_20120227T1532Z_148b_Combined-EVENTS_CAST	2/27/12 15:28	2/27/12 21:34	34.15	33.904	-56.968	-56.783	TARA_20120223Z	TARA_148b	cast	Tara Oceans
TARA_20120224T1140Z_148_EVENT_PUMP	2/24/12 11:40	2/24/12 16:26	31.695	31.837	-64.249	-64.109	TARA_20120223Z	TARA_148	pump	Tara Oceans
TARA_20120216T1208Z_146_Combined-EVENTS_CAST	2/16/12 12:01	2/16/12 18:22	34.666	34.605	-71.291	-71.232	TARA_20120212Z	TARA_146	cast	Tara Oceans
TARA_20120215T1254Z_146_EVENT_PUMP	2/15/12 12:54	2/15/12 17:07	34.671	34.834	-71.309	-71.204	TARA_20120212Z	TARA_146	pump	Tara Oceans
TARA_20120202T1839Z_145_Combined-EVENTS_CAST	2/2/12 18:36	2/4/12 3:25	39.239	39.087	-70.034	-70.011	TARA_20120126Z	TARA_145	cast	Tara Oceans
TARA_20120202T1152Z_145_EVENT_PUMP	2/2/12 11:52	2/2/12 13:52	39.23	39.217	-70.038	-70.033	TARA_20120126Z	TARA_145	pump	Tara Oceans
TARA_20120110T1451Z_142_Combined-EVENTS_CAST	1/10/12 14:49	1/10/12 20:15	25.624	25.64	-88.45	-88.409	TARA_20111230Z	TARA_142	cast	Tara Oceans
