Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	MP biome	OS region	BG province	Sea ice conc	Sea ice free period start DOY	Sea Ice free period	Sea ice free period end DOY	Season at sampling date	Season (early, middle, late)	Moon phase nominal	Moon phase proportion	Time of day	SSD	PAR day at sampling date	PAR day AMODIS for a 8 days period	PAR day  GlobColour for a 8 days period	PAR day  AMODIS for a 30 days period	SST grad h	Fe tot	Fe std dev	NH4+	NH4+ std dev	NO2-	NO2- std dev	NO3-	NO3 std dev	Sea surface fluorescence, CDOM	Sea surface Chl a	Chl a conc	Sea surface phi sat	Net primary production of carbon - UQAR-TAKUVIC model	Net primary production of carbon - VGPM	Suspended matter, total	POC	PIC	Bathy depth	Latitude (of the closest geographic coordinate on a coast)	Longitude  (of the closest geographic coordinate on a coast)	Distance  (of the closest geographic coordinate on a coast)	SST grad h_1	SSM index	Geostrophic velocity, longitudinal	Geostrophic velocity, latidunal	Okubo-Weiss parameter	Maximum Lyapunov exponent	Residence time of water mass	Latitude (of the continental shelf <500m where sampled water originated)	Longitude (of the continental shelf <500m where sampled  water originated)	Age (days since water mass left continental shelf)	Latitude (of the geographic coordinate where water mass originated 45 days before sampling)	Longitude (of the geographic coordinate where water mass originated 45 days before sampling)
TARA_20101104T1424Z_078_EVENT_NET	SV Tara	TARA_20101031Z	TARA_078	Plankton net+sieve, type=single, mesh(µm)=5, mouth(m^2)=0.196349, length(m)=2.5	2010-11-04 14:24:00	-30.2163	-43.275	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	0	1	365	365	spring	middle	descending	0.04	day	802	61.669502	53.8218	52.81532288	48.68826	20.941132	0.000862562	6.4583e-05	0.017718557	0.004403442	0.012364627	0.006439829	0.001974124	0.001417574	NA	0.067223888	22.8016	1.737209334	NA	352.555	0.050357161	35.92321396	0.000158979	-3875	-28.4444	-48.7333	561.0234	1.5381	7.788e-06	8.645021	-6.42114	0.053558	0.14819	5.777778	-41.647227	-23.741772	68	-24.631241	-42.963714
TARA_20091215T1512Z_030_Combined-EVENTS_CAST	SV Tara	TARA_20091214Z	TARA_030	Rosette Vertical Sampling System	2009-12-15 15:23:00	33.9235	32.8118	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	late	descending	0.01	day	595	23.854267	17.084755	15.63448954	19.810518	20.2395475	0.001388157	3e-09	0.003270233	0.000159372	0.034886073	0.002192435	0.054155687	0.013007748	NA	0.087720077	13.8349	1.623973843	NA	291.834	0.155464955	45.09284973	0.000191009	-1537	34.5667	32.9974	73.8658	0.28082	1.4598e-05	0.659967	7.476779	-0.309549	0.097233	2.777778	33.301831	31.795508	96	32.405221	33.71975
TARA_20091215T1305Z_030_EVENT_NET	SV Tara	TARA_20091214Z	TARA_030	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	2009-12-15 13:05:00	33.9189	32.8532	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	late	descending	0.01	day	595	23.949686	16.531906	15.4028697	19.247953	20.266435	0.001388157	3e-09	0.003270233	0.000159372	0.034886073	0.002192435	0.054155687	0.013007748	NA	0.082329214	17.3203	1.623973843	NA	291.834	0.160951309	37.47967148	0.000191039	-1452	34.5667	32.9974	73.67	0.2747	2.95e-06	0.659967	7.476779	-0.309549	0.097233	2.777778	33.301831	31.795508	96	32.405221	33.71975
TARA_20091215T1244Z_030_EVENT_NET	SV Tara	TARA_20091214Z	TARA_030	Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3	2009-12-15 12:44:00	33.9184	32.86	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	late	descending	0.01	day	595	23.949686	16.531906	15.4028697	19.247953	20.266435	0.001388157	3e-09	0.003270233	0.000159372	0.034886073	0.002192435	0.054155687	0.013007748	NA	0.082329214	17.3203	1.623973843	NA	288.505	0.160951309	37.47967148	0.000191039	-1452	34.5667	32.9974	73.67	0.2747	2.95e-06	0.659967	7.476779	-0.309549	0.097233	2.777778	33.301831	31.795508	96	32.405221	33.71975
TARA_20091215T1113Z_030_EVENT_NET	SV Tara	TARA_20091214Z	TARA_030	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	2009-12-15 11:13:00	33.9178	32.8849	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	late	descending	0.01	day	595	23.949686	16.531906	15.09704638	19.247953	NA	0.001388157	3e-09	0.003270233	0.000159372	0.034886073	0.002192435	0.054155687	0.013007748	NA	0.078272216	15.6134	1.623973843	NA	288.505	0.163732342	36.40458679	0.000191039	-1497	34.5667	32.9974	72.8349	0.24369	2.685e-06	0.659967	7.476779	-0.309549	0.097233	2.777778	33.301831	31.795508	96	32.405221	33.71975
TARA_20091215T1041Z_030_EVENT_PUMP	SV Tara	TARA_20091214Z	TARA_030	High Volume Peristaltic Pump	2009-12-15 10:41:00	33.9179	32.898	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	late	descending	0.01	day	595	23.949686	16.531906	15.05947638	19.247953	20.266435	0.001388157	3e-09	0.003270233	0.000159372	0.034886073	0.002192435	0.054155687	0.013007748	NA	0.078272216	15.6134	1.623973843	NA	288.505	0.165894359	36.40458679	3.84e-05	-1497	34.5667	32.9974	72.8349	0.24369	2.685e-06	0.659967	7.476779	-0.309549	0.097233	2.777778	33.301831	31.795508	96	32.405221	33.71975
TARA_20091118T1632Z_023_EVENT_NET	SV Tara	TARA_20091111Z	TARA_023	Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3	2009-11-18 16:32:00	42.1646	17.736	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	middle	ascending	0.03	day	582	20.28741	15.6349	15.68945599	15.270461	16.0684	0.001387878	9e-09	0.001431253	0.000150328	0.027064617	0.003793177	0.077471482	0.016672718	NA	NA	13.5727	0.641177758	NA	468.419	NA	NA	NA	-1183	42.5493	18.2333	60.1527	1.6488	5.1331e-05	-11.278648	4.980596	-0.354776	0.078584	3.583333	18.737291	41.277317	11	NA	NA
TARA_20091118T1352Z_023_EVENT_NET	SV Tara	TARA_20091111Z	TARA_023	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	2009-11-18 13:52:00	42.1694	17.7179	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	middle	ascending	0.03	day	582	20.28741	15.6349	15.68945599	15.270461	16.472071	0.001387878	9e-09	0.001431253	0.000150328	0.027064617	0.003793177	0.077471482	0.016672718	NA	NA	18.4584	0.641177758	NA	468.419	NA	NA	NA	-1183	42.6945	17.7	57.9209	1.657	4.9084e-05	-11.278648	4.980596	-0.354776	0.078584	3.583333	18.737291	41.277317	11	NA	NA
TARA_20091118T1240Z_023_EVENT_PUMP	SV Tara	TARA_20091111Z	TARA_023	High Volume Peristaltic Pump	2009-11-18 13:50:00	42.1735	17.7252	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	middle	ascending	0.03	day	582	20.28741	15.6349	15.68945599	15.270461	16.472071	0.001387878	9e-09	0.001431253	0.000150328	0.027064617	0.003793177	0.077471482	0.016672718	NA	NA	18.4584	0.641177758	NA	468.419	NA	NA	NA	-1183	42.6945	17.7	57.9209	1.657	4.9084e-05	-11.278648	4.980596	-0.354776	0.078584	3.583333	18.737291	41.277317	11	NA	NA
TARA_20091118T1017Z_023_EVENT_NET	SV Tara	TARA_20091111Z	TARA_023	Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3	2009-11-18 10:17:00	42.1916	17.7175	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	middle	ascending	0.03	day	582	20.28741	15.6349	15.72681856	15.270461	16.472071	0.001387878	9e-09	0.001431253	0.000150328	0.027064617	0.003793177	0.077471482	0.016672718	NA	0.241092637	20.5852	0.641177758	NA	468.419	0.239324898	NA	NA	-1184	42.6945	17.7	54.4621	1.6157	7.0863e-05	-11.278648	4.980596	-0.354776	0.078584	3.583333	18.737291	41.277317	11	NA	NA
