SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	Distance	Duration	File name	Number of observations	Chlorophyll c3_min	Chlorophyll c3_first_quartile	Chlorophyll c3_median	Chlorophyll c3_third_quartile	Chlorophyll c3_max	Chlorophyll c1+c2_min	Chlorophyll c1+c2_first_quartile	Chlorophyll c1+c2_median	Chlorophyll c1+c2_third_quartile	Chlorophyll c1+c2_max	Chlorophyllide a_min	Chlorophyllide a_first_quartile	Chlorophyllide a_median	Chlorophyllide a_third_quartile	Chlorophyllide a_max	Peridinin_min	Peridinin_first_quartile	Peridinin_median	Peridinin_third_quartile	Peridinin_max	Phaeophorbide a_min	Phaeophorbide a_first_quartile	Phaeophorbide a_median	Phaeophorbide a_third_quartile	Phaeophorbide a_max	19-Butanoyloxyfucoxanthin_min	19-Butanoyloxyfucoxanthin_first_quartile	19-Butanoyloxyfucoxanthin_median	19-Butanoyloxyfucoxanthin_third_quartile	19-Butanoyloxyfucoxanthin_max	Fucoxanthin_min	Fucoxanthin_first_quartile	Fucoxanthin_median	Fucoxanthin_third_quartile	Fucoxanthin_max	Neoxanthin_min	Neoxanthin_first_quartile	Neoxanthin_median	Neoxanthin_third_quartile	Neoxanthin_max	Prasinoxanthin_min	Prasinoxanthin_first_quartile	Prasinoxanthin_median	Prasinoxanthin_third_quartile	Prasinoxanthin_max	Violaxanthin_min	Violaxanthin_first_quartile	Violaxanthin_median	Violaxanthin_third_quartile	Violaxanthin_max	19-Hexanoyloxyfucoxanthin_min	19-Hexanoyloxyfucoxanthin_first_quartile	19-Hexanoyloxyfucoxanthin_median	19-Hexanoyloxyfucoxanthin_third_quartile	19-Hexanoyloxyfucoxanthin_max	Diadinoxanthin_min	Diadinoxanthin_first_quartile	Diadinoxanthin_median	Diadinoxanthin_third_quartile	Diadinoxanthin_max	Alloxanthin_min	Alloxanthin_first_quartile	Alloxanthin_median	Alloxanthin_third_quartile	Alloxanthin_max	Diatoxanthin_min	Diatoxanthin_first_quartile	Diatoxanthin_median	Diatoxanthin_third_quartile	Diatoxanthin_max	Zeaxanthin_min	Zeaxanthin_first_quartile	Zeaxanthin_median	Zeaxanthin_third_quartile	Zeaxanthin_max	Lutein_min	Lutein_first_quartile	Lutein_median	Lutein_third_quartile	Lutein_max	Bacteriochlorophyll a_min	Bacteriochlorophyll a_first_quartile	Bacteriochlorophyll a_median	Bacteriochlorophyll a_third_quartile	Bacteriochlorophyll a_max	Divinyl chlorophyll b_min	Divinyl chlorophyll b_first_quartile	Divinyl chlorophyll b_median	Divinyl chlorophyll b_third_quartile	Divinyl chlorophyll b_max	Chlorophyll b_min	Chlorophyll b_first_quartile	Chlorophyll b_median	Chlorophyll b_third_quartile	Chlorophyll b_max	Chlorophyll b plus divinyl chlorophyll b_min	Chlorophyll b plus divinyl chlorophyll b_first_quartile	Chlorophyll b plus divinyl chlorophyll b_median	Chlorophyll b plus divinyl chlorophyll b_third_quartile	Chlorophyll b plus divinyl chlorophyll b_max	Divinyl chlorophyll a_min	Divinyl chlorophyll a_first_quartile	Divinyl chlorophyll a_median	Divinyl chlorophyll a_third_quartile	Divinyl chlorophyll a_max	Chlorophyll a_min	Chlorophyll a_first_quartile	Chlorophyll a_median	Chlorophyll a_third_quartile	Chlorophyll a_max	"Chlorophyll a, total_min"	"Chlorophyll a, total_first_quartile"	"Chlorophyll a, total_median"	"Chlorophyll a, total_third_quartile"	"Chlorophyll a, total_max"	Phaeophytin a_min	Phaeophytin a_first_quartile	Phaeophytin a_median	Phaeophytin a_third_quartile	Phaeophytin a_max	Carotene_min	Carotene_first_quartile	Carotene_median	Carotene_third_quartile	Carotene_max
TARA_N000000625	SAMEA2657029	ERS490687	TARA_078	TARA_20101104T1424Z_078_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	5	20	TARA_078_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20101104T1424Z_078_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000000625	6.9565	P00DT02H42M	"tara_20101104t1708z_078_event_cast,tara_20101105t1235z_078_event_cast"	2	0.0017	0.0017	0.00175	0.0018	0.0018	0.002	0.002	0.0021	0.0022	0.0022	0	0	0	0	0	7.00E-04	7.00E-04	8.00E-04	9.00E-04	9.00E-04	0	0	0	0	0	0.0027	0.0027	0.0027	0.0027	0.0027	0.0053	0.0053	0.0054	0.0055	0.0055	0	0	0	0	0	0	0	0	0	0	3.00E-04	3.00E-04	3.00E-04	3.00E-04	3.00E-04	0.0047	0.0047	0.00485	0.005	0.005	0.0029	0.0029	0.00325	0.0036	0.0036	0	0	0	0	0	0.0033	0.0033	0.00415	0.005	0.005	0.0221	0.0221	0.02225	0.0224	0.0224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019	0.0019	0.002	0.0021	0.0021	0.0019	0.0019	0.002	0.0021	0.0021	0.015	0.015	0.01505	0.0151	0.0151	0.0295	0.0295	0.0305	0.0315	0.0315	0.0445	0.0445	0.04555	0.0466	0.0466	0	0	0	0	0	0.003	0.003	0.00315	0.0033	0.0033
TARA_A100001335	SAMEA2591131	ERS478049	TARA_030	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	5	20	TARA_030_DCM_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_DCM_(70m)_SEQ-(500mL-or-15min)_W5-20_A100001335	1.3651	P00DT01H46M	tara_20091215t1339z_030_event_cast	2	0.0201	0.0201	0.0209	0.0217	0.0217	0.0229	0.0229	0.02595	0.029	0.029	0	0	0	0	0	0	0	0.0017	0.0034	0.0034	0	0	0	0	0	0.0227	0.0227	0.0227	0.0227	0.0227	0.0036	0.0036	0.00395	0.0043	0.0043	0	0	0.00045	9.00E-04	9.00E-04	0	0	0	0	0	0	0	3.00E-04	6.00E-04	6.00E-04	0.0594	0.0594	0.06235	0.0653	0.0653	0.0049	0.0049	0.0052	0.0055	0.0055	0	0	0	0	0	0	0	0	0	0	0.0519	0.0519	0.054	0.0561	0.0561	0	0	0	0	0	9.00E-04	9.00E-04	0.0011	0.0013	0.0013	0	0	0	0	0	0.0326	0.0326	0.03835	0.0441	0.0441	0.0326	0.0326	0.03835	0.0441	0.0441	0.1268	0.1268	0.15605	0.1853	0.1853	0.2045	0.2045	0.22275	0.241	0.241	0.3678	0.3678	0.3788	0.3898	0.3898	0	0	0	0	0	0.031	0.031	0.03715	0.0433	0.0433
TARA_A100001332	SAMEA2591130	ERS478048	TARA_030	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	0.8	5	TARA_030_DCM_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_DCM_(70m)_SEQ-(100L-or-15min)_W0.8-5_A100001332	1.3651	P00DT01H46M	tara_20091215t1339z_030_event_cast	2	0.0201	0.0201	0.0209	0.0217	0.0217	0.0229	0.0229	0.02595	0.029	0.029	0	0	0	0	0	0	0	0.0017	0.0034	0.0034	0	0	0	0	0	0.0227	0.0227	0.0227	0.0227	0.0227	0.0036	0.0036	0.00395	0.0043	0.0043	0	0	0.00045	9.00E-04	9.00E-04	0	0	0	0	0	0	0	3.00E-04	6.00E-04	6.00E-04	0.0594	0.0594	0.06235	0.0653	0.0653	0.0049	0.0049	0.0052	0.0055	0.0055	0	0	0	0	0	0	0	0	0	0	0.0519	0.0519	0.054	0.0561	0.0561	0	0	0	0	0	9.00E-04	9.00E-04	0.0011	0.0013	0.0013	0	0	0	0	0	0.0326	0.0326	0.03835	0.0441	0.0441	0.0326	0.0326	0.03835	0.0441	0.0441	0.1268	0.1268	0.15605	0.1853	0.1853	0.2045	0.2045	0.22275	0.241	0.241	0.3678	0.3678	0.3788	0.3898	0.3898	0	0	0	0	0	0.031	0.031	0.03715	0.0433	0.0433
TARA_A100001645	SAMEA2624977	ERS478039	TARA_030	TARA_20091215T1305Z_030_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	20	180	TARA_030_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091215T1305Z_030_EVENT_NET_DCM_(70m)_SEQ-(500mL-or-15min)_N20-180_A100001645	2.5062	P00DT00H31M	tara_20091215t1339z_030_event_cast	2	0.0201	0.0201	0.0209	0.0217	0.0217	0.0229	0.0229	0.02595	0.029	0.029	0	0	0	0	0	0	0	0.0017	0.0034	0.0034	0	0	0	0	0	0.0227	0.0227	0.0227	0.0227	0.0227	0.0036	0.0036	0.00395	0.0043	0.0043	0	0	0.00045	9.00E-04	9.00E-04	0	0	0	0	0	0	0	3.00E-04	6.00E-04	6.00E-04	0.0594	0.0594	0.06235	0.0653	0.0653	0.0049	0.0049	0.0052	0.0055	0.0055	0	0	0	0	0	0	0	0	0	0	0.0519	0.0519	0.054	0.0561	0.0561	0	0	0	0	0	9.00E-04	9.00E-04	0.0011	0.0013	0.0013	0	0	0	0	0	0.0326	0.0326	0.03835	0.0441	0.0441	0.0326	0.0326	0.03835	0.0441	0.0441	0.1268	0.1268	0.15605	0.1853	0.1853	0.2045	0.2045	0.22275	0.241	0.241	0.3678	0.3678	0.3788	0.3898	0.3898	0	0	0	0	0	0.031	0.031	0.03715	0.0433	0.0433
TARA_A100001644	SAMEA2625587	ERS478038	TARA_030	TARA_20091215T1305Z_030_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	20	180	TARA_030_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091215T1305Z_030_EVENT_NET_DCM_(70m)_SEQ-(500mL-or-15min)_N20-180_A100001644	2.5062	P00DT00H31M	tara_20091215t1339z_030_event_cast	2	0.0201	0.0201	0.0209	0.0217	0.0217	0.0229	0.0229	0.02595	0.029	0.029	0	0	0	0	0	0	0	0.0017	0.0034	0.0034	0	0	0	0	0	0.0227	0.0227	0.0227	0.0227	0.0227	0.0036	0.0036	0.00395	0.0043	0.0043	0	0	0.00045	9.00E-04	9.00E-04	0	0	0	0	0	0	0	3.00E-04	6.00E-04	6.00E-04	0.0594	0.0594	0.06235	0.0653	0.0653	0.0049	0.0049	0.0052	0.0055	0.0055	0	0	0	0	0	0	0	0	0	0	0.0519	0.0519	0.054	0.0561	0.0561	0	0	0	0	0	9.00E-04	9.00E-04	0.0011	0.0013	0.0013	0	0	0	0	0	0.0326	0.0326	0.03835	0.0441	0.0441	0.0326	0.0326	0.03835	0.0441	0.0441	0.1268	0.1268	0.15605	0.1853	0.1853	0.2045	0.2045	0.22275	0.241	0.241	0.3678	0.3678	0.3788	0.3898	0.3898	0	0	0	0	0	0.031	0.031	0.03715	0.0433	0.0433
TARA_A100001649	SAMEA2624978	ERS478037	TARA_030	TARA_20091215T1244Z_030_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	180	2000	TARA_030_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20091215T1244Z_030_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_A100001649	3.1355	P00DT00H52M	tara_20091215t1339z_030_event_cast	1	0.0104	0.0104	0.0104	0.0104	0.0104	0.0118	0.0118	0.0118	0.0118	0.0118	0	0	0	0	0	0.0012	0.0012	0.0012	0.0012	0.0012	0	0	0	0	0	0.0106	0.0106	0.0106	0.0106	0.0106	0.005	0.005	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0354	0.0354	0.0354	0.0354	0.0354	0.0043	0.0043	0.0043	0.0043	0.0043	0	0	0	0	0	0	0	0	0	0	0.0369	0.0369	0.0369	0.0369	0.0369	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0165	0.0165	0.0165	0.0165	0.0165	0.1431	0.1431	0.1431	0.1431	0.1431	0.1595	0.1595	0.1595	0.1595	0.1595	0	0	0	0	0	0.0087	0.0087	0.0087	0.0087	0.0087
TARA_A100001648	SAMEA2624980	ERS478036	TARA_030	TARA_20091215T1244Z_030_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	180	2000	TARA_030_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20091215T1244Z_030_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_A100001648	3.1355	P00DT00H52M	tara_20091215t1339z_030_event_cast	1	0.0104	0.0104	0.0104	0.0104	0.0104	0.0118	0.0118	0.0118	0.0118	0.0118	0	0	0	0	0	0.0012	0.0012	0.0012	0.0012	0.0012	0	0	0	0	0	0.0106	0.0106	0.0106	0.0106	0.0106	0.005	0.005	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0354	0.0354	0.0354	0.0354	0.0354	0.0043	0.0043	0.0043	0.0043	0.0043	0	0	0	0	0	0	0	0	0	0	0.0369	0.0369	0.0369	0.0369	0.0369	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0165	0.0165	0.0165	0.0165	0.0165	0.1431	0.1431	0.1431	0.1431	0.1431	0.1595	0.1595	0.1595	0.1595	0.1595	0	0	0	0	0	0.0087	0.0087	0.0087	0.0087	0.0087
TARA_A100001647	SAMEA2624983	ERS478034	TARA_030	TARA_20091215T1113Z_030_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	20	180	TARA_030_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091215T1113Z_030_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_A100001647	5.4317	P00DT02H23M	tara_20091215t1339z_030_event_cast	1	0.0104	0.0104	0.0104	0.0104	0.0104	0.0118	0.0118	0.0118	0.0118	0.0118	0	0	0	0	0	0.0012	0.0012	0.0012	0.0012	0.0012	0	0	0	0	0	0.0106	0.0106	0.0106	0.0106	0.0106	0.005	0.005	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0354	0.0354	0.0354	0.0354	0.0354	0.0043	0.0043	0.0043	0.0043	0.0043	0	0	0	0	0	0	0	0	0	0	0.0369	0.0369	0.0369	0.0369	0.0369	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0165	0.0165	0.0165	0.0165	0.0165	0.1431	0.1431	0.1431	0.1431	0.1431	0.1595	0.1595	0.1595	0.1595	0.1595	0	0	0	0	0	0.0087	0.0087	0.0087	0.0087	0.0087
TARA_A100001641	SAMEA2591118	ERS478027	TARA_030	TARA_20091215T1041Z_030_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	5	20	TARA_030_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20091215T1041Z_030_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_A100001641	6.638	P00DT02H55M	tara_20091215t1339z_030_event_cast	1	0.0104	0.0104	0.0104	0.0104	0.0104	0.0118	0.0118	0.0118	0.0118	0.0118	0	0	0	0	0	0.0012	0.0012	0.0012	0.0012	0.0012	0	0	0	0	0	0.0106	0.0106	0.0106	0.0106	0.0106	0.005	0.005	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0354	0.0354	0.0354	0.0354	0.0354	0.0043	0.0043	0.0043	0.0043	0.0043	0	0	0	0	0	0	0	0	0	0	0.0369	0.0369	0.0369	0.0369	0.0369	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0165	0.0165	0.0165	0.0165	0.0165	0.1431	0.1431	0.1431	0.1431	0.1431	0.1595	0.1595	0.1595	0.1595	0.1595	0	0	0	0	0	0.0087	0.0087	0.0087	0.0087	0.0087
TARA_A100001639	SAMEA2591117	ERS478026	TARA_030	TARA_20091215T1041Z_030_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.8	5	TARA_030_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20091215T1041Z_030_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_A100001639	6.638	P00DT02H55M	tara_20091215t1339z_030_event_cast	1	0.0104	0.0104	0.0104	0.0104	0.0104	0.0118	0.0118	0.0118	0.0118	0.0118	0	0	0	0	0	0.0012	0.0012	0.0012	0.0012	0.0012	0	0	0	0	0	0.0106	0.0106	0.0106	0.0106	0.0106	0.005	0.005	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0354	0.0354	0.0354	0.0354	0.0354	0.0043	0.0043	0.0043	0.0043	0.0043	0	0	0	0	0	0	0	0	0	0	0.0369	0.0369	0.0369	0.0369	0.0369	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0084	0.0165	0.0165	0.0165	0.0165	0.0165	0.1431	0.1431	0.1431	0.1431	0.1431	0.1595	0.1595	0.1595	0.1595	0.1595	0	0	0	0	0	0.0087	0.0087	0.0087	0.0087	0.0087
