SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	Depth, nominal	Depth, top/min	Depth, bottom/max	Size fraction, lower threshold	Size fraction, upper threshold	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite_min	Nitrite_first_quartile	Nitrite_median	Nitrite_third_quartile	Nitrite_max	Phosphate_min	Phosphate_first_quartile	Phosphate_median	Phosphate_third_quartile	Phosphate_max	Nitrate and Nitrite_min	Nitrate and Nitrite_first_quartile	Nitrate and Nitrite_median	Nitrate and Nitrite_third_quartile	Nitrate and Nitrite_max	Silicate_min	Silicate_first_quartile	Silicate_median	Silicate_third_quartile	Silicate_max
TARA_N000000625	SAMEA2657029	ERS490687	TARA_078	TARA_20101104T1424Z_078_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_078_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20101104T1424Z_078_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000000625	"tara_20101104t1708z_078_event_cast,tara_20101104t1024z_078_event_cast"	6.9565-8.8022	P00DT02H42M	2	0	0	0	0	0	0	0	0	0.016	0.016	0.017	0.017	0.026	0.035	0.035	0.481	0.481	0.749	1.017	1.017
TARA_A100001335	SAMEA2591131	ERS478049	TARA_030	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	66	75	5	20	TARA_030_DCM_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_DCM_(70m)_SEQ-(500mL-or-15min)_W5-20_A100001335	tara_20091215t1339z_030_event_cast	1.3651	P00DT01H46M	3	0	0.00125	0.005	0.0065	0.007	0	0	0	0.0015	0.002	NA	NA	NA	NA	NA	0.6075	0.622	0.6655	0.7495	0.7775
TARA_A100001332	SAMEA2591130	ERS478048	TARA_030	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	66	75	0.8	5	TARA_030_DCM_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_DCM_(70m)_SEQ-(100L-or-15min)_W0.8-5_A100001332	tara_20091215t1339z_030_event_cast	1.3651	P00DT01H46M	3	0	0.00125	0.005	0.0065	0.007	0	0	0	0.0015	0.002	NA	NA	NA	NA	NA	0.6075	0.622	0.6655	0.7495	0.7775
TARA_A100001645	SAMEA2624977	ERS478039	TARA_030	TARA_20091215T1305Z_030_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	68	72	20	180	TARA_030_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091215T1305Z_030_EVENT_NET_DCM_(70m)_SEQ-(500mL-or-15min)_N20-180_A100001645	tara_20091215t1339z_030_event_cast	2.5062	P00DT00H31M	3	0	0.00125	0.005	0.0065	0.007	0	0	0	0.0015	0.002	NA	NA	NA	NA	NA	0.6075	0.622	0.6655	0.7495	0.7775
TARA_A100001644	SAMEA2625587	ERS478038	TARA_030	TARA_20091215T1305Z_030_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	68	72	20	180	TARA_030_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091215T1305Z_030_EVENT_NET_DCM_(70m)_SEQ-(500mL-or-15min)_N20-180_A100001644	tara_20091215t1339z_030_event_cast	2.5062	P00DT00H31M	3	0	0.00125	0.005	0.0065	0.007	0	0	0	0.0015	0.002	NA	NA	NA	NA	NA	0.6075	0.622	0.6655	0.7495	0.7775
TARA_A100001649	SAMEA2624978	ERS478037	TARA_030	TARA_20091215T1244Z_030_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_030_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20091215T1244Z_030_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_A100001649	tara_20091215t1339z_030_event_cast	3.1355	P00DT00H52M	2	0	0	0.00125	0.0025	0.0025	0	0	0.00025	5.00E-04	5.00E-04	0.0455	0.0455	0.0455	0.0455	0.0455	0.814	0.814	0.816	0.818	0.818
TARA_A100001648	SAMEA2624980	ERS478036	TARA_030	TARA_20091215T1244Z_030_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_030_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20091215T1244Z_030_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_A100001648	tara_20091215t1339z_030_event_cast	3.1355	P00DT00H52M	2	0	0	0.00125	0.0025	0.0025	0	0	0.00025	5.00E-04	5.00E-04	0.0455	0.0455	0.0455	0.0455	0.0455	0.814	0.814	0.816	0.818	0.818
TARA_A100001647	SAMEA2624983	ERS478034	TARA_030	TARA_20091215T1113Z_030_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_030_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091215T1113Z_030_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_A100001647	tara_20091215t1339z_030_event_cast	5.4317	P00DT02H23M	2	0	0	0.00125	0.0025	0.0025	0	0	0.00025	5.00E-04	5.00E-04	0.0455	0.0455	0.0455	0.0455	0.0455	0.814	0.814	0.816	0.818	0.818
TARA_A100001641	SAMEA2591118	ERS478027	TARA_030	TARA_20091215T1041Z_030_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_030_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20091215T1041Z_030_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_A100001641	tara_20091215t1339z_030_event_cast	6.638	P00DT02H55M	2	0	0	0.00125	0.0025	0.0025	0	0	0.00025	5.00E-04	5.00E-04	0.0455	0.0455	0.0455	0.0455	0.0455	0.814	0.814	0.816	0.818	0.818
TARA_A100001639	SAMEA2591117	ERS478026	TARA_030	TARA_20091215T1041Z_030_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8	5	TARA_030_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20091215T1041Z_030_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_A100001639	tara_20091215t1339z_030_event_cast	6.638	P00DT02H55M	2	0	0	0.00125	0.0025	0.0025	0	0	0.00025	5.00E-04	5.00E-04	0.0455	0.0455	0.0455	0.0455	0.0455	0.814	0.814	0.816	0.818	0.818
