Sample_event_ID	start_ISO_dateTime	stop_ISO_dateTime	start_lat	stop_lat	start_lon	stop_lon	Cruise_ID	Station_name	sampling_event_type	cruise_expedition
TARA_20101104T1424Z_078_EVENT_NET	11/4/10 14:24	11/4/10 14:42	-30.216	-30.225	-43.275	-43.272	TARA_20101031Z	TARA_078	net	Tara Oceans
TARA_20091215T1512Z_030_Combined-EVENTS_CAST	12/15/09 15:23	12/15/09 17:32	33.923	33.93	32.812	32.732	TARA_20091214Z	TARA_030	cast	Tara Oceans
TARA_20091215T1305Z_030_EVENT_NET	12/15/09 13:05	12/15/09 13:25	33.919	33.92	32.853	32.847	TARA_20091214Z	TARA_030	net	Tara Oceans
TARA_20091215T1244Z_030_EVENT_NET	12/15/09 12:44	12/15/09 12:59	33.918	33.919	32.86	32.855	TARA_20091214Z	TARA_030	net	Tara Oceans
TARA_20091215T1113Z_030_EVENT_NET	12/15/09 11:13	12/15/09 11:30	33.918	33.918	32.885	32.883	TARA_20091214Z	TARA_030	net	Tara Oceans
TARA_20091215T1041Z_030_EVENT_PUMP	12/15/09 10:41	12/15/09 13:30	33.918	33.92	32.898	32.841	TARA_20091214Z	TARA_030	pump	Tara Oceans
TARA_20091118T1632Z_023_EVENT_NET	11/18/09 16:32	11/18/09 16:49	42.165	42.163	17.736	17.738	TARA_20091111Z	TARA_023	net	Tara Oceans
TARA_20091118T1352Z_023_EVENT_NET	11/18/09 13:52	11/18/09 14:06	42.169	42.169	17.718	17.718	TARA_20091111Z	TARA_023	net	Tara Oceans
TARA_20091118T1240Z_023_EVENT_PUMP	11/18/09 13:50	11/18/09 15:46	42.173	42.166	17.725	17.729	TARA_20091111Z	TARA_023	pump	Tara Oceans
TARA_20091118T1017Z_023_EVENT_NET	11/18/09 10:17	11/18/09 10:33	42.192	42.19	17.718	17.718	TARA_20091111Z	TARA_023	net	Tara Oceans
TARA_20091118T0841Z_023_EVENT_PUMP	11/18/09 8:41	11/18/09 10:46	42.204	42.187	17.715	17.719	TARA_20091111Z	TARA_023	pump	Tara Oceans
TARA_20090923T1832Z_007_EVENT_NET	9/23/09 18:32	9/23/09 18:45	37.011	37.008	1.946	1.945	TARA_20090919Z	TARA_007	net	Tara Oceans
TARA_20090923T1608Z_007_EVENT_PUMP	9/23/09 16:08	9/23/09 16:55	37.054	37.04	1.948	1.95	TARA_20090919Z	TARA_007	pump	Tara Oceans
TARA_20090923T1250Z_007_EVENT_PUMP	9/23/09 12:50	9/23/09 13:00	37.051	37.047	1.938	1.943	TARA_20090919Z	TARA_007	pump	Tara Oceans
TARA_20090923T1439Z_007_EVENT_NET	9/23/09 14:39	9/23/09 14:58	37.03	37.026	1.958	1.953	TARA_20090919Z	TARA_007	net	Tara Oceans
