Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	MP biome	OS region	BG province	Sea ice conc	Sea ice free period start DOY	Sea Ice free period	Sea ice free period end DOY	Season at sampling date	Season (early, middle, late)	Moon phase nominal	Moon phase proportion	Time of day	SSD	PAR day at sampling date	PAR day AMODIS for a 8 days period	PAR day  GlobColour for a 8 days period	PAR day  AMODIS for a 30 days period	SST grad h	Fe tot	Fe std dev	NH4+	NH4+ std dev	NO2-	NO2- std dev	NO3-	NO3 std dev	Sea surface fluorescence, CDOM	Sea surface Chl a	Chl a conc	Sea surface phi sat	Net primary production of carbon - UQAR-TAKUVIC model	Net primary production of carbon - VGPM	Suspended matter, total	POC	PIC	Bathy depth	Latitude (of the closest geographic coordinate on a coast)	Longitude  (of the closest geographic coordinate on a coast)	Distance  (of the closest geographic coordinate on a coast)	SST grad h_1	SSM index	Geostrophic velocity, longitudinal	Geostrophic velocity, latidunal	Okubo-Weiss parameter	Maximum Lyapunov exponent	Residence time of water mass	Latitude (of the continental shelf <500m where sampled water originated)	Longitude (of the continental shelf <500m where sampled  water originated)	Age (days since water mass left continental shelf)	Latitude (of the geographic coordinate where water mass originated 45 days before sampling)	Longitude (of the geographic coordinate where water mass originated 45 days before sampling)
TARA_20110106T1038Z_085_EVENT_PUMP	SV Tara	TARA_20101231Z	TARA_085	High Volume Peristaltic Pump	2011-01-06 10:38:00	-62.0385	-49.529	Polar Biome	[SO] Southern Ocean (MRGID:1907)	[ANTA] Antarctic Province (MRGID:21502)	0	1	365	365	summer	early	ascending	0.05	day	1157	18.083782	33.40068	30.12214661	30.518652	-0.474134375	0.000451463	0.000102504	0.007686064	0.004969983	0.042774215	0.027294342	26.6249059	2.489831213	NA	0.134076402	45.3945	1.092564894	NA	110.88225	NA	46.93349075	0.000149059	-3319	-60.6333	-46.0505	200.5774	0.27081	0.0001592	1.86434	-0.187659	-0.012327	0.02576	19.777778	NA	NA	120	-62.121827	-50.5038
TARA_20101216T1308Z_083_EVENT_NET	SV Tara	TARA_20101126Z	TARA_083	Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3	2010-12-16 13:08:00	-54.3826	-65.051	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[FKLD] Southwest Atlantic Shelves Province (MRGID:21469)	0	1	365	365	spring	late	ascending	0.77	day	1031	65.73701	48.298153	44.36458778	45.880634	7.28676325	3.2938e-05	2.0281e-05	0.25779969	0.110297475	0.812755768	0.354978298	11.70473353	1.856358583	NA	2.364501953	72.3571	1.94999159	NA	NA	0.443073183	220.5824356	0.00034741	-101	-54.6065	-65.3	468.833	2.1768	1.2556e-05	10.61141	1.42392	0.072135	0	0	-65.0227	-54.418	0	NA	NA
TARA_20101202T2042Z_081_EVENT_NET	SV Tara	TARA_20101126Z	TARA_081	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	2010-12-02 20:42:00	-44.6241	-52.1505	Westerlies Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SSTC] South Subtropical Convergence Province (MRGID:21500)	0	1	365	365	spring	late	descending	0.13	day	919	44.065556	56.166534	51.85783005	59.525295	13.61823175	0.001055889	0.000303661	0.154090277	0.129129538	0.027497418	0.027257373	1.224482765	0.878272761	NA	0.619902104	29.9834	1.047342502	NA	NA	NA	119.0259857	0.000535176	-5964	-38.3	-57.837	825.507	0.83781	7.4679e-05	-3.288337	-4.598678	-0.263673	0.095682	5	-54.309796	-37.097143	66	-41.091069	-54.061701
TARA_20101202T1814Z_081_EVENT_NET	SV Tara	TARA_20101126Z	TARA_081	Plankton net+sieve, type=single, mesh(µm)=5, mouth(m^2)=0.196349, length(m)=2.5	2010-12-02 18:14:00	-44.5838	-52.1952	Westerlies Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SSTC] South Subtropical Convergence Province (MRGID:21500)	0	1	365	365	spring	late	descending	0.13	day	919	44.065556	56.166534	51.6775074	59.525295	NA	0.001055889	0.000303661	0.154090277	0.129129538	0.027497418	0.027257373	1.224482765	0.878272761	NA	0.676372498	29.9834	1.047342502	NA	NA	0.163154274	126.5381851	0.000584416	-5964	-38.3	-57.837	825.507	0.83781	7.4679e-05	-3.288337	-4.598678	-0.263673	0.095682	5	-54.309796	-37.097143	66	-41.091069	-54.061701
TARA_20101202T1522Z_081_EVENT_NET	SV Tara	TARA_20101126Z	TARA_081	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	2010-12-02 15:22:00	-44.5582	-52.2718	Westerlies Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SSTC] South Subtropical Convergence Province (MRGID:21500)	0	1	365	365	spring	late	descending	0.13	day	919	46.309372	55.292374	51.17778969	58.374706	13.3491775	0.001055889	0.000303661	0.154090277	0.129129538	0.027497418	0.027257373	1.224482765	0.878272761	NA	0.747359335	29.9834	1.047342502	NA	NA	0.163154274	134.1964035	0.000631523	-5964	-38.3	-57.837	825.507	0.83781	7.4679e-05	-3.288337	-4.598678	-0.263673	0.095682	5	-54.309796	-37.097143	66	-41.091069	-54.061701
TARA_20101202T1344Z_081_EVENT_NET	SV Tara	TARA_20101126Z	TARA_081	Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3	2010-12-02 13:44:00	-44.5455	-52.3242	Westerlies Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SSTC] South Subtropical Convergence Province (MRGID:21500)	0	1	365	365	spring	late	descending	0.13	day	919	32.72333	56.45108	51.36499596	58.62087	13.3477435	0.001055889	0.000303661	0.154090277	0.129129538	0.027497418	0.027257373	1.224482765	0.878272761	NA	0.745408833	29.9834	1.047342502	NA	NA	0.163154274	134.0405273	0.000631523	-5964	-38.3	-57.837	825.507	0.83781	7.4679e-05	-3.288337	-4.598678	-0.263673	0.095682	5	-54.309796	-37.097143	66	-41.091069	-54.061701
TARA_20101129T1938Z_080_Combined-EVENTS_CAST	SV Tara	TARA_20101126Z	TARA_080	Rosette Vertical Sampling System	2010-11-29 19:37:00	-40.6241	-51.9229	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BRAZ] Brazil Current Coastal Province (MRGID:21468)	0	1	365	365	spring	late	descending	0.43	day	888	66.00246	53.941685	51.05581474	49.717754	18.54196038	0.00122622	0.000143772	0.096365529	0.016083788	0.010727511	0.003879082	0.083502028	0.084542793	NA	0.181277372	42.3584	1.098784716	NA	NA	NA	57.16050148	0.000246588	-5538	-38.1056	-57.5333	554.1245	0.14518	0.00081387	12.335262	-46.09164	-3.547166	0.133847	15.416667	NA	NA	120	-41.267497	-50.636908
TARA_20101129T1906Z_080_EVENT_NET	SV Tara	TARA_20101126Z	TARA_080	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	2010-11-29 19:06:00	-40.6154	-51.9351	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BRAZ] Brazil Current Coastal Province (MRGID:21468)	0	1	365	365	spring	late	descending	0.43	day	888	66.00246	53.941685	50.78833961	49.717754	18.66160975	0.00122622	0.000143772	0.096365529	0.016083788	0.010727511	0.003879082	0.083502028	0.084542793	NA	0.181277372	42.3584	1.098784716	NA	NA	NA	57.16050148	0.000239443	-5538	-38.1056	-57.5333	554.1245	0.14518	0.00081387	12.335262	-46.09164	-3.547166	0.133847	15.416667	NA	NA	120	-41.267497	-50.636908
TARA_20120324T1852Z_153_EVENT_NET	SV Tara	TARA_20120314Z	TARA_153	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	2012-03-24 18:52:00	44.0722	-16.4987	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)	0	1	365	365	winter	late	ascending	0.03	day	742	39.464	30.552244	29.38977623	25.854378	13.412632	0.001042778	0.000194792	0.027011777	0.012326974	0.039164047	0.031951131	0.218452215	0.409661245	NA	0.244686842	44.8786	NA	NA	NA	0.21502433	NA	NA	-4004	43.0333	-9.2912	619.621	0.78866	5.9365e-05	-1.07296	-3.254783	0.176339	0.064908	0	NA	NA	120	42.220605	-19.025424
TARA_20120324T1550Z_153_Combined-EVENTS_CAST	SV Tara	TARA_20120314Z	TARA_153	Rosette Vertical Sampling System	2012-03-24 15:49:00	44.0342	-16.5455	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)	0	1	365	365	spring	early	ascending	0.03	day	742	39.493073	31.850006	29.3372345	27.065594	13.38699925	0.001042778	0.000194792	0.027011777	0.012326974	0.039164047	0.031951131	0.218452215	0.409661245	NA	0.195586354	56.7471	NA	NA	NA	0.203946754	NA	NA	-3669	43.0333	-9.2912	596.1715	1.4965	8.826e-06	-1.07296	-3.254783	0.176339	0.064908	0	NA	NA	120	42.220605	-19.025424
