SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	Depth, nominal	Depth, top/min	Depth, bottom/max	Size fraction, lower threshold	Size fraction, upper threshold	Sample material	Sample method	Sample code/label	Distance	Duration	File name	Number of observations	Chlorophyll c3_min	Chlorophyll c3_first_quartile	Chlorophyll c3_median	Chlorophyll c3_third_quartile	Chlorophyll c3_max	Chlorophyll c1+c2_min	Chlorophyll c1+c2_first_quartile	Chlorophyll c1+c2_median	Chlorophyll c1+c2_third_quartile	Chlorophyll c1+c2_max	Chlorophyllide a_min	Chlorophyllide a_first_quartile	Chlorophyllide a_median	Chlorophyllide a_third_quartile	Chlorophyllide a_max	Peridinin_min	Peridinin_first_quartile	Peridinin_median	Peridinin_third_quartile	Peridinin_max	Phaeophorbide a_min	Phaeophorbide a_first_quartile	Phaeophorbide a_median	Phaeophorbide a_third_quartile	Phaeophorbide a_max	19-Butanoyloxyfucoxanthin_min	19-Butanoyloxyfucoxanthin_first_quartile	19-Butanoyloxyfucoxanthin_median	19-Butanoyloxyfucoxanthin_third_quartile	19-Butanoyloxyfucoxanthin_max	Fucoxanthin_min	Fucoxanthin_first_quartile	Fucoxanthin_median	Fucoxanthin_third_quartile	Fucoxanthin_max	Neoxanthin_min	Neoxanthin_first_quartile	Neoxanthin_median	Neoxanthin_third_quartile	Neoxanthin_max	Prasinoxanthin_min	Prasinoxanthin_first_quartile	Prasinoxanthin_median	Prasinoxanthin_third_quartile	Prasinoxanthin_max	Violaxanthin_min	Violaxanthin_first_quartile	Violaxanthin_median	Violaxanthin_third_quartile	Violaxanthin_max	19-Hexanoyloxyfucoxanthin_min	19-Hexanoyloxyfucoxanthin_first_quartile	19-Hexanoyloxyfucoxanthin_median	19-Hexanoyloxyfucoxanthin_third_quartile	19-Hexanoyloxyfucoxanthin_max	Diadinoxanthin_min	Diadinoxanthin_first_quartile	Diadinoxanthin_median	Diadinoxanthin_third_quartile	Diadinoxanthin_max	Alloxanthin_min	Alloxanthin_first_quartile	Alloxanthin_median	Alloxanthin_third_quartile	Alloxanthin_max	Diatoxanthin_min	Diatoxanthin_first_quartile	Diatoxanthin_median	Diatoxanthin_third_quartile	Diatoxanthin_max	Zeaxanthin_min	Zeaxanthin_first_quartile	Zeaxanthin_median	Zeaxanthin_third_quartile	Zeaxanthin_max	Lutein_min	Lutein_first_quartile	Lutein_median	Lutein_third_quartile	Lutein_max	Bacteriochlorophyll a_min	Bacteriochlorophyll a_first_quartile	Bacteriochlorophyll a_median	Bacteriochlorophyll a_third_quartile	Bacteriochlorophyll a_max	Divinyl chlorophyll b_min	Divinyl chlorophyll b_first_quartile	Divinyl chlorophyll b_median	Divinyl chlorophyll b_third_quartile	Divinyl chlorophyll b_max	Chlorophyll b_min	Chlorophyll b_first_quartile	Chlorophyll b_median	Chlorophyll b_third_quartile	Chlorophyll b_max	Chlorophyll b plus divinyl chlorophyll b_min	Chlorophyll b plus divinyl chlorophyll b_first_quartile	Chlorophyll b plus divinyl chlorophyll b_median	Chlorophyll b plus divinyl chlorophyll b_third_quartile	Chlorophyll b plus divinyl chlorophyll b_max	Divinyl chlorophyll a_min	Divinyl chlorophyll a_first_quartile	Divinyl chlorophyll a_median	Divinyl chlorophyll a_third_quartile	Divinyl chlorophyll a_max	Chlorophyll a_min	Chlorophyll a_first_quartile	Chlorophyll a_median	Chlorophyll a_third_quartile	Chlorophyll a_max	"Chlorophyll a, total_min"	"Chlorophyll a, total_first_quartile"	"Chlorophyll a, total_median"	"Chlorophyll a, total_third_quartile"	"Chlorophyll a, total_max"	Phaeophytin a_min	Phaeophytin a_first_quartile	Phaeophytin a_median	Phaeophytin a_third_quartile	Phaeophytin a_max	Carotene_min	Carotene_first_quartile	Carotene_median	Carotene_third_quartile	Carotene_max
TARA_N000001029	SAMEA2621523	ERS491058	TARA_085	TARA_20110106T1038Z_085_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8	5	TARA_085_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20110106T1038Z_085_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_N000001029	21.6469	P00DT06H37M	tara_20110106t1718z_085_event_cast	2	0.0103	0.0103	0.0105	0.0107	0.0107	0.0168	0.0168	0.01855	0.0203	0.0203	0.0031	0.0031	0.0076	0.0121	0.0121	0	0	0.0016	0.0032	0.0032	0.0112	0.0112	0.0155	0.0198	0.0198	0.0035	0.0035	0.00375	0.004	0.004	0.0265	0.0265	0.02675	0.027	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0727	0.0727	0.0732	0.0737	0.0737	0.0204	0.0204	0.0224	0.0244	0.0244	0.0021	0.0021	0.00235	0.0026	0.0026	0.0038	0.0038	0.004	0.0042	0.0042	0.0022	0.0022	0.00225	0.0023	0.0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0821	0.0821	0.09175	0.1014	0.1014	0.0853	0.0853	0.09935	0.1134	0.1134	0	0	0.0015	0.003	0.003	0.0017	0.0017	0.002	0.0023	0.0023
TARA_N000001380	SAMEA2732412	ERS490995	TARA_083	TARA_20101216T1308Z_083_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_083_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20101216T1308Z_083_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000001380	1429.1199	P13DT22H21M	tara_20101202t1446z_081_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000001428	SAMEA2732891	ERS490871	TARA_081	TARA_20101202T2042Z_081_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_081_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20101202T2042Z_081_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000001428	13.3842	P00DT05H55M	tara_20101202t1446z_081_event_cast	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000001430	SAMEA2732530	ERS490841	TARA_081	TARA_20101202T1814Z_081_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	35	33	37	5	20	TARA_081_DCM_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20101202T1814Z_081_EVENT_NET_DCM_(35m)_SEQ-(500mL-or-15min)_N5-20_N000001430	8.0518	P00DT03H27M	tara_20101202t1446z_081_event_cast	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000001426	SAMEA2732468	ERS490836	TARA_081	TARA_20101202T1522Z_081_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	35	33	37	20	180	TARA_081_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20101202T1522Z_081_EVENT_NET_DCM_(35m)_SEQ-(500mL-or-15min)_N20-180_N000001426	1.356	P00DT00H35M	tara_20101202t1446z_081_event_cast	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000001424	SAMEA2732401	ERS490832	TARA_081	TARA_20101202T1344Z_081_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	35	33	37	180	2000	TARA_081_DCM_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20101202T1344Z_081_EVENT_NET_DCM_(35m)_SEQ-(500mL-or-15min)_N180-2000_N000001424	3.0295	P00DT01H02M	tara_20101202t1446z_081_event_cast	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000001489	SAMEA2621339	ERS490794	TARA_080	TARA_20101129T1938Z_080_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	85	83	87	5	20	TARA_080_DCM_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20101129T1938Z_080_Combined-EVENTS_CAST_DCM_(85m)_SEQ-(500mL-or-15min)_W5-20_N000001489	4.0516	P00DT02H27M	tara_20101129t1710z_080_event_cast	1	0.039	0.039	0.039	0.039	0.039	0.0256	0.0256	0.0256	0.0256	0.0256	0.0063	0.0063	0.0063	0.0063	0.0063	0	0	0	0	0	0.0125	0.0125	0.0125	0.0125	0.0125	0.0406	0.0406	0.0406	0.0406	0.0406	0.0695	0.0695	0.0695	0.0695	0.0695	0.0032	0.0032	0.0032	0.0032	0.0032	0.0059	0.0059	0.0059	0.0059	0.0059	7.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	0.0525	0.0525	0.0525	0.0525	0.0525	0.0068	0.0068	0.0068	0.0068	0.0068	0.0026	0.0026	0.0026	0.0026	0.0026	0.001	0.001	0.001	0.001	0.001	0.0109	0.0109	0.0109	0.0109	0.0109	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0	0	0	0	0	0.0301	0.0301	0.0301	0.0301	0.0301	0.0301	0.0301	0.0301	0.0301	0.0301	0	0	0	0	0	0.2588	0.2588	0.2588	0.2588	0.2588	0.2651	0.2651	0.2651	0.2651	0.2651	0.0059	0.0059	0.0059	0.0059	0.0059	0.0091	0.0091	0.0091	0.0091	0.0091
TARA_N000001473	SAMEA2732399	ERS490778	TARA_080	TARA_20101129T1906Z_080_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	85	83	87	20	180	TARA_080_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20101129T1906Z_080_EVENT_NET_DCM_(85m)_SEQ-(500mL-or-15min)_N20-180_N000001473	2.739	P00DT01H56M	tara_20101129t1710z_080_event_cast	1	0.039	0.039	0.039	0.039	0.039	0.0256	0.0256	0.0256	0.0256	0.0256	0.0063	0.0063	0.0063	0.0063	0.0063	0	0	0	0	0	0.0125	0.0125	0.0125	0.0125	0.0125	0.0406	0.0406	0.0406	0.0406	0.0406	0.0695	0.0695	0.0695	0.0695	0.0695	0.0032	0.0032	0.0032	0.0032	0.0032	0.0059	0.0059	0.0059	0.0059	0.0059	7.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	0.0525	0.0525	0.0525	0.0525	0.0525	0.0068	0.0068	0.0068	0.0068	0.0068	0.0026	0.0026	0.0026	0.0026	0.0026	0.001	0.001	0.001	0.001	0.001	0.0109	0.0109	0.0109	0.0109	0.0109	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0	0	0	0	0	0.0301	0.0301	0.0301	0.0301	0.0301	0.0301	0.0301	0.0301	0.0301	0.0301	0	0	0	0	0	0.2588	0.2588	0.2588	0.2588	0.2588	0.2651	0.2651	0.2651	0.2651	0.2651	0.0059	0.0059	0.0059	0.0059	0.0059	0.0091	0.0091	0.0091	0.0091	0.0091
TARA_N000002811	SAMEA2731935	ERS494754	TARA_153	TARA_20120324T1852Z_153_EVENT_NET	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	100	98	102	20	180	TARA_153_MIX_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20120324T1852Z_153_EVENT_NET_MIX_(100m)_SEQ-(500mL-or-15min)_N20-180_N000002811	4478.8962	P20DT03H40M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002807	SAMEA2731933	ERS494752	TARA_153	TARA_20120324T1852Z_153_EVENT_NET	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	100	98	102	180	2000	TARA_153_MIX_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20120324T1852Z_153_EVENT_NET_MIX_(100m)_SEQ-(500mL-or-15min)_N180-2000_N000002807	4478.8962	P20DT03H40M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
