SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_N000001029	TARA_20101231Z	TARA_085	TARA_20110106T1038Z_085_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0	0.037107	0	0.045695	0.613024	0.49805	2354.620891	2343.549965	5.806473488	1645.21	7.154514828	10111.2	0.775860222
TARA_N000001380	TARA_20101126Z	TARA_083	TARA_20101216T1308Z_083_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.563985	0.919176	0.415085	0.736771	0.798031	0.695846	NA	NA	NA	NA	NA	NA	NA
TARA_N000001428	TARA_20101126Z	TARA_081	TARA_20101202T2042Z_081_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.872353	1.106385	0.933621	1.297701	0.813529	0.748402	NA	NA	NA	NA	NA	NA	NA
TARA_N000001430	TARA_20101126Z	TARA_081	TARA_20101202T1814Z_081_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.872353	1.106385	0.933621	1.297701	0.813529	0.748402	NA	NA	NA	NA	NA	NA	NA
TARA_N000001426	TARA_20101126Z	TARA_081	TARA_20101202T1522Z_081_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.872353	1.106385	0.933621	1.297701	0.813529	0.748402	NA	NA	NA	NA	NA	NA	NA
TARA_N000001424	TARA_20101126Z	TARA_081	TARA_20101202T1344Z_081_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.872353	1.106385	0.933621	1.297701	0.813529	0.748402	NA	NA	NA	NA	NA	NA	NA
TARA_N000001489	TARA_20101126Z	TARA_080	TARA_20101129T1938Z_080_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.834092	1.162295	0.963427	1.293193	0.930934	0.719312	NA	NA	NA	NA	NA	NA	NA
TARA_N000001473	TARA_20101126Z	TARA_080	TARA_20101129T1906Z_080_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.834092	1.162295	0.963427	1.293193	0.930934	0.719312	NA	NA	NA	NA	NA	NA	NA
TARA_N000002811	TARA_20120314Z	TARA_153	TARA_20120324T1852Z_153_EVENT_NET	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002807	TARA_20120314Z	TARA_153	TARA_20120324T1852Z_153_EVENT_NET	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002823	TARA_20120314Z	TARA_153	TARA_20120324T1550Z_153_Combined-EVENTS_CAST	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002813	TARA_20120314Z	TARA_153	TARA_20120324T1150Z_153_EVENT_NET	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002809	TARA_20120314Z	TARA_153	TARA_20120324T1034Z_153_EVENT_NET	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002825	TARA_20120314Z	TARA_153	TARA_20120324T0813Z_153_EVENT_PUMP	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002783	TARA_20120314Z	TARA_152	TARA_20120320T1503Z_152_EVENT_NET	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002797	TARA_20120314Z	TARA_152	TARA_20120320T0851Z_152_Combined-EVENTS_CAST	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002775	TARA_20120314Z	TARA_152	TARA_20120320T0851Z_152_Combined-EVENTS_CAST	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002482	TARA_20120314Z	TARA_152	TARA_20120320T2144Z_152_EVENT_PUMP	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002480	TARA_20120314Z	TARA_152	TARA_20120320T2144Z_152_EVENT_PUMP	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002781	TARA_20120314Z	TARA_152	TARA_20120319T1120Z_152_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.542868	0.593537	0.531123	0.559559	0.693857	0.574202	4331.365456	4176.869955	6.821128944	3084.24	7.183301526	14842.8	0.747850224
TARA_N000002777	TARA_20120314Z	TARA_152	TARA_20120319T0909Z_152_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.542868	0.593537	0.531123	0.559559	0.693857	0.574202	4331.365456	4176.869955	6.821128944	3084.24	7.183301526	14842.8	0.747850224
TARA_N000002773	TARA_20120314Z	TARA_152	TARA_20120319T0818Z_152_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.542868	0.593537	0.531123	0.559559	0.693857	0.574202	4331.365456	4176.869955	6.821128944	3084.24	7.183301526	14842.8	0.747850224
