SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH_min	pH_first_quartile	pH_median	pH_third_quartile	pH_max	Carbon dioxide_min	Carbon dioxide_first_quartile	Carbon dioxide_median	Carbon dioxide_third_quartile	Carbon dioxide_max	"Carbon dioxide, partial pressure_min"	"Carbon dioxide, partial pressure_first_quartile"	"Carbon dioxide, partial pressure_median"	"Carbon dioxide, partial pressure_third_quartile"	"Carbon dioxide, partial pressure_max"	Fugacity of carbon dioxide in seawater_min	Fugacity of carbon dioxide in seawater_first_quartile	Fugacity of carbon dioxide in seawater_median	Fugacity of carbon dioxide in seawater_third_quartile	Fugacity of carbon dioxide in seawater_max	Bicarbonate ion_min	Bicarbonate ion_first_quartile	Bicarbonate ion_median	Bicarbonate ion_third_quartile	Bicarbonate ion_max	Carbonate ion_min	Carbonate ion_first_quartile	Carbonate ion_median	Carbonate ion_third_quartile	Carbonate ion_max	"Carbon, total_min"	"Carbon, total_first_quartile"	"Carbon, total_median"	"Carbon, total_third_quartile"	"Carbon, total_max"	"Alkalinity, total_min"	"Alkalinity, total_first_quartile"	"Alkalinity, total_median"	"Alkalinity, total_third_quartile"	"Alkalinity, total_max"	Calcite saturation state_min	Calcite saturation state_first_quartile	Calcite saturation state_median	Calcite saturation state_third_quartile	Calcite saturation state_max	Aragonite saturation state_min	Aragonite saturation state_first_quartile	Aragonite saturation state_median	Aragonite saturation state_third_quartile	Aragonite saturation state_max
TARA_N000001029	SAMEA2621523	ERS491058	TARA_085	TARA_20110106T1038Z_085_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8	5	TARA_085_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20110106T1038Z_085_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_N000001029	tara_20110109t1726z_086_event_cast	313.0505	P03DT06H49M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0112	0.0112	0.0155	0.0198	0.0198	0.0035	0.0035	0.00375	0.004	0.004	0.0265	0.0265	0.02675	0.027	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_N000001380	SAMEA2732412	ERS490995	TARA_083	TARA_20101216T1308Z_083_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_083_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20101216T1308Z_083_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000001380	tara_20101216t1154z_083_event_cast	6.6322	P00DT01H18M	1	8.104567	8.104567	8.104567	8.104567	8.104567	15.904469	15.904469	15.904469	15.904469	15.904469	328.760295	328.760295	328.760295	328.760295	328.760295	327.467214	327.467214	327.467214	327.467214	327.467214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000001428	SAMEA2732891	ERS490871	TARA_081	TARA_20101202T2042Z_081_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_081_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20101202T2042Z_081_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000001428	tara_20101202t1010z_081_event_cast	27.1768	P00DT10H30M	1	8.133012	8.133012	8.133012	8.133012	8.133012	12.516212	12.516212	12.516212	12.516212	12.516212	318.648183	318.648183	318.648183	318.648183	318.648183	317.488694	317.488694	317.488694	317.488694	317.488694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000001430	SAMEA2732530	ERS490841	TARA_081	TARA_20101202T1814Z_081_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	35	33	37	5	20	TARA_081_DCM_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20101202T1814Z_081_EVENT_NET_DCM_(35m)_SEQ-(500mL-or-15min)_N5-20_N000001430	tara_20101202t1010z_081_event_cast	22.4055	P00DT08H02M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000001426	SAMEA2732468	ERS490836	TARA_081	TARA_20101202T1522Z_081_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	35	33	37	20	180	TARA_081_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20101202T1522Z_081_EVENT_NET_DCM_(35m)_SEQ-(500mL-or-15min)_N20-180_N000001426	tara_20101202t1010z_081_event_cast	15.8658	P00DT05H10M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000001424	SAMEA2732401	ERS490832	TARA_081	TARA_20101202T1344Z_081_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	35	33	37	180	2000	TARA_081_DCM_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20101202T1344Z_081_EVENT_NET_DCM_(35m)_SEQ-(500mL-or-15min)_N180-2000_N000001424	tara_20101202t1010z_081_event_cast	11.5488	P00DT03H32M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000001489	SAMEA2621339	ERS490794	TARA_080	TARA_20101129T1938Z_080_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	85	83	87	5	20	TARA_080_DCM_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20101129T1938Z_080_Combined-EVENTS_CAST_DCM_(85m)_SEQ-(500mL-or-15min)_W5-20_N000001489	tara_20101129t1039z_080_event_cast	23.3383	P00DT08H59M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	0.0125	0.0125	0.0125	0.0125	0.0406	0.0406	0.0406	0.0406	0.0406	0.0695	0.0695	0.0695	0.0695	0.0695	0.0032	0.0032	0.0032	0.0032	0.0032	0.0059	0.0059	0.0059	0.0059	0.0059	7.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04
TARA_N000001473	SAMEA2732399	ERS490778	TARA_080	TARA_20101129T1906Z_080_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	85	83	87	20	180	TARA_080_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20101129T1906Z_080_EVENT_NET_DCM_(85m)_SEQ-(500mL-or-15min)_N20-180_N000001473	tara_20101129t1039z_080_event_cast	22.4727	P00DT08H28M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	0.0125	0.0125	0.0125	0.0125	0.0406	0.0406	0.0406	0.0406	0.0406	0.0695	0.0695	0.0695	0.0695	0.0695	0.0032	0.0032	0.0032	0.0032	0.0032	0.0059	0.0059	0.0059	0.0059	0.0059	7.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04
TARA_N000002811	SAMEA2731935	ERS494754	TARA_153	TARA_20120324T1852Z_153_EVENT_NET	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	100	98	102	20	180	TARA_153_MIX_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20120324T1852Z_153_EVENT_NET_MIX_(100m)_SEQ-(500mL-or-15min)_N20-180_N000002811	tara_20120319t0817z_152_event_cast	51.2707	P05DT10H36M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002807	SAMEA2731933	ERS494752	TARA_153	TARA_20120324T1852Z_153_EVENT_NET	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	100	98	102	180	2000	TARA_153_MIX_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20120324T1852Z_153_EVENT_NET_MIX_(100m)_SEQ-(500mL-or-15min)_N180-2000_N000002807	tara_20120319t0817z_152_event_cast	51.2707	P05DT10H36M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
