Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	Kd490 AMODIS at the sampling date	Kd490 AMODIS 8 days period	Kd490 AMODIS 30 days period	Kd490 GlobColour 8 days period	Kd490 GlobColour 30 days period	bbp470 8 days period	acCDOM 8 days period	"Kd(PAR) 30 days avg, eq.9"	"Kd(PAR) 30 days avg, eq.9'"	z(SD)	z(eu) GlobColour 8 days period	z(eu) Secchi Disk and AMODIS	z(eu) AMODIS 30 days avg from Kd(PAR)1	z(eu) AMODIS 30 days avg from Kd(PAR)2	UMLD from sigma theta	UMLD from temperature	Depth chl max 	Depth max Brunt Vaisala freq 	Depth max O2 	Depth min O2 	Depth nitracline 	Temp at depth 10m	Temp at the base of euphotic zone - Kd(PAR)1	Temp at the base of euphotic zone - Kd(PAR)2	Temp at the base of mixed layer - sigma theta	Temp at the depth of mixed layer - temperature	Temp at depth chl max	Temp at depth of max Brunt Vaisala freq	Temp at depth of max oxygent concentration	Temp at depth of min oxygent concentration	Temp at depth of nitracline	Sal at depth 10m	Sal at the base of euphotic zone - Kd(PAR)1	Sal at the base of euphotic zone - Kd(PAR)2	Sal at the base of mixed layer - sigma theta	Sal at the depth of mixed layer - Salerature	Sal at depth chl max	Sal at depth of max Brunt Vaisala freq	Sal at depth of max oxygent concentration	Sal at depth of min oxygent concentration	Sal at depth of nitracline	Sigma-theta at depth 10m	Sigma-theta at the base of euphotic zone - Kd(PAR)1	Sigma-theta at the base of euphotic zone - Kd(PAR)2	Sigma-theta at the base of mixed layer - sigma theta	Sigma-theta at the depth of mixed layer - Sigma-thetaerature	Sigma-theta at depth chl max	Sigma-theta at depth of max Brunt VaiSigma-thetaa freq	Sigma-theta at depth of max oxygent concentration	Sigma-theta at depth of min oxygent concentration	Sigma-theta at depth of nitracline	N**2 at depth 10m	N**2 at the base of euphotic zone - Kd(PAR)1	N**2 at the base of euphotic zone - Kd(PAR)2	N**2 at the base of mixed layer - sigma theta	N**2 at the depth of mixed layer - N**2erature	N**2 at depth chl max	N**2 at depth of max Brunt VaiN**2a freq	N**2 at depth of max oxygent concentration	N**2 at depth of min oxygent concentration	N**2 at depth of nitracline	Chl a at depth 10m	Chl a at the base of euphotic zone - Kd(PAR)1	Chl a at the base of euphotic zoChl a	Chl a at the base of mixed layer - sigma theta	Chl a at the depth of mixed layer - Chl aerature	Chl a at depth chl max	Chl a at depth of max BruChl aa freq	Chl a at depth of max oxygent concentration	Chl a at depth of min oxygent concentration	Chl a at depth of nitracline	Oxygen at depth 10m	Oxygen at the base of euphotic zone - Kd(PAR)1	Oxygen at the base of euphotic zoOxygen	Oxygen at the base of mixed layer - sigma theta	Oxygen at the depth of mixed layer - Oxygenerature	Oxygen at depth chl max	Oxygen at depth of max BruOxygena freq	Oxygen at depth of max oxygent concentration	Oxygen at depth of min oxygent concentration	Oxygen at depth of nitracline	NO3- at depth 10m	NO3- at the base of euphotic zone - Kd(PAR)1	NO3- at the base of euphotic zoNO3-	NO3- at the base of mixed layer - sigma theta	NO3- at the depth of mixed layer - NO3-erature	NO3- at depth chl max	NO3- at depth of max BruNO3-a freq	NO3- at depth of max NO3-t concentration	NO3- at depth of min NO3-t concentration	NO3- at depth of nitracline
TARA_20110106T1038Z_085_EVENT_PUMP	SV Tara	TARA_20101231Z	TARA_085	High Volume Peristaltic Pump	1/6/11 10:38	-62.0385	-49.529	NA	0.035657	0.035657	0.040000349	0.054080933	0.001271883	0.01429004	0.07949916	0.063729787	NA	76.04524994	NA	54	68	57	499	89	70	60	596	28	0.66825	0.33991	-0.33776	0.29119	0.51019	-0.8266	-0.35777	0.21898	0.51146	0.65324	34.5215	34.5298	34.5528	34.5308	34.8496	34.5756	34.5525	34.5369	34.8538	34.5211	27.5524	27.5786	27.6327	27.5822	27.8262	27.673	27.6334	27.5911	27.8298	27.5531	5.50E-08	1.78E-05	1.08E-05	2.20E-05	5.70E-08	1.12E-05	7.50E-06	5.00E-05	1.89E-07	3.68E-07	0.07793	0.44915	0.56315	0.46355	0	0.82903	0.5837	0.4809	0.016455	0.22844	343.7333	344.3823	344.3772	344.0364	201.6447	335.2381	344.1724	341.4756	200.9471	343.2407	27.5411	28.7588	28.4368	28.5161	35.366	30.3474	28.6954	28.2495	35.6974	27.6934
TARA_20101216T1308Z_083_EVENT_NET	SV Tara	TARA_20101126Z	TARA_083	"Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3"	12/16/10 13:08	-54.3826	-65.051	NA	NA	0.085827	0.160025135	0.193996154	0.002045352	0.233181506	0.146308725	0.12741467	NA	23.62844658	NA	32	37	70	78	44	77	13	78	74	7.355	7.3412	7.34	7.3287	7.2633	7.3389	7.276	7.3559	7.2633	7.297	33.1018	33.1041	33.1043	33.1255	33.2442	33.1042	33.2199	33.1002	33.2442	33.1835	25.7544	25.7584	25.7588	25.7773	25.8794	25.7589	25.8586	25.753	25.8794	25.8272	3.36E-06	6.45E-07	9.80E-08	0.00014706	NA	1.94E-06	0.00017052	4.50E-06	NA	9.14E-05	0.27196	0.41551	0.41602	0.35965	0.1992	0.43996	0.22713	0.32523	0.1992	0.28338	293.5815	292.7761	292.6827	288.0781	284.5594	292.159	284.951	293.3982	284.5594	286.17	11.6547	11.085	11.3466	11.3872	11.9462	11.2071	12.0336	11.611	11.9462	11.7805
TARA_20101202T2042Z_081_EVENT_NET	SV Tara	TARA_20101126Z	TARA_081	"Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5"	12/2/10 20:42	-44.6241	-52.1505	NA	0.088788	0.074862	0.077404339	0.109445784	0.002798838	0.035793617	0.134277669	0.115766315	13	42.9710331	55	36	42	28	38	39	48	308	81	59	13.4659	13.3398	12.9666	13.3945	13.3398	13.2629	12.6249	4.894	10.4809	11.6127	34.8583	34.9252	34.9839	34.8774	34.9252	34.9468	34.9625	34.3185	34.8829	34.98	26.0659	26.144	26.2646	26.0958	26.144	26.1762	26.3159	27.0226	26.6535	26.5236	2.88E-05	0.00021305	0.00015438	1.30E-05	0.00021305	0.00027826	0.00018009	6.95E-06	4.91E-05	0.00011146	0.22624	0.5068	0.49366	0.44652	0.5068	0.5068	0.49236	0.0074756	0.077537	0.35603	257.9594	253.5394	250.9	258.4642	253.5394	253.1109	250.2667	267.5443	236.137	243.4931	3.2796	3.3813	4.7201	3.2462	3.3813	3.88	5.6291	25.7015	13.9046	9.2559
TARA_20101202T1814Z_081_EVENT_NET	SV Tara	TARA_20101126Z	TARA_081	"Plankton net+sieve, type=single, mesh(µm)=5, mouth(m^2)=0.196349, length(m)=2.5"	12/2/10 18:14	-44.5838	-52.1952	NA	0.088788	0.074862	0.081403662	0.115100261	0.003094645	0.038029641	0.134277669	0.115766315	13	40.3578186	55	36	42	28	38	39	48	308	81	59	13.4659	13.3398	12.9666	13.3945	13.3398	13.2629	12.6249	4.894	10.4809	11.6127	34.8583	34.9252	34.9839	34.8774	34.9252	34.9468	34.9625	34.3185	34.8829	34.98	26.0659	26.144	26.2646	26.0958	26.144	26.1762	26.3159	27.0226	26.6535	26.5236	2.88E-05	0.00021305	0.00015438	1.30E-05	0.00021305	0.00027826	0.00018009	6.95E-06	4.91E-05	0.00011146	0.22624	0.5068	0.49366	0.44652	0.5068	0.5068	0.49236	0.0074756	0.077537	0.35603	257.9594	253.5394	250.9	258.4642	253.5394	253.1109	250.2667	267.5443	236.137	243.4931	3.2796	3.3813	4.7201	3.2462	3.3813	3.88	5.6291	25.7015	13.9046	9.2559
TARA_20101202T1522Z_081_EVENT_NET	SV Tara	TARA_20101126Z	TARA_081	"Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5"	12/2/10 15:22	-44.5582	-52.2718	NA	0.090644	0.071825	0.08601886	0.122005183	0.003357376	0.041504642	0.130819161	0.112428548	13	37.94260979	55	37	43	28	38	39	48	308	81	59	13.4659	13.3398	12.9666	13.3945	13.3398	13.2629	12.6249	4.894	10.4809	11.6127	34.8583	34.9252	34.9839	34.8774	34.9252	34.9468	34.9625	34.3185	34.8829	34.98	26.0659	26.144	26.2646	26.0958	26.144	26.1762	26.3159	27.0226	26.6535	26.5236	2.88E-05	0.00021305	0.00015438	1.30E-05	0.00021305	0.00027826	0.00018009	6.95E-06	4.91E-05	0.00011146	0.22624	0.5068	0.49366	0.44652	0.5068	0.5068	0.49236	0.0074756	0.077537	0.35603	257.9594	253.5394	250.9	258.4642	253.5394	253.1109	250.2667	267.5443	236.137	243.4931	3.2796	3.3813	4.7201	3.2462	3.3813	3.88	5.6291	25.7015	13.9046	9.2559
TARA_20101202T1344Z_081_EVENT_NET	SV Tara	TARA_20101126Z	TARA_081	"Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3"	12/2/10 13:44	-44.5455	-52.3242	NA	0.089014	0.079289	0.085914779	0.122137006	0.003357376	0.041504642	0.139212913	0.120537957	13	37.96574974	55	35	40	28	38	39	48	308	81	59	13.4659	13.3398	12.9666	13.3945	13.3398	13.2629	12.6249	4.894	10.4809	11.6127	34.8583	34.9252	34.9839	34.8774	34.9252	34.9468	34.9625	34.3185	34.8829	34.98	26.0659	26.144	26.2646	26.0958	26.144	26.1762	26.3159	27.0226	26.6535	26.5236	2.88E-05	0.00021305	0.00015438	1.30E-05	0.00021305	0.00027826	0.00018009	6.95E-06	4.91E-05	0.00011146	0.22624	0.5068	0.49366	0.44652	0.5068	0.5068	0.49236	0.0074756	0.077537	0.35603	257.9594	253.5394	250.9	258.4642	253.5394	253.1109	250.2667	267.5443	236.137	243.4931	3.2796	3.3813	4.7201	3.2462	3.3813	3.88	5.6291	25.7015	13.9046	9.2559
TARA_20101129T1938Z_080_Combined-EVENTS_CAST	SV Tara	TARA_20101126Z	TARA_080	Rosette Vertical Sampling System	11/29/10 19:37	-40.6241	-51.9229	0.043155	0.043155	0.061284	0.044896409	0.064376961	0.001662331	0.018367928	0.118220118	0.100318074	18	68.02511978	71	41	48	14	42	60	5	119	202	169	20.2122	20.1044	19.7081	20.1937	20.1044	18.9005	20.1666	17.2797	15.6006	16.5688	36.0641	36.5191	36.4198	36.0941	36.5191	36.2051	35.8038	NA	NA	NA	25.3923	25.768	25.7979	25.4202	25.768	25.8448	25.2068	NA	NA	NA	0.00021708	8.61E-05	6.12E-05	2.60E-05	8.61E-05	4.36E-06	4.24E-05	NA	NA	NA	0.11407	0.14757	0.20169	0.13004	0.14757	0.68548	NA	0.21726	0.05951	0.066985	220.5796	216.6411	218.8381	220.1298	216.6411	216.7027	220.635	226.5072	193.5295	201.8422	0.021494	0.073524	0.025353	-0.22198	0.073524	0.39605	-0.36665	0.45943	6.1465	2.4069
TARA_20101129T1906Z_080_EVENT_NET	SV Tara	TARA_20101126Z	TARA_080	"Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5"	11/29/10 19:06	-40.6154	-51.9351	0.043155	0.043155	0.061284	0.044896409	0.064376961	0.001657506	0.018367928	0.118220118	0.100318074	18	68.02511978	71	41	48	14	42	60	5	119	202	169	20.2122	20.1044	19.7081	20.1937	20.1044	18.9005	20.1666	17.2797	15.6006	16.5688	36.0641	36.5191	36.4198	36.0941	36.5191	36.2051	35.8038	NA	NA	NA	25.3923	25.768	25.7979	25.4202	25.768	25.8448	25.2068	NA	NA	NA	0.00021708	8.61E-05	6.12E-05	2.60E-05	8.61E-05	4.36E-06	4.24E-05	NA	NA	NA	0.11407	0.14757	0.20169	0.13004	0.14757	0.68548	NA	0.21726	0.05951	0.066985	220.5796	216.6411	218.8381	220.1298	216.6411	216.7027	220.635	226.5072	193.5295	201.8422	0.021494	0.073524	0.025353	-0.22198	0.073524	0.39605	-0.36665	0.45943	6.1465	2.4069
TARA_20120324T1852Z_153_EVENT_NET	SV Tara	TARA_20120314Z	TARA_153	"Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5"	3/24/12 18:52	44.0722	-16.4987	NA	NA	0.07931	0.050845746	0.071794942	0.000494697	0.034854528	0.139236052	0.120560352	17	60.38025665	60	30	35	172	158	13	235	13	525	525	14.3568	14.3417	14.3398	13.9315	14.1997	14.3568	13.1784	14.3568	11.7615	11.7615	36.1736	36.1724	36.1727	36.0864	36.1404	36.1735	35.9723	36.1735	35.8085	35.8085	26.8906	26.8936	26.8944	26.9193	26.9035	26.8907	26.9892	26.8907	27.1482	27.1482	1.45E-07	6.82E-06	1.11E-06	1.10E-05	8.19E-06	3.02E-07	5.36E-06	3.02E-07	1.43E-05	1.43E-05	0.29645	0.29645	0.29645	0.040949	0.16563	0.29645	0	0.29645	0	0	242.0498	240.2607	240.8338	233.7957	236.0203	241.2457	216.7738	241.2457	211.9724	211.9724	4.0332	3.208	4.4824	5.6433	4.3337	3.8309	9.0642	3.8309	11.6296	11.6296
TARA_20120324T1550Z_153_Combined-EVENTS_CAST	SV Tara	TARA_20120314Z	TARA_153	Rosette Vertical Sampling System	3/24/12 15:49	44.0342	-16.5455	NA	NA	0.084642	0.046318747	0.065887935	0.000469358	0.029695356	0.14503771	0.126181605	17	65.92876434	60	29	34	104	106	44	3	211	156	221	14.1122	14.017	14.0102	13.9437	13.9319	14.004	NA	12.8953	13.4014	12.8913	36.113	36.1104	36.11	36.102	36.1005	36.1093	NA	35.9085	36.0033	35.9079	26.8964	26.9153	26.9166	26.9266	26.9281	26.9176	NA	26.9965	26.9653	26.9971	2.29E-05	2.12E-06	1.70E-07	9.58E-07	9.41E-06	1.01E-06	NA	2.03E-06	1.30E-05	1.46E-06	0.13042	0.2736	0.29118	0.24256	0.24696	0.31339	NA	0.2646	0.21137	0.25646	242.6666	241.0258	241.4826	240.063	239.5724	241.8562	NA	247.9136	236.4227	246.4775	2.0482	2.2396	3.6223	2.0944	3.8686	2.3102	NA	3.1183	1.4606	3.9691
