Sample_event_ID	start_ISO_dateTime	stop_ISO_dateTime	start_lat	stop_lat	start_lon	stop_lon	Cruise_ID	Station_name	sampling_event_type	cruise_expedition
TARA_20110106T1038Z_085_EVENT_PUMP	2011-01-06 10:38:00	2011-01-06 12:30:00	-62.038	-62.136	-49.529	-49.333	TARA_20101231Z	TARA_085	pump	Tara Oceans
TARA_20101216T1308Z_083_EVENT_NET	2010-12-16 13:08:00	2010-12-16 13:15:00	-54.383	-54.383	-65.051	-65.013	TARA_20101126Z	TARA_083	net	Tara Oceans
TARA_20101202T2042Z_081_EVENT_NET	2010-12-02 20:42:00	2010-12-02 20:56:00	-44.624	-44.629	-52.151	-52.147	TARA_20101126Z	TARA_081	net	Tara Oceans
TARA_20101202T1814Z_081_EVENT_NET	2010-12-02 18:14:00	2010-12-02 18:27:00	-44.584	-44.586	-52.195	-52.191	TARA_20101126Z	TARA_081	net	Tara Oceans
TARA_20101202T1522Z_081_EVENT_NET	2010-12-02 15:22:00	2010-12-02 15:42:00	-44.558	-44.562	-52.272	-52.261	TARA_20101126Z	TARA_081	net	Tara Oceans
TARA_20101202T1344Z_081_EVENT_NET	2010-12-02 13:44:00	2010-12-02 14:00:00	-44.545	-44.531	-52.324	-52.531	TARA_20101126Z	TARA_081	net	Tara Oceans
TARA_20101129T1938Z_080_Combined-EVENTS_CAST	2010-11-29 19:37:00	2010-11-29 22:04:00	-40.624	-40.685	-51.923	-51.851	TARA_20101126Z	TARA_080	cast	Tara Oceans
TARA_20101129T1906Z_080_EVENT_NET	2010-11-29 19:06:00	2010-11-29 19:25:00	-40.615	-40.62	-51.935	-51.928	TARA_20101126Z	TARA_080	net	Tara Oceans
TARA_20120324T1852Z_153_EVENT_NET	2012-03-24 18:52:00	2012-03-24 19:27:00	44.072	44.078	-16.499	-16.493	TARA_20120314Z	TARA_153	net	Tara Oceans
TARA_20120324T1852Z_153_EVENT_NET	2012-03-24 18:52:00	2012-03-24 19:27:00	44.072	44.078	-16.499	-16.493	TARA_20120314Z	TARA_153	net	Tara Oceans
TARA_20120324T1550Z_153_Combined-EVENTS_CAST	2012-03-24 15:49:00	2012-03-24 18:46:00	44.034	44.071	-16.546	-16.5	TARA_20120314Z	TARA_153	cast	Tara Oceans
TARA_20120324T1150Z_153_EVENT_NET	2012-03-24 11:50:00	2012-03-24 12:06:00	44.074	44.079	-16.547	-16.543	TARA_20120314Z	TARA_153	net	Tara Oceans
TARA_20120324T1034Z_153_EVENT_NET	2012-03-24 10:34:00	2012-03-24 10:54:00	44.085	44.09	-16.564	-16.559	TARA_20120314Z	TARA_153	net	Tara Oceans
TARA_20120324T0813Z_153_EVENT_PUMP	2012-03-24 08:13:00	2012-03-24 09:53:00	44.05	44.077	-16.603	-16.578	TARA_20120314Z	TARA_153	pump	Tara Oceans
