SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH_min	pH_first_quartile	pH_median	pH_third_quartile	pH_max	Carbon dioxide_min	Carbon dioxide_first_quartile	Carbon dioxide_median	Carbon dioxide_third_quartile	Carbon dioxide_max	"Carbon dioxide, partial pressure_min"	"Carbon dioxide, partial pressure_first_quartile"	"Carbon dioxide, partial pressure_median"	"Carbon dioxide, partial pressure_third_quartile"	"Carbon dioxide, partial pressure_max"	Fugacity of carbon dioxide in seawater_min	Fugacity of carbon dioxide in seawater_first_quartile	Fugacity of carbon dioxide in seawater_median	Fugacity of carbon dioxide in seawater_third_quartile	Fugacity of carbon dioxide in seawater_max	Bicarbonate ion_min	Bicarbonate ion_first_quartile	Bicarbonate ion_median	Bicarbonate ion_third_quartile	Bicarbonate ion_max	Carbonate ion_min	Carbonate ion_first_quartile	Carbonate ion_median	Carbonate ion_third_quartile	Carbonate ion_max	"Carbon, total_min"	"Carbon, total_first_quartile"	"Carbon, total_median"	"Carbon, total_third_quartile"	"Carbon, total_max"	"Alkalinity, total_min"	"Alkalinity, total_first_quartile"	"Alkalinity, total_median"	"Alkalinity, total_third_quartile"	"Alkalinity, total_max"	Calcite saturation state_min	Calcite saturation state_first_quartile	Calcite saturation state_median	Calcite saturation state_third_quartile	Calcite saturation state_max	Aragonite saturation state_min	Aragonite saturation state_first_quartile	Aragonite saturation state_median	Aragonite saturation state_third_quartile	Aragonite saturation state_max
TARA_N000000052	SAMEA2730747	ERS488908	TARA_039	TARA_20100318T0956Z_039_EVENT_CONTROL	"[FSW] filtered sea water, used to control protocols"	2	0.8	5	TARA_039_FSW_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20100318T0956Z_039_EVENT_CONTROL_FSW_(2m)_SEQ-(100L-or-15min)_W0.8-5_N000000052	tara_20100315t0345z_038_event_cast	216.1791	P03DT05H55M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0023	0.0023	0.0034	0.0045	0.0045	0.0027	0.0027	0.0035	0.0043	0.0043	0	0	0	0	0	0	0	0	0	0	0	0	3.00E-04	6.00E-04	6.00E-04
TARA_N000000051	SAMEA2730749	ERS488910	TARA_039	TARA_20100318T0956Z_039_EVENT_CONTROL	"[FSW] filtered sea water, used to control protocols"	2	0.8	5	TARA_039_FSW_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20100318T0956Z_039_EVENT_CONTROL_FSW_(2m)_SEQ-(100L-or-15min)_W0.8-5_N000000051	tara_20100315t0345z_038_event_cast	216.1791	P03DT05H55M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0023	0.0023	0.0034	0.0045	0.0045	0.0027	0.0027	0.0035	0.0043	0.0043	0	0	0	0	0	0	0	0	0	0	0	0	3.00E-04	6.00E-04	6.00E-04
TARA_N000002133	SAMEA2623781	ERS494401	TARA_149	TARA_20120301T1048Z_149_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.8		TARA_149_SRF_0.8->	SEQ-(100L-or-15min)_W>0.8	TARA_20120301T1048Z_149_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W>0.8_N000002133	tara_20120301t1156z_149_event_cast	3.1453	P00DT01H07M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000003249	SAMEA2623683	ERS494246	TARA_146	TARA_20120215T1254Z_146_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.8		TARA_146_SRF_0.8->	SEQ-(100L-or-15min)_W>0.8	TARA_20120215T1254Z_146_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W>0.8_N000003249	tara_20120215t1302z_146_event_cast	0.94626	P00DT00H05M	1	8.114037	8.114037	8.114037	8.114037	8.114037	11.093421	11.093421	11.093421	11.093421	11.093421	341.340207	341.340207	341.340207	341.340207	341.340207	340.19016	340.19016	340.19016	340.19016	340.19016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000003133	SAMEA2623541	ERS494034	TARA_143	TARA_20120116T1230Z_143_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.8		TARA_143_SRF_0.8->	SEQ-(100L-or-15min)_W>0.8	TARA_20120116T1230Z_143_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W>0.8_N000003133	tara_20120116t1235z_143_event_cast	0.002454	P00DT00H02M	1	8.088841	8.088841	8.088841	8.088841	8.088841	10.047949	10.047949	10.047949	10.047949	10.047949	357.044404	357.044404	357.044404	357.044404	357.044404	355.920123	355.920123	355.920123	355.920123	355.920123	0	0	0	0	0	0.0263	0.0263	0.0263	0.0263	0.0263	0.0099	0.0099	0.0099	0.0099	0.0099	8.00E-04	8.00E-04	8.00E-04	8.00E-04	8.00E-04	8.00E-04	8.00E-04	8.00E-04	8.00E-04	8.00E-04	0.0012	0.0012	0.0012	0.0012	0.0012
TARA_N000003085	SAMEA2623481	ERS493956	TARA_142	TARA_20120109T1341Z_142_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	5	20	TARA_142_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20120109T1341Z_142_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_N000003085	tara_20120108t2325z_142_event_cast	6.3376	P00DT14H24M	1	8.0769	8.0769	8.0769	8.0769	8.0769	10.431768	10.431768	10.431768	10.431768	10.431768	370.888929	370.888929	370.888929	370.888929	370.888929	369.721337	369.721337	369.721337	369.721337	369.721337	0	0	0	0	0	0.0392	0.0392	0.0392	0.0392	0.0392	0.018	0.018	0.018	0.018	0.018	0.001	0.001	0.001	0.001	0.001	0.0016	0.0016	0.0016	0.0016	0.0016	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04
TARA_N000003095	SAMEA2623459	ERS493927	TARA_141	TARA_20111230T1335Z_141_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.8		TARA_141_SRF_0.8->	SEQ-(100L-or-15min)_W>0.8	TARA_20111230T1335Z_141_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W>0.8_N000003095	tara_20111230t1300z_141_event_cast	0.77387	P00DT00H38M	1	8.06296	8.06296	8.06296	8.06296	8.06296	9.964816	9.964816	9.964816	9.964816	9.964816	369.57032	369.57032	369.57032	369.57032	369.57032	368.436099	368.436099	368.436099	368.436099	368.436099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000003092	SAMEA2623458	ERS493926	TARA_141	TARA_20111230T1335Z_141_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	5	20	TARA_141_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20111230T1335Z_141_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_N000003092	tara_20111230t1300z_141_event_cast	0.77387	P00DT00H38M	1	8.06296	8.06296	8.06296	8.06296	8.06296	9.964816	9.964816	9.964816	9.964816	9.964816	369.57032	369.57032	369.57032	369.57032	369.57032	368.436099	368.436099	368.436099	368.436099	368.436099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000003055	SAMEA2623437	ERS493888	TARA_140	TARA_20111221T1620Z_140_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.8		TARA_140_SRF_0.8->	SEQ-(100L-or-15min)_W>0.8	TARA_20111221T1620Z_140_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W>0.8_N000003055	tara_20111221t1628z_140_event_cast	0.11117	P00DT00H05M	1	8.078013	8.078013	8.078013	8.078013	8.078013	9.035155	9.035155	9.035155	9.035155	9.035155	321.70056	321.70056	321.70056	321.70056	321.70056	320.706913	320.706913	320.706913	320.706913	320.706913	0	0	0	0	0	0.012	0.012	0.01655	0.0211	0.0211	0.0392	0.0392	0.04365	0.0481	0.0481	0.0026	0.0026	0.0037	0.0048	0.0048	0.002	0.002	0.00445	0.0069	0.0069	0.0049	0.0049	0.0054	0.0059	0.0059
TARA_N000002999	SAMEA2623357	ERS493759	TARA_138	TARA_20111210T1408Z_138_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.8		TARA_138_SRF_0.8->	SEQ-(100L-or-15min)_W>0.8	TARA_20111210T1408Z_138_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W>0.8_N000002999	tara_20111210t1401z_138_event_cast	0.001841	P00DT00H09M	1	8.070004	8.070004	8.070004	8.070004	8.070004	9.803891	9.803891	9.803891	9.803891	9.803891	356.94714	356.94714	356.94714	356.94714	356.94714	355.844759	355.844759	355.844759	355.844759	355.844759	0	0	0	0	0	0.0059	0.0059	0.0059	0.0059	0.0059	0.0032	0.0032	0.0032	0.0032	0.0032	0	0	0	0	0	0	0	0	0	0	8.00E-04	8.00E-04	8.00E-04	8.00E-04	8.00E-04
