Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	Kd490 AMODIS at the sampling date	Kd490 AMODIS 8 days period	Kd490 AMODIS 30 days period	Kd490 GlobColour 8 days period	Kd490 GlobColour 30 days period	bbp470 8 days period	acCDOM 8 days period	"Kd(PAR) 30 days avg, eq.9"	"Kd(PAR) 30 days avg, eq.9'"	z(SD)	z(eu) GlobColour 8 days period	z(eu) Secchi Disk and AMODIS	z(eu) AMODIS 30 days avg from Kd(PAR)1	z(eu) AMODIS 30 days avg from Kd(PAR)2	UMLD from sigma theta	UMLD from temperature	Depth chl max 	Depth max Brunt Vaisala freq 	Depth max O2 	Depth min O2 	Depth nitracline 	Temp at depth 10m	Temp at the base of euphotic zone - Kd(PAR)1	Temp at the base of euphotic zone - Kd(PAR)2	Temp at the base of mixed layer - sigma theta	Temp at the depth of mixed layer - temperature	Temp at depth chl max	Temp at depth of max Brunt Vaisala freq	Temp at depth of max oxygent concentration	Temp at depth of min oxygent concentration	Temp at depth of nitracline	Sal at depth 10m	Sal at the base of euphotic zone - Kd(PAR)1	Sal at the base of euphotic zone - Kd(PAR)2	Sal at the base of mixed layer - sigma theta	Sal at the depth of mixed layer - Salerature	Sal at depth chl max	Sal at depth of max Brunt Vaisala freq	Sal at depth of max oxygent concentration	Sal at depth of min oxygent concentration	Sal at depth of nitracline	Sigma-theta at depth 10m	Sigma-theta at the base of euphotic zone - Kd(PAR)1	Sigma-theta at the base of euphotic zone - Kd(PAR)2	Sigma-theta at the base of mixed layer - sigma theta	Sigma-theta at the depth of mixed layer - Sigma-thetaerature	Sigma-theta at depth chl max	Sigma-theta at depth of max Brunt VaiSigma-thetaa freq	Sigma-theta at depth of max oxygent concentration	Sigma-theta at depth of min oxygent concentration	Sigma-theta at depth of nitracline	N**2 at depth 10m	N**2 at the base of euphotic zone - Kd(PAR)1	N**2 at the base of euphotic zone - Kd(PAR)2	N**2 at the base of mixed layer - sigma theta	N**2 at the depth of mixed layer - N**2erature	N**2 at depth chl max	N**2 at depth of max Brunt VaiN**2a freq	N**2 at depth of max oxygent concentration	N**2 at depth of min oxygent concentration	N**2 at depth of nitracline	Chl a at depth 10m	Chl a at the base of euphotic zone - Kd(PAR)1	Chl a at the base of euphotic zoChl a	Chl a at the base of mixed layer - sigma theta	Chl a at the depth of mixed layer - Chl aerature	Chl a at depth chl max	Chl a at depth of max BruChl aa freq	Chl a at depth of max oxygent concentration	Chl a at depth of min oxygent concentration	Chl a at depth of nitracline	Oxygen at depth 10m	Oxygen at the base of euphotic zone - Kd(PAR)1	Oxygen at the base of euphotic zoOxygen	Oxygen at the base of mixed layer - sigma theta	Oxygen at the depth of mixed layer - Oxygenerature	Oxygen at depth chl max	Oxygen at depth of max BruOxygena freq	Oxygen at depth of max oxygent concentration	Oxygen at depth of min oxygent concentration	Oxygen at depth of nitracline	NO3- at depth 10m	NO3- at the base of euphotic zone - Kd(PAR)1	NO3- at the base of euphotic zoNO3-	NO3- at the base of mixed layer - sigma theta	NO3- at the depth of mixed layer - NO3-erature	NO3- at depth chl max	NO3- at depth of max BruNO3-a freq	NO3- at depth of max NO3-t concentration	NO3- at depth of min NO3-t concentration	NO3- at depth of nitracline
TARA_20110809T2257Z_125_EVENT_NET	SV Tara	TARA_20110726Z	TARA_125	"Plankton net+sieve, type=single, mesh(µm)=5, mouth(m^2)=0.196349, length(m)=2.5"	8/9/11 22:57	-8.9058	-142.6179	NA	0.0438	0.04482	0.045167353	0.064550813	0.001170675	0.01524501	0.095454169	0.078675804	25	67.71539688	88	49	60	91	92	45	101	22	221	195	26.8131	26.774	26.7735	26.7734	26.7333	26.7737	25.6753	26.7828	16.1307	18.1919	35.5977	35.5952	35.5953	35.5986	35.6202	35.5952	36.2931	35.5956	35.3206	35.5785	23.1038	23.1174	23.1184	23.1231	23.1522	23.1171	23.9906	23.1128	25.849	25.5524	7.40E-06	8.37E-07	NA	0.00014601	0.00052313	9.33E-07	0.0010042	4.95E-06	0.0002543	NA	0.16721	0.41426	0.39582	0.32721	0.32721	0.41508	0.11843	0.27006	0.014819	0.0079204	187.4079	186.9968	187.1514	175.3356	171.8112	187.2897	152.7588	187.866	101.3487	132.6521	7.3748	6.7683	6.6556	7.5822	7.3417	6.8706	6.584	6.9743	14.4851	9.7985
TARA_20110801T2148Z_123_EVENT_NET	SV Tara	TARA_20110726Z	TARA_123	"Plankton net+sieve, type=single, mesh(µm)=5, mouth(m^2)=0.196349, length(m)=2.5"	8/1/11 21:48	-8.903	-140.2801	NA	0.057583	0.053255	0.055980301	0.081450351	0.001148263	0.025131152	0.107752136	0.090323999	11	55.65633774	47	43	52	99	105	40	116	14	263	233	26.5818	26.5609	26.5607	26.5578	26.4423	26.5606	25.1958	26.5782	12.6371	14.0129	35.5204	35.5192	35.5192	35.5397	35.5826	35.5194	35.8175	35.5209	35.0015	35.1297	23.1194	23.1277	23.1283	23.148	23.2171	23.1276	23.7821	23.1213	26.3494	26.1678	7.60E-06	2.89E-07	2.28E-07	4.59E-05	0.00014411	1.03E-07	0.0014988	8.98E-07	NA	0.00031417	0.18047	0.36926	0.35634	0.21249	0.15483	0.36331	0.040949	0.20148	0	0	188.9167	188.0577	187.9019	183.5427	178.1774	187.6733	164.2685	188.7081	42.7278	67.1223	6.3784	6.1077	5.9623	6.683	7.6144	6.0919	7.652	6.1849	24.0504	19.2755
TARA_20110801T1755Z_123_Combined-EVENTS_CAST	SV Tara	TARA_20110726Z	TARA_123	Rosette Vertical Sampling System	8/1/11 17:52	-8.9109	-140.2845	NA	0.057583	0.053255	0.055980301	0.081450351	0.001148263	0.025131152	0.107752136	0.090323999	11	55.65633774	47	43	52	95	107	36	234	13	237	236	26.5445	26.5456	26.5478	26.5183	26.3918	26.5438	15.3949	26.5443	14.699	14.7398	35.5173	35.5173	35.5174	35.5277	35.567	35.5173	35.2658	35.5171	35.1696	35.1834	23.129	23.1311	23.1311	23.1512	23.2215	23.1311	25.9739	23.1291	26.0529	26.0546	8.36E-07	6.90E-08	1.29E-07	0.00013299	0.00016109	7.28E-07	0.00048161	4.39E-07	3.42E-05	0.00013522	0.2293	0.29332	0.27904	0.21249	0.14241	0.29283	0	0.24256	0	0	188.4045	188.5419	188.3853	184.4576	180.1295	188.1449	85.024	189.2821	84.2706	84.6847	5.4729	4.7492	5.3628	5.2529	5.1048	5.0746	13.8438	5.5328	16.8937	15.754
TARA_20100322T1550Z_040_EVENT_CAST	SV Tara	TARA_20100309Z	TARA_040	Rosette Vertical Sampling System	3/22/10 15:48	17.4855	68.0247	NA	0.0535	0.045876	0.054077931	0.075651582	0.000926356	0.034711566	0.097091275	0.080220177	NA	57.57928467	NA	50	60	19	30	36	71	15	486	73	27.55	25.5454	24.9473	27.5671	27.4123	26.5026	23.9215	27.5398	12.3961	23.6934	36.3852	36.3413	36.2483	36.4302	36.7684	36.5146	36.0854	36.399	35.808	36.0561	23.4566	24.0637	24.1785	23.4855	23.7901	23.8924	24.3653	23.4706	27.0252	24.4109	1.19E-05	0.00014601	0.00018494	0.00010174	0.00029074	4.08E-06	0.00027817	3.55E-05	1.89E-05	0.00020502	0.06872	0.37902	0.19743	0.085244	0.13357	0.44275	0.040949	0.07131	0.040949	0.023354	191.7165	132.806	98.6966	191.7781	190.3212	177.7608	55.1026	191.147	2.6651	48.9693	1.2537	6.6447	9.8928	1.1998	1.1116	0.43907	15.784	1.0952	28.5747	17.1072
TARA_20100320T0817Z_039_Combined-EVENTS_CAST	SV Tara	TARA_20100309Z	TARA_039	Rosette Vertical Sampling System	3/20/10 8:15	18.7341	66.3896	NA	0.054982	0.046025	0.054879779	0.077220846	0.001094813	0.034661828	0.097319669	0.08043579	NA	56.54252815	NA	49	59	12	14	34	3	16	486	125	27.4172	25.7603	25.6367	27.3552	27.2793	26.4265	27.7676	27.1199	12.9874	22.1913	36.5011	36.6316	36.7717	36.5101	36.5186	36.6018	36.4963	36.5418	35.9708	36.2531	23.5866	24.2149	24.3594	23.6137	23.6447	23.9818	23.4683	23.7138	27.0339	24.9971	6.97E-05	0.00012823	5.47E-05	0.00018461	0.00023973	0.00017913	NA	0.00015981	NA	0.00013835	0.068955	0.54213	0.44176	0.068955	0.079727	0.67421	NA	0.092908	0.020102	0	191.4869	182.1694	184.3247	191.3776	192.8124	180.8582	190.0599	192.3682	2.711	33.3231	-0.82788	3.4276	1.5512	0.23007	0.27334	0.9405	0.079497	1.059	26.0364	22.6
TARA_20100316T0614Z_038_Combined-EVENTS_CAST	SV Tara	TARA_20100309Z	TARA_038	Rosette Vertical Sampling System	3/16/10 6:13	19.0351	64.5638	NA	0.060764	0.068316	0.060305182	0.08346986	0.00147727	0.032979826	0.126737477	0.108496374	17	51.80554199	67	37	44	16	18	27	114	14	475	109	26.2294	25.1499	25.1311	26.157	26.0512	25.2178	22.0618	26.2131	13.1032	22.9803	36.7656	36.7733	36.7699	36.7551	36.7385	36.714	36.333	36.7659	35.9839	36.5286	24.1655	24.5098	24.5134	24.1808	24.2018	24.4435	25.0936	24.1711	27.0204	24.9783	1.53E-05	2.05E-05	1.93E-05	0.00011705	6.49E-05	0.00017276	0.00021803	NA	7.61E-06	0.00025059	0.1299	0.36713	0.31035	0.15409	0.16377	0.41952	0	0.14799	0.02801	0	200.3254	176.8718	176.0698	203.086	203.1201	183.0961	29.2148	200.5852	2.7254	49.5029	0.9403	5.2605	4.7263	1.4816	1.7882	2.5857	23.7797	1.1273	25.811	15.1967
TARA_20100313T0507Z_037_Combined-EVENTS_CAST	SV Tara	TARA_20100309Z	TARA_037	Rosette Vertical Sampling System	3/12/10 17:08	20.8457	63.5851	0.079044	0.090638	0.099784	0.084344614	0.122076865	0.002787143	0.124986753	0.1608794	0.141585023	NA	39.00771523	NA	29	33	NA	NA	49	30	13	587	95	25.665	NA	NA	25.5821	25.4771	24.9587	26.4739	25.5821	12.3248	22.6232	36.7084	NA	NA	36.7076	36.7251	36.7067	36.746	36.7076	NA	36.5222	24.2996	NA	NA	24.325	24.371	24.5175	24.0728	24.325	NA	25.0762	6.86E-05	NA	NA	7.94E-05	0.00010764	NA	NA	7.94E-05	NA	0.00016529	0.19641	NA	NA	0.22664	0.26812	0.69151	NA	0.22664	0	0	207.8981	NA	NA	209.1623	209.9038	198.5282	205.311	209.1623	2.8405	47.7207	2.9005	NA	NA	1.9224	3.3931	3.5078	3.7462	1.9224	32.0005	21.8884
TARA_20120319T1502Z_152_Combined-EVENTS_CAST	SV Tara	TARA_20120314Z	TARA_152	Rosette Vertical Sampling System	3/19/12 14:59	43.7182	-16.8714	NA	0.0534	0.0652	0.055665169	0.079138741	0.001358631	0.025040014	0.12302453	0.104926518	23	56.7079277	74	34	40	162	138	24	922	13	883	922	14.3291	14.3098	14.3099	13.8479	14.1548	14.3139	9.9375	14.3322	10.12	9.9375	36.1629	36.1623	36.1622	36.0605	36.1232	36.1624	35.8522	36.1631	35.8517	35.8522	26.8884	26.8929	26.893	26.9166	26.8992	26.8917	27.5181	26.888	27.4858	27.5181	1.58E-06	4.37E-07	6.25E-07	3.19E-05	3.21E-05	2.20E-06	3.82E-05	3.15E-06	7.09E-06	3.82E-05	0.28338	0.35965	0.35316	0.040949	0.13107	0.35965	0	0.28496	0	0	243.1371	242.2799	241.9978	234.4086	236.7236	241.9681	175.251	242.8537	174.7779	175.251	1.8714	2.7724	1.3633	2.9173	2.7777	0.85598	16.2063	0.98098	18.6877	16.2063
TARA_20120305T1734Z_150_EVENT_PUMP	SV Tara	TARA_20120223Z	TARA_150	High Volume Peristaltic Pump	3/5/12 17:34	35.8427	-37.1526	NA	0.051769	0.044777	0.052444309	0.0719379	0.001349442	0.027109537	0.095386803	0.078612296	18	59.02894211	65	46	56	58	61	48	105	13	547	129	17.706	17.6459	17.5961	17.5688	17.5236	17.6442	17.0298	17.7066	11.3472	16.8311	36.4122	36.4106	36.405	36.4018	36.3965	36.4103	36.4011	36.4121	35.6671	36.4645	26.3001	26.3152	26.3236	26.3278	26.335	26.3155	26.4598	26.3001	27.1166	26.5567	7.39E-07	1.83E-06	3.43E-05	3.57E-05	3.65E-05	2.58E-06	4.75E-05	2.14E-07	2.33E-05	9.01E-05	0.32158	0.3697	0.38857	0.37578	0.33396	0.37014	0.049225	0.32149	0	0.0045134	230.627	230.0006	228.1829	228.1044	227.7081	230.4653	211.848	230.1985	163.1707	198.4594	0.14185	1.5709	1.5824	0.42582	1.3979	0.97326	2.7	0.63822	18.0824	4.9902
TARA_20120301T1853Z_149_Combined-EVENTS_CAST	SV Tara	TARA_20120223Z	TARA_149	Rosette Vertical Sampling System	3/1/12 18:50	34.0771	-49.8233	0.049673	0.049673	0.047481	0.051829288	0.071800623	0.000959259	0.027054391	0.099519557	0.082514516	23	59.31817627	77	44	53	73	150	28	150	14	750	878	18.8278	18.7451	18.7386	18.7779	18.6622	18.7339	18.6622	18.752	10.2406	8.0183	36.5795	36.585	36.5845	36.5978	36.7132	36.5792	36.7132	36.5727	35.5044	35.3397	26.146	26.1729	26.1746	26.1756	26.2965	26.1706	26.2965	26.1604	27.1922	27.423	9.54E-05	2.99E-07	6.53E-07	4.07E-06	6.26E-05	3.01E-06	6.26E-05	3.24E-06	2.67E-05	2.25E-06	0.23933	0.32296	0.29645	0.22713	0.040949	0.34759	0.040949	0.2604	0.0065088	0	220.5331	219.5612	218.4433	218.0712	187.8412	220.5015	187.8412	221.0149	150.087	167.5284	-0.024582	0.43743	0.61692	0.41785	1.3457	1.6821	1.3457	0.21237	21.2713	21.4666
