parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type
SampleID_Tara									https://www.ncbi.nlm.nih.gov/bioproject/253565	
BioSample									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Chlorophyll Sensor					mg Chl/m3				https://www.ncbi.nlm.nih.gov/bioproject/253565	
min_Depth					m				https://www.ncbi.nlm.nih.gov/bioproject/253565	
max_Depth					m				https://www.ncbi.nlm.nih.gov/bioproject/253565	
Description									https://www.ncbi.nlm.nih.gov/bioproject/253565	
ENA checklist									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Environment (Biome)									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Environment (Feature)									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Environment (Material)									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Environmental Package									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Event Date/Time End									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Event Date/Time Start									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Event Label									https://www.ncbi.nlm.nih.gov/bioproject/253565	
INSDC center alias									https://www.ncbi.nlm.nih.gov/bioproject/253565	
INSDC center name									https://www.ncbi.nlm.nih.gov/bioproject/253565	
INSDC first public									https://www.ncbi.nlm.nih.gov/bioproject/253565	
INSDC last update									https://www.ncbi.nlm.nih.gov/bioproject/253565	
INSDC status									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Last Update Date									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Latitude End					DD				https://www.ncbi.nlm.nih.gov/bioproject/253565	
Latitude Start					DD				https://www.ncbi.nlm.nih.gov/bioproject/253565	
Longitude End					DD				https://www.ncbi.nlm.nih.gov/bioproject/253565	
Longitude Start					DD				https://www.ncbi.nlm.nih.gov/bioproject/253565	
Marine Region									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Nitrate Sensor					µmol/L				https://www.ncbi.nlm.nih.gov/bioproject/253565	
Oxygen Sensor					µmol/kg				https://www.ncbi.nlm.nih.gov/bioproject/253565	
Project Name									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Protocol Label									https://www.ncbi.nlm.nih.gov/bioproject/253565	
SRA accession									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Salinity Sensor					psu				https://www.ncbi.nlm.nih.gov/bioproject/253565	
Sample Collection Device									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Sample Name									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Sampling Campaign									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Sampling Platform									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Sampling Station									https://www.ncbi.nlm.nih.gov/bioproject/253565	
Size Fraction Lower Threshold					µm				https://www.ncbi.nlm.nih.gov/bioproject/253565	
Size Fraction Upper Threshold					µm				https://www.ncbi.nlm.nih.gov/bioproject/253565	
Temperature					¡C				https://www.ncbi.nlm.nih.gov/bioproject/253565	
Title									https://www.ncbi.nlm.nih.gov/bioproject/253565	
