SampleID_Tara	BioSample	Chlorophyll Sensor	Minimum Depth	Maximum Depth	Description	ENA checklist	Environment (Biome)	Environment (Feature)	Environment (Material)	Environmental Package	Event Date/Time End	Event Date/Time Start	Event Label	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Last Update Date	Latitude End	Latitude Start	Longitude End	Longitude Start	Marine Region	Nitrate Sensor	Oxygen Sensor	Project Name	Protocol Label	SRA accession	Salinity Sensor	Sample Collection Device	Sample Name	Sampling Campaign	Sampling Platform	Sampling Station	Size Fraction Lower Threshold	Size Fraction Upper Threshold	Temperature	Title
TARA_A100000810	SAMEA2731305	99999	0	100	This sample (TARA_A100000810) was collected during the Tara Oceans expedition (2009-2013) at station TARA_019 (latitudeN=34.2189, longitudeE=13.891) on date/time=2009-11-11T18:27, using a PLANKTON NET, TYPE=Bongo, MESH_Size_(μm)=180, MOUTH_Opening_(m^2)=0.258319, LENGTH_(m)=3. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 0-100 m, targeting a water layer with no specific feature in the marine biome (ENVO:00000447). The sample was size-fractionated (180-2000 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis.	ERC000030	marine biome (ENVO:00000447)	water layer with no specific feature	particulate matter, including plankton (ENVO:xxxxxxxx)	water	2009-11-11T18:49	2009-11-11T18:27	TARA_20091111T1827Z_019_EVENT_NET	GSC	Genoscope	2016-12-13T17:03:48Z	2015-11-04T11:48:42Z	public	2014-05-01Z	34.2173	34.2189	13.9059	13.891	(search radius=5 degrees) Marine Province:Mediterranean Sea (MRGID:8552), Marine Ecoregion:Tunisian Plateau/Gulf of Sidra (MRGID:21898), Marine Ecoregion:Ionian Sea (MRGID:3351)	99999	99999	Tara Oceans expedition (2009-2013)	PROT_NUC-RNA(1L)_N180-2000	ERS488378	99999	PLANKTON NET, TYPE=Bongo, MESH_Size_(ÔøΩm)=180, MOUTH_Opening_(m^2)=0.258319, LENGTH_(m)=3	ERS488378	TARA_20091108Z	SV Tara	TARA_019	180	2000	99999	TARA_20091111T1827Z_019_EVENT_NET_N1+N2_dZ_(0-100 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_A100000810
TARA_N000002083	SAMEA2657006	0.025524	0	140	This sample (TARA_N000002083) was collected during the Tara Oceans expedition (2009-2013) at station TARA_125 (latitudeN=-8.9058, longitudeE=-142.6179) on date/time=2011-08-09T22:57, using a PLANKTON NET, TYPE=Single, MESH_Size_(μm)=5, MOUTH_Opening_(m^2)=0.196349, LENGTH_(m)=2.5. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 0-140 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (5-20 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_N000002084.	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	particulate matter, including plankton (ENVO:xxxxxxxx)	water	2011-08-09T23:44	2011-08-09T22:57	TARA_20110809T2257Z_125_EVENT_NET	GSC	Genoscope	2014-07-15T17:01:42Z	2015-11-04T11:48:50Z	public	2014-05-01Z	-8.9026	-8.9058	-142.6406	-142.6179	(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)	4.263645	159.902145	Tara Oceans expedition (2009-2013)	PROT_NUC-DNA(1L)_N5-20	ERS492950	36.272197	PLANKTON NET, TYPE=Single, MESH_Size_(ÔøΩm)=5, MOUTH_Opening_(m^2)=0.196349, LENGTH_(m)=2.5	ERS492950	TARA_20110726Z	SV Tara	TARA_125	5	20	23.695465	TARA_20110809T2257Z_125_EVENT_NET_N1_X_(0-140 m)_PROT_NUC-DNA(1L)_N5-20_TARA_N000002083
TARA_N000002002	SAMEA2657028	99999	0	150	This sample (TARA_N000002002) was collected during the Tara Oceans expedition (2009-2013) at station TARA_123 (latitudeN=-8.903, longitudeE=-140.2801) on date/time=2011-08-01T21:48, using a PLANKTON NET, TYPE=Single, MESH_Size_(μm)=5, MOUTH_Opening_(m^2)=0.196349, LENGTH_(m)=2.5. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 0-150 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (5-20 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_N000002003.	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	particulate matter, including plankton (ENVO:xxxxxxxx)	water	2011-08-01T23:00	2011-08-01T21:48	TARA_20110801T2148Z_123_EVENT_NET	GSC	Genoscope	2014-07-15T17:01:42Z	2015-11-04T11:49:01Z	public	2014-05-01Z	-8.8763	-8.903	-140.3069	-140.2801	(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)	99999	99999	Tara Oceans expedition (2009-2013)	PROT_NUC-DNA(1L)_N5-20	ERS492804	99999	PLANKTON NET, TYPE=Single, MESH_Size_(ÔøΩm)=5, MOUTH_Opening_(m^2)=0.196349, LENGTH_(m)=2.5	ERS492804	TARA_20110726Z	SV Tara	TARA_123	5	20	99999	TARA_20110801T2148Z_123_EVENT_NET_N1_X_(0-150 m)_PROT_NUC-DNA(1L)_N5-20_TARA_N000002002
TARA_A100000693	SAMEA2731098	99999	0	500	This sample (TARA_A100000693) was collected during the Tara Oceans expedition (2009-2013) at station TARA_021 (latitudeN=37.5145, longitudeE=17.3062) on date/time=2009-11-15T10:31, using a PLANKTON NET, TYPE=Bongo, MESH_Size_(μm)=180, MOUTH_Opening_(m^2)=0.258319, LENGTH_(m)=3. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 0-500 m, targeting a water layer with no specific feature in the marine biome (ENVO:00000447). The sample was size-fractionated (180-2000 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis.	ERC000030	marine biome (ENVO:00000447)	water layer with no specific feature	particulate matter, including plankton (ENVO:xxxxxxxx)	water	2009-11-15T11:19	2009-11-15T10:31	TARA_20091115T1031Z_021_EVENT_NET	GSC	Genoscope	2016-12-13T17:03:48Z	2015-11-04T11:48:33Z	public	2014-05-01Z	37.5141	37.5145	17.3285	17.3062	(search radius=5 degrees) Marine Province:Mediterranean Sea (MRGID:8552), Marine Ecoregion:Ionian Sea (MRGID:3351)	99999	99999	Tara Oceans expedition (2009-2013)	PROT_NUC-RNA(1L)_N180-2000	ERS488434	99999	PLANKTON NET, TYPE=Bongo, MESH_Size_(ÔøΩm)=180, MOUTH_Opening_(m^2)=0.258319, LENGTH_(m)=3	ERS488434	TARA_20091111Z	SV Tara	TARA_021	180	2000	99999	TARA_20091115T1031Z_021_EVENT_NET_N1+N2_dZ_(0-500 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_A100000693
TARA_N000002016	SAMEA2622743	0.051638	150	150	This sample (TARA_N000002016) was collected during the Tara Oceans expedition (2009-2013) at station TARA_123 (latitudeN=-8.9109, longitudeE=-140.2845) on date/time=2011-08-01T17:52:45, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 150-150 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.8-> micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_N000002012,TARA_N000002013,TARA_N000002014,TARA_N000002015.	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	particulate matter, including plankton (ENVO:xxxxxxxx)	water	2011-08-02T00:37	2011-08-01T17:52	TARA_20110801T1755Z_123_Combined-EVENTS_CAST	GSC	Genoscope	2017-03-10T17:01:31Z	2015-11-04T11:48:57Z	public	2014-05-01Z	-8.896	-8.9109	-140.2861	-140.2845	(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)	5.023264	161.3185	Tara Oceans expedition (2009-2013)	PROT_NUC-DNA(100L)_W0.8->	ERS492788	35.88072	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492788	TARA_20110726Z	SV Tara	TARA_123	0.8		22.1151	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MB_X_(150 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002016
TARA_N000002015	SAMEA2622742	0.051638	150	150	This sample (TARA_N000002015) was collected during the Tara Oceans expedition (2009-2013) at station TARA_123 (latitudeN=-8.9109, longitudeE=-140.2845) on date/time=2011-08-01T17:52:45, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 150-150 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.8-> micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_N000002012,TARA_N000002013,TARA_N000002014,TARA_N000002016.	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	particulate matter, including plankton (ENVO:xxxxxxxx)	water	2011-08-02T00:37	2011-08-01T17:52	TARA_20110801T1755Z_123_Combined-EVENTS_CAST	GSC	Genoscope	2017-03-10T17:01:31Z	2015-11-04T11:48:57Z	public	2014-05-01Z	-8.896	-8.9109	-140.2861	-140.2845	(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)	5.023264	161.3185	Tara Oceans expedition (2009-2013)	PROT_NUC-DNA(100L)_W0.8->	ERS492787	35.88072	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492787	TARA_20110726Z	SV Tara	TARA_123	0.8		22.1151	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MB_X_(150 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002015
TARA_N000002014	SAMEA2622741	0.051638	150	150	This sample (TARA_N000002014) was collected during the Tara Oceans expedition (2009-2013) at station TARA_123 (latitudeN=-8.9109, longitudeE=-140.2845) on date/time=2011-08-01T17:52:45, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 150-150 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.8-> micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_N000002012,TARA_N000002013,TARA_N000002015,TARA_N000002016.	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	particulate matter, including plankton (ENVO:xxxxxxxx)	water	2011-08-02T00:37	2011-08-01T17:52	TARA_20110801T1755Z_123_Combined-EVENTS_CAST	GSC	Genoscope	2017-03-10T17:01:31Z	2015-11-04T11:48:55Z	public	2014-05-01Z	-8.896	-8.9109	-140.2861	-140.2845	(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)	5.023264	161.3185	Tara Oceans expedition (2009-2013)	PROT_NUC-DNA(100L)_W0.8->	ERS492786	35.88072	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492786	TARA_20110726Z	SV Tara	TARA_123	0.8		22.1151	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MB_X_(150 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002014
TARA_N000002013	SAMEA2622740	0.051638	150	150	This sample (TARA_N000002013) was collected during the Tara Oceans expedition (2009-2013) at station TARA_123 (latitudeN=-8.9109, longitudeE=-140.2845) on date/time=2011-08-01T17:52:45, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 150-150 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.8-> micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_N000002012,TARA_N000002014,TARA_N000002015,TARA_N000002016.	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	particulate matter, including plankton (ENVO:xxxxxxxx)	water	2011-08-02T00:37	2011-08-01T17:52	TARA_20110801T1755Z_123_Combined-EVENTS_CAST	GSC	Genoscope	2017-03-10T17:01:31Z	2015-11-04T11:48:55Z	public	2014-05-01Z	-8.896	-8.9109	-140.2861	-140.2845	(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)	5.023264	161.3185	Tara Oceans expedition (2009-2013)	PROT_NUC-DNA(100L)_W0.8->	ERS492785	35.88072	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492785	TARA_20110726Z	SV Tara	TARA_123	0.8		22.1151	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MB_X_(150 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002013
TARA_N000002012	SAMEA2622739	0.051638	150	150	This sample (TARA_N000002012) was collected during the Tara Oceans expedition (2009-2013) at station TARA_123 (latitudeN=-8.9109, longitudeE=-140.2845) on date/time=2011-08-01T17:52:45, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 150-150 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.8-> micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_N000002013,TARA_N000002014,TARA_N000002015,TARA_N000002016.	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	particulate matter, including plankton (ENVO:xxxxxxxx)	water	2011-08-02T00:37	2011-08-01T17:52	TARA_20110801T1755Z_123_Combined-EVENTS_CAST	GSC	Genoscope	2017-03-10T17:01:31Z	2015-11-04T11:48:55Z	public	2014-05-01Z	-8.896	-8.9109	-140.2861	-140.2845	(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)	5.023264	161.3185	Tara Oceans expedition (2009-2013)	PROT_NUC-DNA(100L)_W0.8->	ERS492784	35.88072	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492784	TARA_20110726Z	SV Tara	TARA_123	0.8		22.1151	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MB_X_(150 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002012
TARA_N000000068	SAMEA2620183	0	285	285	This sample (TARA_N000000068) was collected during the Tara Oceans expedition (2009-2013) at station TARA_040 (latitudeN=17.4855, longitudeE=68.0247) on date/time=2010-03-22T15:48:12, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 280-289 m, targeting a mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065) in the marine biome (ENVO:00000447). The sample was size-fractionated (3-> micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis.	ERC000030	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	particulate matter, including plankton (ENVO:xxxxxxxx)	water	2010-03-22T16:22	2010-03-22T15:48	TARA_20100322T1550Z_040_EVENT_CAST	GSC	Genoscope	2017-03-10T17:01:31Z	2015-11-04T11:48:14Z	public	2014-05-01Z	17.4857	17.4855	68.0172	68.0247	(search radius=5 degrees) Marine Ecoregion:Western India (MRGID:22017)	21.900361	2.2655	Tara Oceans expedition (2009-2013)	PROT_NUC-RNA(100L)_W3->	ERS489024	35.9149	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS489024	TARA_20100309Z	SV Tara	TARA_040	3		15.0776	TARA_20100322T1550Z_040_EVENT_CAST_B6_M_(285 m)_PROT_NUC-RNA(100L)_W3->_TARA_N000000068
