Sample_event_ID	start_ISO_dateTime	stop_ISO_dateTime	start_lat	stop_lat	start_lon	stop_lon	Cruise_ID	Station_name	sampling_event_type	cruise_expedition
TARA_20110801T1755Z_123_Combined-EVENTS_CAST	2011-08-01 17:52:00	2011-08-02 00:37:00	-8.911	-8.896	-140.285	-140.286	TARA_20110726Z	TARA_123	cast	Tara Oceans
TARA_20110801T1755Z_123_Combined-EVENTS_CAST	2011-08-01 17:52:00	2011-08-02 00:37:00	-8.911	-8.896	-140.285	-140.286	TARA_20110726Z	TARA_123	cast	Tara Oceans
TARA_20110801T1755Z_123_Combined-EVENTS_CAST	2011-08-01 17:52:00	2011-08-02 00:37:00	-8.911	-8.896	-140.285	-140.286	TARA_20110726Z	TARA_123	cast	Tara Oceans
TARA_20110801T1755Z_123_Combined-EVENTS_CAST	2011-08-01 17:52:00	2011-08-02 00:37:00	-8.911	-8.896	-140.285	-140.286	TARA_20110726Z	TARA_123	cast	Tara Oceans
TARA_20110801T1755Z_123_Combined-EVENTS_CAST	2011-08-01 17:52:00	2011-08-02 00:37:00	-8.911	-8.896	-140.285	-140.286	TARA_20110726Z	TARA_123	cast	Tara Oceans
TARA_20100322T1550Z_040_EVENT_CAST	2010-03-22 15:48:00	2010-03-22 16:22:00	17.485	17.486	68.025	68.017	TARA_20100309Z	TARA_040	cast	Tara Oceans
TARA_20100320T0817Z_039_Combined-EVENTS_CAST	2010-03-20 08:15:00	2010-03-20 16:00:00	18.734	18.735	66.39	66.389	TARA_20100309Z	TARA_039	cast	Tara Oceans
TARA_20100320T0817Z_039_Combined-EVENTS_CAST	2010-03-20 08:15:00	2010-03-20 16:00:00	18.734	18.735	66.39	66.389	TARA_20100309Z	TARA_039	cast	Tara Oceans
TARA_20100316T0614Z_038_Combined-EVENTS_CAST	2010-03-16 06:13:00	2010-03-16 13:54:00	19.035	18.992	64.564	64.576	TARA_20100309Z	TARA_038	cast	Tara Oceans
TARA_20100316T0614Z_038_Combined-EVENTS_CAST	2010-03-16 06:13:00	2010-03-16 13:54:00	19.035	18.992	64.564	64.576	TARA_20100309Z	TARA_038	cast	Tara Oceans
TARA_20100313T0507Z_037_Combined-EVENTS_CAST	2010-03-12 17:08:00	2010-03-13 14:25:00	20.846	20.819	63.585	63.616	TARA_20100309Z	TARA_037	cast	Tara Oceans
