SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_N000000202	TARA_20100508Z	TARA_051	TARA_20100511T0342Z_051_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.364876	0.41611	0.276402	0.285707	0.742926	0.69329	NA	NA	NA	NA	NA	NA	NA
TARA_N000000231	TARA_20100508Z	TARA_051	TARA_20100511T0342Z_051_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.364876	0.41611	0.276402	0.285707	0.742926	0.69329	NA	NA	NA	NA	NA	NA	NA
TARA_N000000278	TARA_20100410Z	TARA_047	TARA_20100416T0442Z_047_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.21189	0.245983	0.073969	0.082761	0.688906	0.718092	NA	NA	NA	NA	NA	NA	NA
TARA_N000000267	TARA_20100410Z	TARA_046	TARA_20100415T0201Z_046_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.280692	0.329145	0.151409	0.175097	0.641694	0.747565	NA	NA	NA	NA	NA	NA	NA
TARA_N000000264	TARA_20100410Z	TARA_046	TARA_20100415T0201Z_046_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.280692	0.329145	0.151409	0.175097	0.641694	0.747565	NA	NA	NA	NA	NA	NA	NA
TARA_N000000070	TARA_20100327Z	TARA_041	TARA_20100330T1056Z_041_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.21705	0.253871	0.255724	0.299314	0.685513	0.560517	NA	NA	NA	NA	NA	NA	NA
TARA_N000000006	TARA_20100309Z	TARA_039	TARA_20100318T0427Z_039_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.386281	0.498761	0.57099	0.741752	0.595296	0.51759	NA	NA	NA	NA	NA	NA	NA
TARA_N000000016	TARA_20100309Z	TARA_039	TARA_20100318T0427Z_039_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.386281	0.498761	0.57099	0.741752	0.595296	0.51759	NA	NA	NA	NA	NA	NA	NA
TARA_N000000113	TARA_20100410Z	TARA_048	TARA_20100419T0756Z_048_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.262804	0.3026	0.132355	0.149665	0.613509	0.631249	NA	NA	NA	NA	NA	NA	NA
TARA_N000000072	TARA_20100327Z	TARA_041	TARA_20100330T1056Z_041_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.21705	0.253871	0.255724	0.299314	0.685513	0.560517	NA	NA	NA	NA	NA	NA	NA
TARA_N000000073	TARA_20100327Z	TARA_041	TARA_20100330T0247Z_041_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.21705	0.253871	0.255724	0.299314	0.685513	0.560517	NA	NA	NA	NA	NA	NA	NA
TARA_N000000071	TARA_20100327Z	TARA_041	TARA_20100330T0247Z_041_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.21705	0.253871	0.255724	0.299314	0.685513	0.560517	NA	NA	NA	NA	NA	NA	NA
TARA_A200000123	TARA_20090919Z	TARA_007	TARA_20090923T1250Z_007_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.635715	0.967687	0.595501	0.737693	0.600423	0.5693	3872.353048	3729.129447	6.525141459	2591.99	7.201535848	15495.1	0.746406446
TARA_A100000551	TARA_20091111Z	TARA_023	TARA_20091118T0841Z_023_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.309499	0.501187	0.456978	0.545525	0.245502	0.542748	3734.949352	3631.551225	6.583423185	2658	7.133620618	14477.2	0.744611238
