SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite_min	Nitrite_first_quartile	Nitrite_median	Nitrite_third_quartile	Nitrite_max	Phosphate_min	Phosphate_first_quartile	Phosphate_median	Phosphate_third_quartile	Phosphate_max	Nitrate and Nitrite_min	Nitrate and Nitrite_first_quartile	Nitrate and Nitrite_median	Nitrate and Nitrite_third_quartile	Nitrate and Nitrite_max	Silicate_min	Silicate_first_quartile	Silicate_median	Silicate_third_quartile	Silicate_max
TARA_N000000202	SAMEA2620505	ERS489453	TARA_051	TARA_20100511T0342Z_051_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_051_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20100511T0342Z_051_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_N000000202	"tara_20100511t0350z_051_event_cast,tara_20100511t0915z_051_event_cast"	0.39513-2.754	P00DT00H07M	1	0	0	0	0	0	0.07325	0.07325	0.07325	0.07325	0.07325	0.138	0.138	0.138	0.138	0.138	1.8665	1.8665	1.8665	1.8665	1.8665
TARA_N000000231	SAMEA2620500	ERS489448	TARA_051	TARA_20100511T0342Z_051_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8	5	TARA_051_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20100511T0342Z_051_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_N000000231	"tara_20100511t0350z_051_event_cast,tara_20100511t0915z_051_event_cast"	0.39513-2.754	P00DT00H07M	1	0	0	0	0	0	0.07325	0.07325	0.07325	0.07325	0.07325	0.138	0.138	0.138	0.138	0.138	1.8665	1.8665	1.8665	1.8665	1.8665
TARA_N000000278	SAMEA2620396	ERS489303	TARA_047	TARA_20100416T0442Z_047_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8	20	TARA_047_SRF_0.8-20	SEQ-(100L-or-15min)_W0.8-20	TARA_20100416T0442Z_047_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-20_N000000278	tara_20100416t0444z_047_event_cast	0.003704	P00DT00H01M	1	0.001	0.001	0.001	0.001	0.001	0.093	0.093	0.093	0.093	0.093	0.018	0.018	0.018	0.018	0.018	2.284	2.284	2.284	2.284	2.284
TARA_N000000267	SAMEA2620378	ERS489279	TARA_046	TARA_20100415T0201Z_046_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8	5	TARA_046_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20100415T0201Z_046_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_N000000267	tara_20100415t0240z_046_event_cast	0.006677	P00DT00H37M	2	0.004	0.004	0.0045	0.005	0.005	0.099	0.099	0.102	0.105	0.105	0.045	0.045	0.047	0.049	0.049	1.935	1.935	1.947	1.959	1.959
TARA_N000000264	SAMEA2620377	ERS489278	TARA_046	TARA_20100415T0201Z_046_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_046_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20100415T0201Z_046_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_N000000264	tara_20100415t0240z_046_event_cast	0.006677	P00DT00H37M	2	0.004	0.004	0.0045	0.005	0.005	0.099	0.099	0.102	0.105	0.105	0.045	0.045	0.047	0.049	0.049	1.935	1.935	1.947	1.959	1.959
TARA_N000000070	SAMEA2620220	ERS489077	TARA_041	TARA_20100330T1056Z_041_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	5	20	TARA_041_DCM_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20100330T1056Z_041_EVENT_PUMP_DCM_(60m)_SEQ-(500mL-or-15min)_W5-20_N000000070	"tara_20100330t0848z_041_event_cast,tara_20100330t0257z_041_event_cast"	0.72154-5.768	P00DT02H09M	2	0.067	0.067	0.2375	0.408	0.408	0.344	0.344	0.846	1.348	1.348	0.494	0.494	7.847	15.2	15.2	1.379	1.379	3.5765	5.774	5.774
TARA_N000000006	SAMEA2620071	ERS488885	TARA_039	TARA_20100318T0427Z_039_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8	5	TARA_039_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20100318T0427Z_039_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_N000000006	"tara_20100318t0441z_039_event_cast,tara_20100318t0956z_039_event_cast"	9.9009-14.5118	P00DT00H14M	2	0.005	0.005	0.0065	0.008	0.008	0.233	0.233	0.2335	0.234	0.234	0.034	0.034	0.0425	0.051	0.051	1.435	1.435	1.515	1.595	1.595
TARA_N000000016	SAMEA2620070	ERS488884	TARA_039	TARA_20100318T0427Z_039_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_039_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20100318T0427Z_039_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_N000000016	"tara_20100318t0441z_039_event_cast,tara_20100318t0956z_039_event_cast"	9.9009-14.5118	P00DT00H14M	2	0.005	0.005	0.0065	0.008	0.008	0.233	0.233	0.2335	0.234	0.234	0.034	0.034	0.0425	0.051	0.051	1.435	1.435	1.515	1.595	1.595
TARA_N000000113	SAMEA2620418	ERS489329	TARA_048	TARA_20100419T0756Z_048_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8	20	TARA_048_SRF_0.8-20	SEQ-(100L-or-15min)_W0.8-20	TARA_20100419T0756Z_048_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-20_N000000113	"tara_20100419t0755z_048_event_cast,tara_20100419t1337z_048_event_cast"	0.087724-21.262	P00DT00H01M	2	0.001	0.001	0.0055	0.01	0.01	0.081	0.081	0.0825	0.084	0.084	0.057	0.057	0.07475	0.0925	0.0925	2.118	2.118	2.22425	2.3305	2.3305
TARA_N000000072	SAMEA2620221	ERS489078	TARA_041	TARA_20100330T1056Z_041_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	0.8	5	TARA_041_DCM_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20100330T1056Z_041_EVENT_PUMP_DCM_(60m)_SEQ-(100L-or-15min)_W0.8-5_N000000072	"tara_20100330t0848z_041_event_cast,tara_20100330t0257z_041_event_cast"	0.72154-5.768	P00DT02H09M	2	0.067	0.067	0.2375	0.408	0.408	0.344	0.344	0.846	1.348	1.348	0.494	0.494	7.847	15.2	15.2	1.379	1.379	3.5765	5.774	5.774
TARA_N000000073	SAMEA2620205	ERS489054	TARA_041	TARA_20100330T0247Z_041_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_041_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20100330T0247Z_041_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_N000000073	"tara_20100330t0257z_041_event_cast,tara_20100330t0848z_041_event_cast"	1.2227-6.2798	P00DT00H09M	2	0.003	0.003	0.007	0.011	0.011	0.144	0.144	0.1565	0.169	0.169	0.026	0.026	0.057	0.088	0.088	1.305	1.305	1.3865	1.468	1.468
TARA_N000000071	SAMEA2620204	ERS489053	TARA_041	TARA_20100330T0247Z_041_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8	5	TARA_041_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20100330T0247Z_041_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_N000000071	"tara_20100330t0257z_041_event_cast,tara_20100330t0848z_041_event_cast"	1.2227-6.2798	P00DT00H09M	2	0.003	0.003	0.007	0.011	0.011	0.144	0.144	0.1565	0.169	0.169	0.026	0.026	0.057	0.088	0.088	1.305	1.305	1.3865	1.468	1.468
TARA_A200000123	SAMEA2591060	ERS477934	TARA_007	TARA_20090923T1250Z_007_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	9	3	15	0.8	5	TARA_007_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20090923T1250Z_007_EVENT_PUMP_SRF_(9m)_SEQ-(100L-or-15min)_W0.8-5_A200000123	tara_20090923t1506z_007_event_cast	3.4835	P00DT02H16M	2	0.003	0.003	0.0445	0.086	0.086	0.0385	0.0385	0.0475	0.0565	0.0565	0.027	0.027	0.14325	0.2595	0.2595	0.521	0.521	0.7935	1.066	1.066
TARA_A100000551	SAMEA2591093	ERS477988	TARA_023	TARA_20091118T0841Z_023_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8	5	TARA_023_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20091118T0841Z_023_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_A100000551	tara_20091118t1244z_023_event_cast	3.2905	P00DT04H01M	2	0.0075	0.0075	0.009125	0.01075	0.01075	0.0105	0.0105	0.012	0.0135	0.0135	0.0335	0.0335	0.040875	0.04825	0.04825	1.35675	1.35675	1.372375	1.388	1.388
