parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type
SampleID_Tara									https://www.ncbi.nlm.nih.gov/bioproject/261507	
BioSample									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Chlorophyll Sensor					mg Chl/m3				https://www.ncbi.nlm.nih.gov/bioproject/261507	
Depth					m				https://www.ncbi.nlm.nih.gov/bioproject/261507	
Description									https://www.ncbi.nlm.nih.gov/bioproject/261507	
ENA checklist									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Environment (Biome)									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Environment (Feature)									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Environment (Material)									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Environmental Package									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Event Date/Time End									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Event Date/Time Start									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Event Label									https://www.ncbi.nlm.nih.gov/bioproject/261507	
INSDC center alias									https://www.ncbi.nlm.nih.gov/bioproject/261507	
INSDC center name									https://www.ncbi.nlm.nih.gov/bioproject/261507	
INSDC first public									https://www.ncbi.nlm.nih.gov/bioproject/261507	
INSDC last update									https://www.ncbi.nlm.nih.gov/bioproject/261507	
INSDC status									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Last Update Date									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Latitude End					DD				https://www.ncbi.nlm.nih.gov/bioproject/261507	
Latitude Start					DD				https://www.ncbi.nlm.nih.gov/bioproject/261507	
Longitude End					DD				https://www.ncbi.nlm.nih.gov/bioproject/261507	
Longitude Start					DD				https://www.ncbi.nlm.nih.gov/bioproject/261507	
Marine Region									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Nitrate Sensor					µmol/L				https://www.ncbi.nlm.nih.gov/bioproject/261507	
Oxygen Sensor					µmol/kg				https://www.ncbi.nlm.nih.gov/bioproject/261507	
Project Name									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Protocol Label									https://www.ncbi.nlm.nih.gov/bioproject/261507	
SRA accession									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Salinity Sensor					psu				https://www.ncbi.nlm.nih.gov/bioproject/261507	
Sample Collection Device									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Sample Name									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Sampling Campaign									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Sampling Platform									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Sampling Station									https://www.ncbi.nlm.nih.gov/bioproject/261507	
Size Fraction Lower Threshold					µm				https://www.ncbi.nlm.nih.gov/bioproject/261507	
Size Fraction Upper Threshold					µm				https://www.ncbi.nlm.nih.gov/bioproject/261507	
Temperature					¡C				https://www.ncbi.nlm.nih.gov/bioproject/261507	
Title									https://www.ncbi.nlm.nih.gov/bioproject/261507	
