Sample_event_ID	start_ISO_dateTime	stop_ISO_dateTime	start_lat	stop_lat	start_lon	stop_lon	Cruise_ID	Station_name	sampling_event_type	cruise_expedition
TARA_20100511T0342Z_051_EVENT_PUMP	2010-05-11 03:42:00	2010-05-11 06:40:00	-21.504	-21.46	54.356	54.305	TARA_20100508Z	TARA_051	pump	Tara Oceans
TARA_20100511T0342Z_051_EVENT_PUMP	2010-05-11 03:42:00	2010-05-11 06:40:00	-21.504	-21.46	54.356	54.305	TARA_20100508Z	TARA_051	pump	Tara Oceans
TARA_20100416T0442Z_047_EVENT_PUMP	2010-04-16 04:42:00	2010-04-16 05:32:00	-2.046	-2.037	72.157	72.171	TARA_20100410Z	TARA_047	pump	Tara Oceans
TARA_20100415T0201Z_046_EVENT_PUMP	2010-04-15 02:01:00	2010-04-15 05:28:00	-0.662	-0.662	73.161	73.161	TARA_20100410Z	TARA_046	pump	Tara Oceans
TARA_20100415T0201Z_046_EVENT_PUMP	2010-04-15 02:01:00	2010-04-15 05:28:00	-0.662	-0.662	73.161	73.161	TARA_20100410Z	TARA_046	pump	Tara Oceans
TARA_20100330T1056Z_041_EVENT_PUMP	2010-03-30 10:56:00	2010-03-30 12:20:00	14.554	14.537	70.013	70.024	TARA_20100327Z	TARA_041	pump	Tara Oceans
TARA_20100318T0427Z_039_EVENT_PUMP	2010-03-18 04:27:00	2010-03-18 08:32:00	18.592	18.571	66.622	66.502	TARA_20100309Z	TARA_039	pump	Tara Oceans
TARA_20100318T0427Z_039_EVENT_PUMP	2010-03-18 04:27:00	2010-03-18 08:32:00	18.592	18.571	66.622	66.502	TARA_20100309Z	TARA_039	pump	Tara Oceans
TARA_20100419T0756Z_048_EVENT_PUMP	2010-04-19 07:56:00	2010-04-19 10:59:00	-9.392	-9.411	66.423	66.328	TARA_20100410Z	TARA_048	pump	Tara Oceans
TARA_20100330T1056Z_041_EVENT_PUMP	2010-03-30 10:56:00	2010-03-30 12:20:00	14.554	14.537	70.013	70.024	TARA_20100327Z	TARA_041	pump	Tara Oceans
TARA_20100330T0247Z_041_EVENT_PUMP	2010-03-30 02:47:00	2010-03-30 05:40:00	14.606	14.5	69.978	70	TARA_20100327Z	TARA_041	pump	Tara Oceans
TARA_20100330T0247Z_041_EVENT_PUMP	2010-03-30 02:47:00	2010-03-30 05:40:00	14.606	14.5	69.978	70	TARA_20100327Z	TARA_041	pump	Tara Oceans
TARA_20090923T1250Z_007_EVENT_PUMP	2009-09-23 12:50:00	2009-09-23 13:00:00	37.051	37.047	1.938	1.943	TARA_20090919Z	TARA_007	pump	Tara Oceans
TARA_20091118T0841Z_023_EVENT_PUMP	2009-11-18 08:41:00	2009-11-18 10:46:00	42.204	42.187	17.715	17.719	TARA_20091111Z	TARA_023	pump	Tara Oceans
