parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type
SampleID_Tara									https://www.ncbi.nlm.nih.gov/bioproject/213100	
BioSample									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Chlorophyll Sensor					mg Chl/m3				https://www.ncbi.nlm.nih.gov/bioproject/213100	
Depth					m				https://www.ncbi.nlm.nih.gov/bioproject/213100	
Description									https://www.ncbi.nlm.nih.gov/bioproject/213100	
ENA checklist									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Environment (Biome)									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Environment (Feature)									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Environment (Material)									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Environmental Package									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Event Date/Time End									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Event Date/Time Start									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Event Label									https://www.ncbi.nlm.nih.gov/bioproject/213100	
INSDC center alias									https://www.ncbi.nlm.nih.gov/bioproject/213100	
INSDC center name									https://www.ncbi.nlm.nih.gov/bioproject/213100	
INSDC first public									https://www.ncbi.nlm.nih.gov/bioproject/213100	
INSDC last update									https://www.ncbi.nlm.nih.gov/bioproject/213100	
INSDC status									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Last Update Date									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Latitude End					DD				https://www.ncbi.nlm.nih.gov/bioproject/213100	
Latitude Start					DD				https://www.ncbi.nlm.nih.gov/bioproject/213100	
Longitude End					DD				https://www.ncbi.nlm.nih.gov/bioproject/213100	
Longitude Start					DD				https://www.ncbi.nlm.nih.gov/bioproject/213100	
Marine Region									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Nitrate Sensor					µmol/L				https://www.ncbi.nlm.nih.gov/bioproject/213100	
Oxygen Sensor					µmol/kg				https://www.ncbi.nlm.nih.gov/bioproject/213100	
Project Name									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Protocol Label									https://www.ncbi.nlm.nih.gov/bioproject/213100	
SRA accession									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Salinity Sensor					psu				https://www.ncbi.nlm.nih.gov/bioproject/213100	
Sample Collection Device									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Sample Name									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Sampling Campaign									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Sampling Platform									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Sampling Station									https://www.ncbi.nlm.nih.gov/bioproject/213100	
Size Fraction Lower Threshold					µm				https://www.ncbi.nlm.nih.gov/bioproject/213100	
Size Fraction Upper Threshold					µm				https://www.ncbi.nlm.nih.gov/bioproject/213100	
Temperature					¡C				https://www.ncbi.nlm.nih.gov/bioproject/213100	
Title									https://www.ncbi.nlm.nih.gov/bioproject/213100	
