SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	Distance	Duration	File name	Number of observations	Chlorophyll c3	Chlorophyll c3_1	Chlorophyll c3_2	Chlorophyll c3_3	Chlorophyll c3_4	Chlorophyll c1+c2	Chlorophyll c1+c2_1	Chlorophyll c1+c2_2	Chlorophyll c1+c2_3	Chlorophyll c1+c2_4	Chlorophyllide a	Chlorophyllide a_1	Chlorophyllide a_2	Chlorophyllide a_3	Chlorophyllide a_4	Peridinin	Peridinin_1	Peridinin_2	Peridinin_3	Peridinin_4	Phaeophorbide a	Phaeophorbide a_1	Phaeophorbide a_2	Phaeophorbide a_3	Phaeophorbide a_4	19-Butanoyloxyfucoxanthin	19-Butanoyloxyfucoxanthin_1	19-Butanoyloxyfucoxanthin_2	19-Butanoyloxyfucoxanthin_3	19-Butanoyloxyfucoxanthin_4	Fucoxanthin	Fucoxanthin_1	Fucoxanthin_2	Fucoxanthin_3	Fucoxanthin_4	Neoxanthin	Neoxanthin_1	Neoxanthin_2	Neoxanthin_3	Neoxanthin_4	Prasinoxanthin	Prasinoxanthin_1	Prasinoxanthin_2	Prasinoxanthin_3	Prasinoxanthin_4	Violaxanthin	Violaxanthin_1	Violaxanthin_2	Violaxanthin_3	Violaxanthin_4	19-Hexanoyloxyfucoxanthin	19-Hexanoyloxyfucoxanthin_1	19-Hexanoyloxyfucoxanthin_2	19-Hexanoyloxyfucoxanthin_3	19-Hexanoyloxyfucoxanthin_4	Diadinoxanthin	Diadinoxanthin_1	Diadinoxanthin_2	Diadinoxanthin_3	Diadinoxanthin_4	Alloxanthin	Alloxanthin_1	Alloxanthin_2	Alloxanthin_3	Alloxanthin_4	Diatoxanthin	Diatoxanthin_1	Diatoxanthin_2	Diatoxanthin_3	Diatoxanthin_4	Zeaxanthin	Zeaxanthin_1	Zeaxanthin_2	Zeaxanthin_3	Zeaxanthin_4	Lutein	Lutein_1	Lutein_2	Lutein_3	Lutein_4	Bacteriochlorophyll a	Bacteriochlorophyll a_1	Bacteriochlorophyll a_2	Bacteriochlorophyll a_3	Bacteriochlorophyll a_4	Divinyl chlorophyll b	Divinyl chlorophyll b_1	Divinyl chlorophyll b_2	Divinyl chlorophyll b_3	Divinyl chlorophyll b_4	Chlorophyll b	Chlorophyll b_1	Chlorophyll b_2	Chlorophyll b_3	Chlorophyll b_4	Chlorophyll b plus divinyl chlorophyll b	Chlorophyll b plus divinyl chlorophyll b_1	Chlorophyll b plus divinyl chlorophyll b_2	Chlorophyll b plus divinyl chlorophyll b_3	Chlorophyll b plus divinyl chlorophyll b_4	Divinyl chlorophyll a	Divinyl chlorophyll a_1	Divinyl chlorophyll a_2	Divinyl chlorophyll a_3	Divinyl chlorophyll a_4	Chlorophyll a	Chlorophyll a_1	Chlorophyll a_2	Chlorophyll a_3	Chlorophyll a_4	"Chlorophyll a, total"	"Chlorophyll a, total_1"	"Chlorophyll a, total_2"	"Chlorophyll a, total_3"	"Chlorophyll a, total_4"	Phaeophytin a	Phaeophytin a_1	Phaeophytin a_2	Phaeophytin a_3	Phaeophytin a_4	Carotene	Carotene_1	Carotene_2	Carotene_3	Carotene_4
TARA_Y100000372	SAMEA2620954	ERS490167	TARA_066	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	30	30	30	0.1	0.22	TARA_066_DCM_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100715T1539Z_066_Combined-EVENTS_CAST_DCM_(30m)_SEQ-(dry)_W0.1-0.22_Y100000372	11.2044	P00DT03H09M	tara_20100715t1230z_066_event_cast	2	0.0351	0.0351	0.03835	0.0416	0.0416	0.045	0.045	0.0482	0.0514	0.0514	0.0034	0.0034	0.0046	0.0058	0.0058	0.0144	0.0144	0.0149	0.0154	0.0154	0.0242	0.0242	0.0245	0.0248	0.0248	0.025	0.025	0.0276	0.0302	0.0302	0.0273	0.0273	0.0296	0.0319	0.0319	0.0049	0.0049	0.00545	0.006	0.006	0.0142	0.0142	0.01535	0.0165	0.0165	0.0014	0.0014	0.00175	0.0021	0.0021	0.0687	0.0687	0.0761	0.0835	0.0835	0.0089	0.0089	0.0095	0.0101	0.0101	0.0102	0.0102	0.01095	0.0117	0.0117	0	0	4.00E-04	8.00E-04	8.00E-04	0.0141	0.0141	0.0143	0.0145	0.0145	0.0018	0.0018	0.0018	0.0018	0.0018	0	0	0	0	0	0	0	0	0	0	0.0807	0.0807	0.0857	0.0907	0.0907	0.0807	0.0807	0.0857	0.0907	0.0907	0	0	0	0	0	0.4287	0.4287	0.45415	0.4796	0.4796	0.4321	0.4321	0.4587	0.4853	0.4853	0.0032	0.0032	0.00365	0.0041	0.0041	0.0097	0.0097	0.01035	0.011	0.011
TARA_Y100000368	SAMEA2620932	ERS490127	TARA_066	TARA_20100715T1222Z_066_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_066_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100715T1222Z_066_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000368	1.8748	P00DT00H04M	tara_20100715t1230z_066_event_cast	1	0.039	0.039	0.039	0.039	0.039	0.0461	0.0461	0.0461	0.0461	0.0461	0.0049	0.0049	0.0049	0.0049	0.0049	0.0148	0.0148	0.0148	0.0148	0.0148	0.0244	0.0244	0.0244	0.0244	0.0244	0.0271	0.0271	0.0271	0.0271	0.0271	0.0302	0.0302	0.0302	0.0302	0.0302	0.0051	0.0051	0.0051	0.0051	0.0051	0.0139	0.0139	0.0139	0.0139	0.0139	0.0013	0.0013	0.0013	0.0013	0.0013	0.0746	0.0746	0.0746	0.0746	0.0746	0.0099	0.0099	0.0099	0.0099	0.0099	0.0108	0.0108	0.0108	0.0108	0.0108	0.0015	0.0015	0.0015	0.0015	0.0015	0.0139	0.0139	0.0139	0.0139	0.0139	0.0021	0.0021	0.0021	0.0021	0.0021	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0	0	0	0	0	0.0827	0.0827	0.0827	0.0827	0.0827	0.0827	0.0827	0.0827	0.0827	0.0827	0	0	0	0	0	0.4416	0.4416	0.4416	0.4416	0.4416	0.4465	0.4465	0.4465	0.4465	0.4465	0.0031	0.0031	0.0031	0.0031	0.0031	0.0097	0.0097	0.0097	0.0097	0.0097
TARA_Y100000204	SAMEA2620738	ERS489850	TARA_058	TARA_20100629T1500Z_058_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	66	64	68	0.1	0.22	TARA_058_DCM_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100629T1500Z_058_EVENT_PUMP_DCM_(66m)_SEQ-(dry)_W0.1-0.22_Y100000204	3.716	P00DT01H47M	tara_20100629t1313z_058_event_cast	1	0.0582	0.0582	0.0582	0.0582	0.0582	0.0507	0.0507	0.0507	0.0507	0.0507	0	0	0	0	0	0.0056	0.0056	0.0056	0.0056	0.0056	0.0041	0.0041	0.0041	0.0041	0.0041	0.061	0.061	0.061	0.061	0.061	0.016	0.016	0.016	0.016	0.016	0.005	0.005	0.005	0.005	0.005	0.0045	0.0045	0.0045	0.0045	0.0045	0.0016	0.0016	0.0016	0.0016	0.0016	0.1508	0.1508	0.1508	0.1508	0.1508	0.0091	0.0091	0.0091	0.0091	0.0091	0.0044	0.0044	0.0044	0.0044	0.0044	0	0	0	0	0	0.0895	0.0895	0.0895	0.0895	0.0895	0	0	0	0	0	0.0021	0.0021	0.0021	0.0021	0.0021	0	0	0	0	0	0.0443	0.0443	0.0443	0.0443	0.0443	0.0443	0.0443	0.0443	0.0443	0.0443	0.2707	0.2707	0.2707	0.2707	0.2707	0.3458	0.3458	0.3458	0.3458	0.3458	0.6166	0.6166	0.6166	0.6166	0.6166	0	0	0	0	0	0.0513	0.0513	0.0513	0.0513	0.0513
TARA_Y100000231	SAMEA2620703	ERS489777	TARA_058	TARA_20100629T0412Z_058_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_058_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100629T0412Z_058_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000231	31.468	P00DT09H00M	tara_20100629t1313z_058_event_cast	1	0.0049	0.0049	0.0049	0.0049	0.0049	0.0051	0.0051	0.0051	0.0051	0.0051	0	0	0	0	0	0.0012	0.0012	0.0012	0.0012	0.0012	0	0	0	0	0	0.0042	0.0042	0.0042	0.0042	0.0042	0.0033	0.0033	0.0033	0.0033	0.0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156	0.0156	0.0156	0.0156	0.0156	0.003	0.003	0.003	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0.0781	0.0781	0.0781	0.0781	0.0781	0	0	0	0	0	0.0012	0.0012	0.0012	0.0012	0.0012	0	0	0	0	0	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0053	0.0657	0.0657	0.0657	0.0657	0.0657	0.0817	0.0817	0.0817	0.0817	0.0817	0.1473	0.1473	0.1473	0.1473	0.1473	0	0	0	0	0	0.0137	0.0137	0.0137	0.0137	0.0137
TARA_Y100000212	SAMEA2620679	ERS489740	TARA_057	TARA_20100627T1205Z_057_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_057_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100627T1205Z_057_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000212	58.3084	P02DT01H07M	tara_20100629t1313z_058_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000101	SAMEA2620372	ERS489273	TARA_046	TARA_20100415T0201Z_046_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_046_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100415T0201Z_046_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000101	0.006677	P00DT00H37M	tara_20100415t0240z_046_event_cast	2	0.0029	0.0029	0.0049	0.0069	0.0069	0.0057	0.0057	0.00695	0.0082	0.0082	0	0	0	0	0	0.002	0.002	0.00285	0.0037	0.0037	0.0063	0.0063	0.00675	0.0072	0.0072	0.002	0.002	0.0026	0.0032	0.0032	0.0064	0.0064	0.00815	0.0099	0.0099	0.0018	0.0018	0.00185	0.0019	0.0019	0.007	0.007	0.00725	0.0075	0.0075	6.00E-04	6.00E-04	7.00E-04	8.00E-04	8.00E-04	0.0093	0.0093	0.0119	0.0145	0.0145	0.0019	0.0019	0.00225	0.0026	0.0026	0	0	0	0	0	0	0	0	0	0	0.0792	0.0792	0.0892	0.0992	0.0992	0	0	0	0	0	8.00E-04	8.00E-04	9.00E-04	0.001	0.001	0	0	0	0	0	0.0352	0.0352	0.0368	0.0384	0.0384	0.0352	0.0352	0.0368	0.0384	0.0384	0.0483	0.0483	0.0491	0.0499	0.0499	0.22	0.22	0.2221	0.2242	0.2242	0.2683	0.2683	0.2712	0.2741	0.2741	0	0	0.00105	0.0021	0.0021	0.0256	0.0256	0.02605	0.0265	0.0265
TARA_Y100000588	SAMEA2622823	ERS492894	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_125_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20110808T1733Z_125_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100000588	6.7594	P00DT03H43M	tara_20110808t2118z_125_event_cast	1	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0	0.0033	0.0033	0.0033	0.0033	0.0033	0	0	0	0	0	0.0077	0.0077	0.0077	0.0077	0.0077	0.0029	0.0029	0.0029	0.0029	0.0029	0.0032	0.0032	0.0032	0.0032	0.0032	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0.0255	0.0255	0.0255	0.0255	0.0255	0.0025	0.0025	0.0025	0.0025	0.0025	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0.057	0.057	0.057	0.057	0.057	0.004	0.004	0.004	0.004	0.004	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	0	0	0	0	0	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0664	0.0664	0.0664	0.0664	0.0664	0.1026	0.1026	0.1026	0.1026	0.1026	0.169	0.169	0.169	0.169	0.169	0.0037	0.0037	0.0037	0.0037	0.0037	0.0096	0.0096	0.0096	0.0096	0.0096
TARA_Y100000590	SAMEA2622822	ERS492893	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_125_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20110808T1733Z_125_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000590	6.7594	P00DT03H43M	tara_20110808t2118z_125_event_cast	1	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0	0.0033	0.0033	0.0033	0.0033	0.0033	0	0	0	0	0	0.0077	0.0077	0.0077	0.0077	0.0077	0.0029	0.0029	0.0029	0.0029	0.0029	0.0032	0.0032	0.0032	0.0032	0.0032	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0.0255	0.0255	0.0255	0.0255	0.0255	0.0025	0.0025	0.0025	0.0025	0.0025	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0.057	0.057	0.057	0.057	0.057	0.004	0.004	0.004	0.004	0.004	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	0	0	0	0	0	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0664	0.0664	0.0664	0.0664	0.0664	0.1026	0.1026	0.1026	0.1026	0.1026	0.169	0.169	0.169	0.169	0.169	0.0037	0.0037	0.0037	0.0037	0.0037	0.0096	0.0096	0.0096	0.0096	0.0096
TARA_Y100001933	SAMEA2622765	ERS492820	TARA_124	TARA_20110804T1833Z_124_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_124_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20110804T1833Z_124_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100001933	3.5601	P00DT06H10M	"tara_20110805t0045z_124_event_cast,tara_20110804t0932z_124_event_cast,tara_20110805t0624z_124_event_cast,tara_20110804t0551z_124_event_cast,tara_20110805t0938z_124_event_cast"	6	0.01684	0.01684	0.01686	0.01688	0.01688	0.02654	0.02654	0.02655	0.02656	0.02656	0.00022	0.00022	0.00023	0.00024	0.00024	0.00744	0.00744	0.00746	0.00748	0.00748	0.00774	0.00774	0.00774	0.00774	0.00774	0.0182	0.0182	0.01821	0.01822	0.01822	0.0118	0.0118	0.01184	0.01188	0.01188	0.00936	0.00936	0.00937	0.00938	0.00938	0.00386	0.00386	0.00386	0.00386	0.00386	0.0043	0.0043	0.00435	0.0044	0.0044	0.06844	0.06844	0.06849	0.06854	0.06854	0.00602	0.00602	0.00603	0.00604	0.00604	0.00312	0.00312	0.00312	0.00312	0.00312	0.00058	0.00058	0.00059	6.00E-04	6.00E-04	0.10178	0.10178	0.10181	0.10184	0.10184	0.00634	0.00634	0.00638	0.00642	0.00642	0.00144	0.00144	0.00145	0.00146	0.00146	0	0	0	0	0	0.06236	0.06236	0.06239	0.06242	0.06242	0.06236	0.06236	0.06239	0.06242	0.06242	0.07652	0.07652	0.07657	0.07662	0.07662	0.28824	0.28824	0.28826	0.28828	0.28828	0.36502	0.36502	0.36506	0.3651	0.3651	0.00498	0.00498	0.00501	0.00504	0.00504	0.02398	0.02398	0.02398	0.02398	0.02398
TARA_Y100001935	SAMEA2622764	ERS492819	TARA_124	TARA_20110804T1833Z_124_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_124_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20110804T1833Z_124_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100001935	3.5601	P00DT06H10M	"tara_20110805t0045z_124_event_cast,tara_20110804t0932z_124_event_cast,tara_20110805t0624z_124_event_cast,tara_20110804t0551z_124_event_cast,tara_20110805t0938z_124_event_cast"	6	0.01684	0.01684	0.01686	0.01688	0.01688	0.02654	0.02654	0.02655	0.02656	0.02656	0.00022	0.00022	0.00023	0.00024	0.00024	0.00744	0.00744	0.00746	0.00748	0.00748	0.00774	0.00774	0.00774	0.00774	0.00774	0.0182	0.0182	0.01821	0.01822	0.01822	0.0118	0.0118	0.01184	0.01188	0.01188	0.00936	0.00936	0.00937	0.00938	0.00938	0.00386	0.00386	0.00386	0.00386	0.00386	0.0043	0.0043	0.00435	0.0044	0.0044	0.06844	0.06844	0.06849	0.06854	0.06854	0.00602	0.00602	0.00603	0.00604	0.00604	0.00312	0.00312	0.00312	0.00312	0.00312	0.00058	0.00058	0.00059	6.00E-04	6.00E-04	0.10178	0.10178	0.10181	0.10184	0.10184	0.00634	0.00634	0.00638	0.00642	0.00642	0.00144	0.00144	0.00145	0.00146	0.00146	0	0	0	0	0	0.06236	0.06236	0.06239	0.06242	0.06242	0.06236	0.06236	0.06239	0.06242	0.06242	0.07652	0.07652	0.07657	0.07662	0.07662	0.28824	0.28824	0.28826	0.28828	0.28828	0.36502	0.36502	0.36506	0.3651	0.3651	0.00498	0.00498	0.00501	0.00504	0.00504	0.02398	0.02398	0.02398	0.02398	0.02398
