SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_Y100000372	TARA_20100624Z	TARA_066	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.897426	1.350827	0.839606	1.425647	0.384711	0.890853	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000368	TARA_20100624Z	TARA_066	TARA_20100715T1222Z_066_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.897426	1.350827	0.839606	1.425647	0.384711	0.890853	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000204	TARA_20100624Z	TARA_058	TARA_20100629T1500Z_058_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.210375	0.229305	0.253793	0.278616	0.645785	0.715193	3562.085507	3483.530669	6.639076129	2496.42	7.124782538	15237.9	0.739734701
TARA_Y100000231	TARA_20100624Z	TARA_058	TARA_20100629T0412Z_058_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.210375	0.229305	0.253793	0.278616	0.645785	0.715193	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000212	TARA_20100624Z	TARA_057	TARA_20100627T1205Z_057_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	NA	NA	NA	NA	NA	NA	4101.567338	3912.674292	6.569161611	2547.99	7.153086629	14116.5	0.74861501
TARA_Y100000101	TARA_20100410Z	TARA_046	TARA_20100415T0201Z_046_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.280692	0.329145	0.151409	0.175097	0.641694	0.747565	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000588	TARA_20110726Z	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.278453	0.33628	0.073452	0.083554	0.648263	0.607756	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000590	TARA_20110726Z	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.278453	0.33628	0.073452	0.083554	0.648263	0.607756	NA	NA	NA	NA	NA	NA	NA
TARA_Y100001933	TARA_20110726Z	TARA_124	TARA_20110804T1833Z_124_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.269235	0.32287	0.069558	0.078548	0.731559	0.68987	NA	NA	NA	NA	NA	NA	NA
TARA_Y100001935	TARA_20110726Z	TARA_124	TARA_20110804T1833Z_124_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.269235	0.32287	0.069558	0.078548	0.731559	0.68987	NA	NA	NA	NA	NA	NA	NA
TARA_Y100001954	TARA_20110726Z	TARA_123	TARA_20110731T1720Z_123_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	NA	NA	NA	NA	0.710675	0.673503	NA	NA	NA	NA	NA	NA	NA
TARA_Y100001958	TARA_20110726Z	TARA_123	TARA_20110731T1720Z_123_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	NA	NA	NA	NA	0.710675	0.673503	NA	NA	NA	NA	NA	NA	NA
TARA_Y100001978	TARA_20110726Z	TARA_122	TARA_20110726T1710Z_122_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.260512	0.313471	0.067216	0.076122	0.662133	0.561525	NA	NA	NA	NA	NA	NA	NA
TARA_Y100001980	TARA_20110726Z	TARA_122	TARA_20110726T1710Z_122_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.260512	0.313471	0.067216	0.076122	0.662133	0.561525	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000361	TARA_20100624Z	TARA_065	TARA_20100712T1106Z_065_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.134533	0.639677	0.082274	0.690224	0.385488	0.817359	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000356	TARA_20100624Z	TARA_065	TARA_20100712T0559Z_065_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.134533	0.639677	0.082274	0.690224	0.385488	0.817359	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000033	TARA_20100309Z	TARA_039	TARA_20100318T0427Z_039_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.386281	0.498761	0.57099	0.741752	0.595296	0.51759	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000289	TARA_20100309Z	TARA_038	TARA_20100315T0335Z_038_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.542872	0.783864	0.899091	1.260945	0.686923	0.579343	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000015	TARA_20100309Z	TARA_036	TARA_20100312T0606Z_036_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.660173	0.93383	0.816203	1.250919	0.587842	0.513223	NA	NA	NA	NA	NA	NA	NA
