SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH	pH_1	pH_2	pH_3	pH_4	Carbon dioxide	Carbon dioxide_1	Carbon dioxide_2	Carbon dioxide_3	Carbon dioxide_4	"Carbon dioxide, partial pressure"	"Carbon dioxide, partial pressure_1"	"Carbon dioxide, partial pressure_2"	"Carbon dioxide, partial pressure_3"	"Carbon dioxide, partial pressure_4"	Fugacity of carbon dioxide in seawater	Fugacity of carbon dioxide in seawater_1	Fugacity of carbon dioxide in seawater_2	Fugacity of carbon dioxide in seawater_3	Fugacity of carbon dioxide in seawater_4	Bicarbonate ion	Bicarbonate ion_1	Bicarbonate ion_2	Bicarbonate ion_3	Bicarbonate ion_4	Carbonate ion	Carbonate ion_1	Carbonate ion_2	Carbonate ion_3	Carbonate ion_4	"Carbon, total"	"Carbon, total_1"	"Carbon, total_2"	"Carbon, total_3"	"Carbon, total_4"	"Alkalinity, total"	"Alkalinity, total_1"	"Alkalinity, total_2"	"Alkalinity, total_3"	"Alkalinity, total_4"	Calcite saturation state	Calcite saturation state_1	Calcite saturation state_2	Calcite saturation state_3	Calcite saturation state_4	Aragonite saturation state	Aragonite saturation state_1	Aragonite saturation state_2	Aragonite saturation state_3	Aragonite saturation state_4
TARA_Y100000372	SAMEA2620954	ERS490167	TARA_066	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	30	30	30	0.1	0.22	TARA_066_DCM_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100715T1539Z_066_Combined-EVENTS_CAST_DCM_(30m)_SEQ-(dry)_W0.1-0.22_Y100000372	tara_20100715t1230z_066_event_cast	11.2044	P00DT03H09M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0242	0.0242	0.0245	0.0248	0.0248	0.025	0.025	0.0276	0.0302	0.0302	0.0273	0.0273	0.0296	0.0319	0.0319	0.0049	0.0049	0.00545	0.006	0.006	0.0142	0.0142	0.01535	0.0165	0.0165	0.0014	0.0014	0.00175	0.0021	0.0021
TARA_Y100000368	SAMEA2620932	ERS490127	TARA_066	TARA_20100715T1222Z_066_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_066_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100715T1222Z_066_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000368	tara_20100715t1230z_066_event_cast	1.8748	P00DT00H04M	1	8.10696	8.10696	8.10696	8.10696	8.10696	12.73317	12.73317	12.73317	12.73317	12.73317	342.386945	342.386945	342.386945	342.386945	342.386945	341.167562	341.167562	341.167562	341.167562	341.167562	0.0244	0.0244	0.0244	0.0244	0.0244	0.0271	0.0271	0.0271	0.0271	0.0271	0.0302	0.0302	0.0302	0.0302	0.0302	0.0051	0.0051	0.0051	0.0051	0.0051	0.0139	0.0139	0.0139	0.0139	0.0139	0.0013	0.0013	0.0013	0.0013	0.0013
TARA_Y100000204	SAMEA2620738	ERS489850	TARA_058	TARA_20100629T1500Z_058_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	66	64	68	0.1	0.22	TARA_058_DCM_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100629T1500Z_058_EVENT_PUMP_DCM_(66m)_SEQ-(dry)_W0.1-0.22_Y100000204	tara_20100629t0547z_058_event_cast	29.0043	P00DT09H14M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0041	0.0041	0.0041	0.0041	0.0041	0.061	0.061	0.061	0.061	0.061	0.016	0.016	0.016	0.016	0.016	0.005	0.005	0.005	0.005	0.005	0.0045	0.0045	0.0045	0.0045	0.0045	0.0016	0.0016	0.0016	0.0016	0.0016
TARA_Y100000231	SAMEA2620703	ERS489777	TARA_058	TARA_20100629T0412Z_058_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_058_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100629T0412Z_058_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000231	tara_20100629t0547z_058_event_cast	6.0427	P00DT01H33M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0042	0.0042	0.0042	0.0042	0.0042	0.0033	0.0033	0.0033	0.0033	0.0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_Y100000212	SAMEA2620679	ERS489740	TARA_057	TARA_20100627T1205Z_057_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_057_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100627T1205Z_057_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000212	tara_20100629t0547z_058_event_cast	80.23	P01DT17H40M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000101	SAMEA2620372	ERS489273	TARA_046	TARA_20100415T0201Z_046_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_046_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100415T0201Z_046_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000101	tara_20100415t0240z_046_event_cast	0.006677	P00DT00H37M	1	8.016174	8.016174	8.016174	8.016174	8.016174	10.576483	10.576483	10.576483	10.576483	10.576483	422.817683	422.817683	422.817683	422.817683	422.817683	421.566212	421.566212	421.566212	421.566212	421.566212	0.0063	0.0063	0.00675	0.0072	0.0072	0.002	0.002	0.0026	0.0032	0.0032	0.0064	0.0064	0.00815	0.0099	0.0099	0.0018	0.0018	0.00185	0.0019	0.0019	0.007	0.007	0.00725	0.0075	0.0075	6.00E-04	6.00E-04	7.00E-04	8.00E-04	8.00E-04
TARA_Y100000588	SAMEA2622823	ERS492894	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_125_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20110808T1733Z_125_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100000588	tara_20110808t1739z_125_event_cast	0.004131	P00DT00H05M	1	8.015136	8.015136	8.015136	8.015136	8.015136	11.793852	11.793852	11.793852	11.793852	11.793852	436.548929	436.548929	436.548929	436.548929	436.548929	435.204126	435.204126	435.204126	435.204126	435.204126	0	0	0	0	0	0.0077	0.0077	0.0077	0.0077	0.0077	0.0029	0.0029	0.0029	0.0029	0.0029	0.0032	0.0032	0.0032	0.0032	0.0032	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04
TARA_Y100000590	SAMEA2622822	ERS492893	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_125_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20110808T1733Z_125_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000590	tara_20110808t1739z_125_event_cast	0.004131	P00DT00H05M	1	8.015136	8.015136	8.015136	8.015136	8.015136	11.793852	11.793852	11.793852	11.793852	11.793852	436.548929	436.548929	436.548929	436.548929	436.548929	435.204126	435.204126	435.204126	435.204126	435.204126	0	0	0	0	0	0.0077	0.0077	0.0077	0.0077	0.0077	0.0029	0.0029	0.0029	0.0029	0.0029	0.0032	0.0032	0.0032	0.0032	0.0032	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04
TARA_Y100001933	SAMEA2622765	ERS492820	TARA_124	TARA_20110804T1833Z_124_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_124_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20110804T1833Z_124_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100001933	tara_20110804t1836z_124_event_cast	0.42481	P00DT00H01M	1	7.870713	7.870713	7.870713	7.870713	7.870713	17.599899	17.599899	17.599899	17.599899	17.599899	646.697247	646.697247	646.697247	646.697247	646.697247	644.698081	644.698081	644.698081	644.698081	644.698081	0.00774	0.00774	0.00774	0.00774	0.00774	0.0182	0.0182	0.01821	0.01822	0.01822	0.0118	0.0118	0.01184	0.01188	0.01188	0.00936	0.00936	0.00937	0.00938	0.00938	0.00386	0.00386	0.00386	0.00386	0.00386	0.0043	0.0043	0.00435	0.0044	0.0044
TARA_Y100001935	SAMEA2622764	ERS492819	TARA_124	TARA_20110804T1833Z_124_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_124_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20110804T1833Z_124_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100001935	tara_20110804t1836z_124_event_cast	0.42481	P00DT00H01M	1	7.870713	7.870713	7.870713	7.870713	7.870713	17.599899	17.599899	17.599899	17.599899	17.599899	646.697247	646.697247	646.697247	646.697247	646.697247	644.698081	644.698081	644.698081	644.698081	644.698081	0.00774	0.00774	0.00774	0.00774	0.00774	0.0182	0.0182	0.01821	0.01822	0.01822	0.0118	0.0118	0.01184	0.01188	0.01188	0.00936	0.00936	0.00937	0.00938	0.00938	0.00386	0.00386	0.00386	0.00386	0.00386	0.0043	0.0043	0.00435	0.0044	0.0044
