SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite	Nitrite_1	Nitrite_2	Nitrite_3	Nitrite_4	Phosphate	Phosphate_1	Phosphate_2	Phosphate_3	Phosphate_4	Nitrate and Nitrite	Nitrate and Nitrite_1	Nitrate and Nitrite_2	Nitrate and Nitrite_3	Nitrate and Nitrite_4	Silicate	Silicate_1	Silicate_2	Silicate_3	Silicate_4
TARA_Y100000372	SAMEA2620954	ERS490167	TARA_066	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	30	30	30	0.1	0.22	TARA_066_DCM_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100715T1539Z_066_Combined-EVENTS_CAST_DCM_(30m)_SEQ-(dry)_W0.1-0.22_Y100000372	"tara_20100715t1939z_066_event_cast,tara_20100715t1230z_066_event_cast"	2.394-11.2044	P00DT03H09M	3	0.28275	0.28275	0.284	0.28525	0.28525	0.33175	0.33175	0.34975	0.36775	0.36775	3.30275	3.30275	3.309875	3.317	3.317	2.5845	2.5845	2.5895	2.5945	2.5945
TARA_Y100000368	SAMEA2620932	ERS490127	TARA_066	TARA_20100715T1222Z_066_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_066_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100715T1222Z_066_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000368	"tara_20100715t1230z_066_event_cast,tara_20100715t1939z_066_event_cast"	1.8748-15.4572	P00DT00H04M	1	0.3025	0.3025	0.3025	0.3025	0.3025	0.343	0.343	0.343	0.343	0.343	3.34	3.34	3.34	3.34	3.34	2.7435	2.7435	2.7435	2.7435	2.7435
TARA_Y100000204	SAMEA2620738	ERS489850	TARA_058	TARA_20100629T1500Z_058_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	66	64	68	0.1	0.22	TARA_058_DCM_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100629T1500Z_058_EVENT_PUMP_DCM_(66m)_SEQ-(dry)_W0.1-0.22_Y100000204	tara_20100629t1313z_058_event_cast	3.716	P00DT01H47M	1	0.025376	0.025376	0.025376	0.025376	0.025376	0	0	0	0	0	0.063072	0.063072	0.063072	0.063072	0.063072	2.513803	2.513803	2.513803	2.513803	2.513803
TARA_Y100000231	SAMEA2620703	ERS489777	TARA_058	TARA_20100629T0412Z_058_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_058_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100629T0412Z_058_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000231	tara_20100629t1313z_058_event_cast	31.468	P00DT09H00M	1	0.006707	0.006707	0.006707	0.006707	0.006707	0	0	0	0	0	0	0	0	0	0	2.464084	2.464084	2.464084	2.464084	2.464084
TARA_Y100000212	SAMEA2620679	ERS489740	TARA_057	TARA_20100627T1205Z_057_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_057_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100627T1205Z_057_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000212	tara_20100626t1904z_999_event_cast	104.1565	P00DT17H04M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000101	SAMEA2620372	ERS489273	TARA_046	TARA_20100415T0201Z_046_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_046_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100415T0201Z_046_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000101	tara_20100415t0240z_046_event_cast	0.006677	P00DT00H37M	2	0.004	0.004	0.0045	0.005	0.005	0.099	0.099	0.102	0.105	0.105	0.045	0.045	0.047	0.049	0.049	1.935	1.935	1.947	1.959	1.959
TARA_Y100000588	SAMEA2622823	ERS492894	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_125_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20110808T1733Z_125_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100000588	"tara_20110808t1739z_125_event_cast,tara_20110808t2118z_125_event_cast"	0.004131-6.7594	P00DT00H05M	1	0.1945	0.1945	0.1945	0.1945	0.1945	0.55725	0.55725	0.55725	0.55725	0.55725	3.7335	3.7335	3.7335	3.7335	3.7335	1.80475	1.80475	1.80475	1.80475	1.80475
TARA_Y100000590	SAMEA2622822	ERS492893	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_125_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20110808T1733Z_125_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000590	"tara_20110808t1739z_125_event_cast,tara_20110808t2118z_125_event_cast"	0.004131-6.7594	P00DT00H05M	1	0.1945	0.1945	0.1945	0.1945	0.1945	0.55725	0.55725	0.55725	0.55725	0.55725	3.7335	3.7335	3.7335	3.7335	3.7335	1.80475	1.80475	1.80475	1.80475	1.80475
TARA_Y100001933	SAMEA2622765	ERS492820	TARA_124	TARA_20110804T1833Z_124_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_124_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20110804T1833Z_124_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100001933	"tara_20110804t1836z_124_event_cast,tara_20110805t0045z_124_event_cast"	0.42481-3.5601	P00DT00H01M	2	0.161	0.161	0.1665	0.172	0.172	0.62975	0.62975	0.63025	0.63075	0.63075	6.1755	6.1755	6.2015	6.2275	6.2275	2.51675	2.51675	2.53325	2.54975	2.54975
TARA_Y100001935	SAMEA2622764	ERS492819	TARA_124	TARA_20110804T1833Z_124_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_124_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20110804T1833Z_124_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100001935	"tara_20110804t1836z_124_event_cast,tara_20110805t0045z_124_event_cast"	0.42481-3.5601	P00DT00H01M	2	0.161	0.161	0.1665	0.172	0.172	0.62975	0.62975	0.63025	0.63075	0.63075	6.1755	6.1755	6.2015	6.2275	6.2275	2.51675	2.51675	2.53325	2.54975	2.54975
