Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	Kd490 AMODIS at the sampling date	Kd490 AMODIS 8 days period	Kd490 AMODIS 30 days period	Kd490 GlobColour 8 days period	Kd490 GlobColour 30 days period	bbp470 8 days period	acCDOM 8 days period	"Kd(PAR) 30 days avg, eq.9"	"Kd(PAR) 30 days avg, eq.9'"	z(SD)	z(eu) GlobColour 8 days period	z(eu) Secchi Disk and AMODIS	z(eu) AMODIS 30 days avg from Kd(PAR)1	z(eu) AMODIS 30 days avg from Kd(PAR)2	UMLD from sigma theta	UMLD from temperature	Depth chl max 	Depth max Brunt Vaisala freq 	Depth max O2 	Depth min O2 	Depth nitracline 	Temp at depth 10m	Temp at the base of euphotic zone - Kd(PAR)1	Temp at the base of euphotic zone - Kd(PAR)2	Temp at the base of mixed layer - sigma theta	Temp at the depth of mixed layer - temperature	Temp at depth chl max	Temp at depth of max Brunt Vaisala freq	Temp at depth of max oxygent concentration	Temp at depth of min oxygent concentration	Temp at depth of nitracline	Sal at depth 10m	Sal at the base of euphotic zone - Kd(PAR)1	Sal at the base of euphotic zone - Kd(PAR)2	Sal at the base of mixed layer - sigma theta	Sal at the depth of mixed layer - Salerature	Sal at depth chl max	Sal at depth of max Brunt Vaisala freq	Sal at depth of max oxygent concentration	Sal at depth of min oxygent concentration	Sal at depth of nitracline	Sigma-theta at depth 10m	Sigma-theta at the base of euphotic zone - Kd(PAR)1	Sigma-theta at the base of euphotic zone - Kd(PAR)2	Sigma-theta at the base of mixed layer - sigma theta	Sigma-theta at the depth of mixed layer - Sigma-thetaerature	Sigma-theta at depth chl max	Sigma-theta at depth of max Brunt VaiSigma-thetaa freq	Sigma-theta at depth of max oxygent concentration	Sigma-theta at depth of min oxygent concentration	Sigma-theta at depth of nitracline	N**2 at depth 10m	N**2 at the base of euphotic zone - Kd(PAR)1	N**2 at the base of euphotic zone - Kd(PAR)2	N**2 at the base of mixed layer - sigma theta	N**2 at the depth of mixed layer - N**2erature	N**2 at depth chl max	N**2 at depth of max Brunt VaiN**2a freq	N**2 at depth of max oxygent concentration	N**2 at depth of min oxygent concentration	N**2 at depth of nitracline	Chl a at depth 10m	Chl a at the base of euphotic zone - Kd(PAR)1	Chl a at the base of euphotic zoChl a	Chl a at the base of mixed layer - sigma theta	Chl a at the depth of mixed layer - Chl aerature	Chl a at depth chl max	Chl a at depth of max BruChl aa freq	Chl a at depth of max oxygent concentration	Chl a at depth of min oxygent concentration	Chl a at depth of nitracline	Oxygen at depth 10m	Oxygen at the base of euphotic zone - Kd(PAR)1	Oxygen at the base of euphotic zoOxygen	Oxygen at the base of mixed layer - sigma theta	Oxygen at the depth of mixed layer - Oxygenerature	Oxygen at depth chl max	Oxygen at depth of max BruOxygena freq	Oxygen at depth of max oxygent concentration	Oxygen at depth of min oxygent concentration	Oxygen at depth of nitracline	NO3- at depth 10m	NO3- at the base of euphotic zone - Kd(PAR)1	NO3- at the base of euphotic zoNO3-	NO3- at the base of mixed layer - sigma theta	NO3- at the depth of mixed layer - NO3-erature	NO3- at depth chl max	NO3- at depth of max BruNO3-a freq	NO3- at depth of max NO3-t concentration	NO3- at depth of min NO3-t concentration	NO3- at depth of nitracline
TARA_20100715T1539Z_066_Combined-EVENTS_CAST	SV Tara	TARA_20100624Z	TARA_066	Rosette Vertical Sampling System	7/15/10 15:36	-34.8901	18.0459	NA	0.068513	0.079962	0.062987007	0.091419134	0.00152693	0.035018602	0.13995327	0.1212546	NA	49.81916809	NA	28	32	NA	67	23	NA	15	65	NA	15.0229	15.0274	15.0124	NA	15.0045	15.0267	NA	15.0301	15.0045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.41128	0.41569	0.41162	NA	0.35965	0.41162	NA	0.40762	0.35965	NA	240.1211	239.5365	239.7951	NA	239.4746	240.7301	NA	240.8717	238.3358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_20100715T1222Z_066_EVENT_PUMP	SV Tara	TARA_20100624Z	TARA_066	High Volume Peristaltic Pump	7/15/10 12:22	-34.9449	17.9189	NA	0.073894	0.083018	0.066151522	0.095169466	0.0016926	0.03805523	0.143285467	0.12448258	NA	48.0222435	NA	27	31	93	91	31	100	14	451	106	15.0285	15.0212	15.0201	14.6267	14.8489	15.019	14.2071	15.0278	7.9611	13.5826	35.4899	35.4899	35.4899	35.4083	35.4547	35.4898	35.3326	35.4899	34.7472	35.2415	26.2193	26.2215	26.2219	26.2472	26.2343	26.222	26.2791	26.2196	26.9612	26.3398	2.25E-06	4.33E-07	NA	NA	5.79E-05	8.57E-07	NA	1.08E-06	NA	0.00012611	0.27592	0.38424	0.38424	0.24256	0.3035	0.39027	0.16136	0.29981	0	0.040949	238.9299	239.4782	238.9761	232.4393	233.0629	238.1117	227.8972	238.6951	202.0842	219.1881	2.3848	3.4309	2.7773	3.3865	2.5364	2.9206	3.6764	1.6792	23.0539	6.7416
TARA_20100629T1500Z_058_EVENT_PUMP	SV Tara	TARA_20100624Z	TARA_058	High Volume Peristaltic Pump	6/29/10 15:00	-17.2855	42.2866	0.03792	0.042855	0.040043	0.044097191	0.063811574	0.001185038	0.015841749	0.087584791	0.071280066	29	69.36571503	92	51	62	14	37	71	99	26	132	95	26.4236	26.0694	25.7674	26.3617	26.2303	24.986	20.8932	26.2537	18.7284	21.9344	35.281	35.3192	35.336	35.2809	35.2811	35.3242	35.434	35.2803	35.5343	35.3961	22.99	23.1329	23.2404	23.0097	23.0528	23.4722	24.7358	23.0441	25.3815	24.4198	6.88E-06	0.00018552	5.97E-05	0.000104	5.89E-06	0.00024941	0.00090477	5.45E-06	0.000238	NA	0.066985	0.13503	0.26204	0.066985	0.085772	0.42364	0.20289	0.066985	0.034424	0.20869	197.3986	197.3022	197.0776	196.5938	197.0037	180.2996	140.4498	197.005	138.4107	144.0594	0.82027	0.82027	0.82027	0.82027	0.82027	0.82027	6.4548	0.82027	9.4537	2.3106
TARA_20100629T0412Z_058_EVENT_PUMP	SV Tara	TARA_20100624Z	TARA_058	High Volume Peristaltic Pump	6/29/10 4:12	-17.5869	42.1893	0.038093	0.039798	0.039041	0.042547431	0.06188946	0.001091141	0.015200317	0.08582093	0.069628775	29	71.62337494	92	52	64	49	45	54	66	35	1148	NA	26.3399	25.6358	23.5813	26.0506	26.148	25.5805	23.4885	26.2096	5.6586	NA	35.3783	35.3114	35.3191	35.2928	35.278	35.3088	35.3231	35.2631	34.9703	NA	23.0893	23.262	23.8879	23.1188	23.0769	23.2772	23.9181	23.0456	27.4558	NA	NA	0.00011846	0.00027165	0.00050322	2.14E-05	0.00035469	0.00056171	1.40E-05	8.24E-06	NA	0.040949	0.32659	0.34759	0.149	0.13624	0.37978	0.34759	0.074682	0	NA	195.5216	190.3293	155.4629	192.5591	195.9261	185.6164	156.0709	195.5916	96.2942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_20100627T1205Z_057_EVENT_PUMP	SV Tara	TARA_20100624Z	TARA_057	High Volume Peristaltic Pump	6/27/10 12:05	-17.0248	42.7401	NA	0.035389	0.036694	0.047836533	0.069775566	0.004734838	0.019822794	0.081501692	0.065595138	NA	64.05174637	NA	55	68	17	17	13	5	17	4	NA	26.9063	NA	NA	26.8786	26.8786	26.8792	26.9677	26.8786	26.9919	NA	35.2197	NA	NA	35.2205	35.2205	35.2203	35.2189	35.2205	35.22	NA	22.7908	NA	NA	22.8007	22.8007	22.8001	22.7701	22.8007	22.7632	NA	5.49E-05	NA	NA	NA	NA	NA	5.65E-05	NA	NA	NA	0.25301	NA	NA	0.40537	0.40537	0.39605	NA	0.40537	NA	NA	191.7699	NA	NA	192.9468	192.9468	192.4024	190.642	192.9468	189.4793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_20100415T0201Z_046_EVENT_PUMP	SV Tara	TARA_20100410Z	TARA_046	High Volume Peristaltic Pump	4/15/10 2:01	-0.6625	73.161	NA	0.0318	0.0318	0.052026976	0.092540864	0.005036651	0.021687932	0.071429439	0.056242886	18	59.72914314	69	66	84	14	23	64	57	13	64	50	30.1209	NA	NA	30.0745	29.9264	28.5544	28.9722	30.1035	28.5544	29.1401	35.2774	NA	NA	35.2858	35.3005	35.3872	35.3707	35.2806	35.3872	35.3648	21.7694	NA	NA	21.7919	21.8542	22.3841	22.232	21.778	22.3841	22.1708	2.73E-06	NA	NA	0.00012412	NA	NA	0.00036934	9.90E-05	NA	3.49E-05	0.18188	NA	NA	0.18188	0.2265	0.26127	0.24712	0.18188	0.26127	0.25124	184.8749	NA	NA	182.9025	180.6497	172.2784	175.3974	183.2638	172.2784	178.2577	0.35805	NA	NA	-0.26827	0.16279	1.6935	1.5625	0.25913	1.6935	1.5995
TARA_20110808T1733Z_125_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_125	High Volume Peristaltic Pump	8/8/11 17:33	-8.9111	-142.5571	NA	0.0438	0.04482	0.04434233	0.063252725	0.001139832	0.014656801	0.095454169	0.078675804	25	68.79855347	88	49	60	109	109	40	119	14	274	281	26.7815	26.787	26.7897	26.7572	26.7572	26.7859	25.5457	26.7821	12.3808	11.8365	35.5953	35.5951	35.5955	35.6073	35.6073	35.595	36.3446	35.5957	34.9907	34.9618	23.1121	23.1132	23.1134	23.1361	23.1361	23.1127	24.0708	23.1125	26.3913	26.473	1.52E-07	3.94E-07	9.80E-08	0.00062157	0.00062157	7.20E-08	0.00018616	2.95E-07	4.11E-05	7.86E-05	0.24256	0.31035	0.30197	0.22713	0.22713	0.31963	0.092227	0.24358	0.0084804	0.035486	187.2433	186.9323	186.488	169.8814	169.8814	187.1601	154.1037	187.1248	39.991	39.8045	4.5325	5.7666	4.6254	4.7106	4.7106	4.5612	4.4757	5.1469	22.5946	24.5324
TARA_20110804T1833Z_124_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_124	High Volume Peristaltic Pump	8/4/11 18:33	-9.1504	-140.5216	0.04136	0.044662	0.051619	0.052171255	0.074618559	0.00127379	0.020546722	0.105490581	0.088174025	NA	59.55422974	NA	44	53	90	103	34	113	13	286	241	26.5203	26.5408	26.5409	26.4879	26.3646	26.5393	25.0459	26.5197	11.3074	13.8838	35.5518	35.5679	35.568	35.5667	35.63	35.568	36.1675	35.5523	34.9401	35.1239	23.1625	23.1706	23.1713	23.1897	23.2771	23.1703	24.091	23.1633	26.5544	26.1907	2.30E-06	6.40E-08	1.14E-07	3.51E-05	0.00074389	1.60E-06	0.00032219	6.80E-07	1.70E-05	0.00050925	0.28338	0.38666	0.38295	0.35965	0.25939	0.39506	0.17777	0.29911	0.037303	0.021627	190.6959	189.2467	189.1814	187.0493	175.0383	188.7314	177.157	191.0199	41.7232	68.0779	4.8786	6.2336	5.5697	5.1834	5.858	5.5952	2.2009	5.623	25.2908	17.4727
TARA_20110731T1720Z_123_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_123	High Volume Peristaltic Pump	7/31/11 17:20	-8.9068	-140.283	NA	0.057583	0.053255	0.055980301	0.081450351	0.001148263	0.025131152	0.107752136	0.090323999	11	55.65633774	47	43	52	116	122	14	134	14	606	278	26.5812	26.5907	26.5923	26.5978	26.4258	26.5829	24.5531	26.5829	6.778	11.5141	35.5266	35.5264	35.5263	35.5588	35.6411	35.5264	35.8868	35.5264	34.7354	34.9547	23.1243	23.1236	23.1237	23.1509	23.2675	23.1239	24.0307	23.1239	27.121	26.5276	3.38E-07	7.60E-08	1.93E-07	4.87E-05	0.00018987	2.66E-07	0.001313	2.66E-07	2.01E-05	0.00012287	0.32919	0.29759	0.28994	0.19974	0.11725	0.32919	0.048264	0.32919	0.012897	0.018615	189.8917	189.3663	189.3874	180.551	171.8495	189.7014	164.9033	189.7014	33.7678	39.9216	3.3176	3.5212	3.2984	4.0815	5.216	3.6703	5.9312	3.6703	41.4453	24.9079
TARA_20110726T1710Z_122_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_122	High Volume Peristaltic Pump	7/26/11 17:10	-8.9971	-139.1963	NA	0.03178	0.033749	0.035394322	0.051467219	0.00101275	0.010427465	0.075640321	0.060143712	18	86.64393616	68	61	77	101	102	106	112	14	252	235	26.5452	26.5533	26.5565	26.5511	26.4762	25.1922	25.0984	26.5441	12.1217	12.8292	35.5333	35.5338	35.5342	35.5388	35.5711	36.0896	36.1359	35.5335	34.9499	34.9821	23.1407	23.1423	23.1427	23.1496	23.1976	23.9871	24.0511	23.1415	26.409	26.2957	4.94E-07	6.80E-08	1.60E-07	0.00024634	0.0020956	0.00032125	0.00021004	3.13E-07	6.80E-05	0.00013267	0.18188	0.28338	0.29645	0.28055	0.28338	0.32296	0.33086	0.21249	0.028388	0.019938	185.4451	186.1462	185.6723	178.5309	175.7375	178.8877	178.8873	185.727	20.5904	35.5848	4.5865	3.4989	4.6107	4.4112	4.1402	2.0998	0.5247	3.891	24.4002	19.3701
