Sample_event_ID	start_ISO_dateTime	stop_ISO_dateTime	start_lat	stop_lat	start_lon	stop_lon	Cruise_ID	Station_name	sampling_event_type	cruise_expedition
TARA_20100715T1539Z_066_Combined-EVENTS_CAST	7/15/10 15:36	7/15/10 17:40	-34.89	-34.848	18.046	18.114	TARA_20100624Z	TARA_066	cast	Tara Oceans
TARA_20100715T1222Z_066_EVENT_PUMP	7/15/10 12:22	7/15/10 14:47	-34.945	-34.899	17.919	18.03	TARA_20100624Z	TARA_066	pump	Tara Oceans
TARA_20100629T1500Z_058_EVENT_PUMP	6/29/10 15:00	6/29/10 17:00	-17.285	-17.566	42.287	42.199	TARA_20100624Z	TARA_058	pump	Tara Oceans
TARA_20100629T0412Z_058_EVENT_PUMP	6/29/10 4:12	6/29/10 7:12	-17.587	-17.499	42.189	42.216	TARA_20100624Z	TARA_058	pump	Tara Oceans
TARA_20100627T1205Z_057_EVENT_PUMP	6/27/10 12:05	6/27/10 14:20	-17.025	-17.028	42.74	42.745	TARA_20100624Z	TARA_057	pump	Tara Oceans
TARA_20100415T0201Z_046_EVENT_PUMP	4/15/10 2:01	4/15/10 5:28	-0.662	-0.662	73.161	73.161	TARA_20100410Z	TARA_046	pump	Tara Oceans
TARA_20110808T1733Z_125_EVENT_PUMP	8/8/11 17:33	8/8/11 19:54	-8.911	-8.895	-142.557	-142.623	TARA_20110726Z	TARA_125	pump	Tara Oceans
TARA_20110804T1833Z_124_EVENT_PUMP	8/4/11 18:33	8/4/11 22:00	-9.15	-9.155	-140.522	-140.528	TARA_20110726Z	TARA_124	pump	Tara Oceans
TARA_20110731T1720Z_123_EVENT_PUMP	7/31/11 17:20	7/31/11 19:33	-8.907	-8.895	-140.283	-140.317	TARA_20110726Z	TARA_123	pump	Tara Oceans
TARA_20110726T1710Z_122_EVENT_PUMP	7/26/11 17:10	7/26/11 19:41	-8.997	-8.972	-139.196	-139.274	TARA_20110726Z	TARA_122	pump	Tara Oceans
TARA_20100712T1106Z_065_Combined-EVENTS_CAST	7/12/10 11:03	7/12/10 12:12	-35.242	-35.253	26.305	26.317	TARA_20100624Z	TARA_065	cast	Tara Oceans
TARA_20100712T0559Z_065_EVENT_PUMP	7/12/10 5:59	7/12/10 9:00	-35.173	-35.209	26.287	26.293	TARA_20100624Z	TARA_065	pump	Tara Oceans
TARA_20100318T0427Z_039_EVENT_PUMP	3/18/10 4:27	3/18/10 8:32	18.592	18.571	66.622	66.502	TARA_20100309Z	TARA_039	pump	Tara Oceans
TARA_20100315T0335Z_038_EVENT_PUMP	3/15/10 3:35	3/15/10 5:53	19.039	19.034	64.491	64.516	TARA_20100309Z	TARA_038	pump	Tara Oceans
TARA_20100312T0606Z_036_EVENT_PUMP	3/12/10 6:06	3/12/10 6:56	20.818	20.815	63.505	63.505	TARA_20100309Z	TARA_036	pump	Tara Oceans
