Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	MP biome	OS region	BG province	Sea ice conc	Sea ice free period start DOY	Sea Ice free period	Sea ice free period end DOY	Season at sampling date	Season (early, middle, late)	Moon phase nominal	Moon phase proportion	Time of day	SSD	PAR day at sampling date	PAR day AMODIS for a 8 days period	PAR day  GlobColour for a 8 days period	PAR day  AMODIS for a 30 days period	SST grad h	Fe tot	Fe std dev	NH4+	NH4+ std dev	NO2-	NO2- std dev	NO3-	NO3 std dev	Sea surface fluorescence, CDOM	Sea surface Chl a	Chl a conc	Sea surface phi sat	Net primary production of carbon - UQAR-TAKUVIC model	Net primary production of carbon - VGPM	Suspended matter, total	POC	PIC	Bathy depth	Latitude (of the closest geographic coordinate on a coast)	Longitude  (of the closest geographic coordinate on a coast)	Distance  (of the closest geographic coordinate on a coast)	SST grad h_1	SSM index	Geostrophic velocity, longitudinal	Geostrophic velocity, latidunal	Okubo-Weiss parameter	Maximum Lyapunov exponent	Residence time of water mass	Latitude (of the continental shelf <500m where sampled water originated)	Longitude (of the continental shelf <500m where sampled  water originated)	Age (days since water mass left continental shelf)	Latitude (of the geographic coordinate where water mass originated 45 days before sampling)	Longitude (of the geographic coordinate where water mass originated 45 days before sampling)
TARA_20130524T1315Z_155_Combined-EVENTS_CAST	SV Tara	TARA_20130519Z	TARA_155	Rosette Vertical Sampling System	2013-05-24 13:15:00	54.5742	-16.8345	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NADR] North Atlantic Drift Province (MRGID:21453)	0	1	365	365	spring	late	ascending	0.99	day	994	25.181643	40.33657	37.90742493	34.269352	11.083099	0.000426156	0.00011786	0.007189205	0.003951525	0.010129768	0.012779939	0.689068984	1.024733537	NA	0.181109227	NA	1.129544819	NA	NA	NA	56.42062759	0.000215902	-2435	54.1333	-10.2378	428.3281	0.34844	6.4406e-05	17.976264	13.121108	0.157922	0.101888	0	-14.654834	53.061416	57	51.874891	-14.634843
TARA_20130604T0905Z_158_Combined-EVENTS_CAST	SV Tara	TARA_20130519Z	TARA_158	Rosette Vertical Sampling System	2013-06-04 09:05:00	67.1675	0.2177	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[ARCT] Atlantic Arctic Province (MRGID:21451)	0	1	365	365	spring	late	descending	0.15	day	1440	28.29134	27.398136	30.47948742	31.845161	NA	0.000599484	8.2015e-05	0.023701385	0.026346932	0.03278591	0.018828737	5.405942082	2.137181939	NA	0.536388934	39.0691	NA	NA	NA	NA	113.4192886	0.000774643	-3470	66.5	12.0333	508.2194	2.1369	5.929e-05	-0.19002	11.79387	0.189385	0.121118	0	NA	NA	120	65.329772	-0.522795
TARA_20130610T0838Z_163_Combined-EVENTS_CAST	SV Tara	TARA_20130519Z	TARA_163	Rosette Vertical Sampling System	2013-06-10 08:38:00	76.1246	1.3648	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	1	365	365	spring	late	ascending	0.03	day	1440	27.479998	41.271267	39.32276535	32.53776	1.93579225	0.000874157	7.9054e-05	0.014557052	0.019138747	0.018939177	0.017551926	11.743258	1.243663433	NA	4.835161924	149.8624	0.661765183	NA	NA	NA	293.1131287	0.000422177	-2937	77.4	14.0022	336.0165	1.1058	5.8743e-05	4.477771	-4.544907	-0.007624	0.058176	3.277778	NA	NA	120	78.304451	0.491451
TARA_20131008T1824Z_205_Combined-EVENTS_CAST	SV Tara	TARA_20130921Z	TARA_205	Rosette Vertical Sampling System	2013-10-08 18:24:00	72.4456	-71.8814	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	178	296	119	autumn	early	ascending	0.14	day	585	5.495882	3.142294	NA	3.22866	-1.148921	0.000596423	0.000147125	0.018947516	0.008042703	0.152390116	0.042586726	1.684819688	1.212317538	NA	NA	69.2259	NA	NA	NA	NA	NA	NA	-1046	72.0436	-74.2	91.7069	0.50422	0.00016365	-1.411105	-7.393873	0.189964	0.113334	0	-71.78226	71.930605	18	NA	NA
TARA_20130929T1637Z_201_Combined-EVENTS_CAST	SV Tara	TARA_20130921Z	TARA_201	Rosette Vertical Sampling System	2013-09-29 16:37:00	74.305	-85.6552	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0.512138506	196	278	83	autumn	early	descending	0.29	day	668	6.76712	5.964183	NA	11.915649	-1.596239375	0.000958759	3.0768e-05	0.000747411	0.000503	0.010224308	0.008135283	6.634556611	0.843956122	NA	NA	49.4242	0.319321639	NA	NA	NA	NA	NA	-540	74.4901	-85.7333	21.643	NA	NA	NA	NA	NA	0	0	-85.7293	74.32915	0	NA	NA
TARA_20131012T1802Z_206_Combined-EVENTS_CAST	SV Tara	TARA_20130921Z	TARA_206	Rosette Vertical Sampling System	2013-10-12 18:02:00	70.9433	-53.5127	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0.251729518	149	356	208	autumn	early	ascending	0.56	day	560	5.563253	3.867862	NA	3.725886	1.61744425	0.000494336	2.713e-05	0.022793755	0.003010815	0.19323191	0.032617982	0.170150639	0.076647323	NA	NA	38.3162	NA	NA	NA	NA	NA	NA	-680	71.0312	-53.6	7.5708	NA	NA	NA	NA	NA	0	0	-53.6219	70.93925	0	NA	NA
TARA_20131027T1630Z_210_Combined-EVENTS_CAST	SV Tara	TARA_20131020Z	TARA_210	Rosette Vertical Sampling System	2013-10-27 16:30:00	61.5754	-55.9846	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	1	365	365	autumn	middle	descending	0.45	day	534	3.670086	3.69642	NA	6.177543	1.590825625	0.000208521	6.328e-05	0.035179306	0.003054446	0.348001957	0.032938948	2.06166782	1.071676475	NA	NA	37.6205	1.120815054	NA	NA	NA	NA	NA	-2760	63.1316	-51.1333	308.7184	0.64044	6.968e-06	1.40349	8.462935	0.215913	0.078105	0	NA	NA	120	59.238287	-53.739373
TARA_20131023T1736Z_209_Combined-EVENTS_CAST	SV Tara	TARA_20131020Z	TARA_209	Rosette Vertical Sampling System	2013-10-23 17:36:00	64.7	-52.996	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	1	365	365	autumn	middle	descending	0.81	day	531	3.205997	6.663158	NA	7.141685	2.08277725	0.000488831	7.2945e-05	0.029433576	0.002239061	0.29848822	0.04291254	0.505696426	0.147952451	NA	NA	45.1248	0.426086666	NA	NA	NA	NA	NA	-513	64.6667	-52.1765	39.2126	0.89078	NA	-0.604662	-2.629139	-0.050291	0	5.666667	-53.46675	64.7285	0	NA	NA
TARA_20130828T0047Z_189_Combined-EVENTS_CAST	SV Tara	TARA_20130801Z	TARA_189	Rosette Vertical Sampling System	2013-08-28 00:47:00	78.0391	116.4105	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	169	284	116	summer	late	descending	0.49	day	1194	9.189661	10.175655	9.212737083	10.729718	-0.241916	0.001270051	7.7344e-05	0.000620584	0.001068167	0.00842355	0.006793675	4.560707092	1.474903521	NA	NA	36.3938	NA	NA	NA	NA	NA	NA	-745	76.6167	112.4	183.955	3.8218	NA	NA	NA	NA	0	0	NA	NA	120	NA	NA
TARA_20130710T1100Z_175_Combined-EVENTS_CAST	SV Tara	TARA_20130629Z	TARA_175	Rosette Vertical Sampling System	2013-07-10 11:00:00	79.2026	66.4827	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	161	300	140	summer	early	ascending	0.05	day	1440	20.233898	34.024166	32.86938095	30.535398	1.3831645	0.00109338	3.2798e-05	0.000589373	0.000597931	0.003293654	0.003559849	6.750465393	2.161967202	NA	0.452537566	33.7079	0.840592176	NA	NA	NA	98.90457916	0.000491698	-449	79.9542	59.7333	159.878	1.8938	NA	NA	NA	NA	0	0	66.3838	79.3429	0	NA	NA
