SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH	pH_1	pH_2	pH_3	pH_4	Bicarbonate ion	Bicarbonate ion_1	Bicarbonate ion_2	Bicarbonate ion_3	Bicarbonate ion_4	Carbonate ion	Carbonate ion_1	Carbonate ion_2	Carbonate ion_3	Carbonate ion_4	"Carbon, total"	"Carbon, total_1"	"Carbon, total_2"	"Carbon, total_3"	"Carbon, total_4"	"Alkalinity, total"	"Alkalinity, total_1"	"Alkalinity, total_2"	"Alkalinity, total_3"	"Alkalinity, total_4"	Calcite saturation state	Calcite saturation state_1	Calcite saturation state_2	Calcite saturation state_3	Calcite saturation state_4	Aragonite saturation state	Aragonite saturation state_1	Aragonite saturation state_2	Aragonite saturation state_3	Aragonite saturation state_4
TARA_R110001583	SAMEA4398432	ERS1309881	TARA_210	TARA_20131027T1630Z_210_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	391	382	400	0.22	TARA_210_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131027T1630Z_210_Combined-EVENTS_CAST_MES_(391m)_SEQ-(FeCl3)_W<0.22_R110001583	tara_20131011t2233z_206_event_cast	1048.2313	P15DT17H58M	NA	NA	NA	NA	NA	NA	0.0024	0.0024	0.0024	0.0024	0.0024	0.0011	0.0011	0.0011	0.0011	0.0011	0.0023	0.0023	0.0023	0.0023	0.0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_R110001592	SAMEA4398387	ERS1309836	TARA_210	TARA_20131027T1016Z_210_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_210_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131027T1016Z_210_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110001592	tara_20131011t2233z_206_event_cast	1051.8638	P15DT11H44M	NA	NA	NA	NA	NA	NA	0.00605	0.00605	0.0063	0.00655	0.00655	0.04505	0.04505	0.04545	0.04585	0.04585	0.1268	0.1268	0.1275	0.1282	0.1282	0.0076	0.0076	0.00775	0.0079	0.0079	0.02195	0.02195	0.022125	0.0223	0.0223	0.0067	0.0067	0.006975	0.00725	0.00725
TARA_R110001599	SAMEA4398360	ERS1309809	TARA_209	TARA_20131023T1736Z_209_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	351	342	360	0.22	TARA_209_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131023T1736Z_209_Combined-EVENTS_CAST_MES_(351m)_SEQ-(FeCl3)_W<0.22_R110001599	tara_20131011t2233z_206_event_cast	696.2347	P11DT19H04M	NA	NA	NA	NA	NA	NA	0.009	0.009	0.009	0.009	0.009	0.0019	0.0019	0.0019	0.0019	0.0019	0.0102	0.0102	0.0102	0.0102	0.0102	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0
TARA_R110001606	SAMEA4398315	ERS1309764	TARA_209	TARA_20131023T1025Z_209_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_209_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131023T1025Z_209_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110001606	tara_20131011t2233z_206_event_cast	694.801	P11DT11H53M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110001632	SAMEA4398266	ERS1309715	TARA_208	TARA_20131020T1034Z_208_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_208_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131020T1034Z_208_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110001632	tara_20131011t2233z_206_event_cast	220.5069	P08DT12H02M	NA	NA	NA	NA	NA	NA	0.0072	0.0072	0.01	0.0128	0.0128	0.0208	0.0208	0.0221	0.0234	0.0234	0.0825	0.0825	0.08585	0.0892	0.0892	0.0064	0.0064	0.0072	0.008	0.008	0.018	0.018	0.01855	0.0191	0.0191	0.0049	0.0049	0.00515	0.0054	0.0054
TARA_R110002167	SAMEA4398238	ERS1309687	TARA_206	TARA_20131012T1802Z_206_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	411	407	416	0.22	TARA_206_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131012T1802Z_206_Combined-EVENTS_CAST_MES_(411m)_SEQ-(FeCl3)_W<0.22_R110002167	tara_20131011t2233z_206_event_cast	4.7073	P00DT19H30M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110002153	SAMEA4398193	ERS1309642	TARA_206	TARA_20131012T1109Z_206_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_206_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131012T1109Z_206_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110002153	tara_20131011t2233z_206_event_cast	1.2175	P00DT12H37M	1	7.973	7.973	7.973	7.973	7.973	0.008	0.008	0.0084	0.0088	0.0088	0.0586	0.0586	0.0607	0.0628	0.0628	0.1743	0.1743	0.1842	0.1941	0.1941	0.0207	0.0207	0.02145	0.0222	0.0222	0.0422	0.0422	0.0461	0.05	0.05	0.0145	0.0145	0.01595	0.0174	0.0174
TARA_R110000765	SAMEA4398168	ERS1309617	TARA_205	TARA_20131008T1824Z_205_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	491	482	500	0.22	TARA_205_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131008T1824Z_205_Combined-EVENTS_CAST_MES_(491m)_SEQ-(FeCl3)_W<0.22_R110000765	tara_20131008t1207z_205_event_cast	2.8329	P00DT06H19M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110000764	SAMEA4398111	ERS1309560	TARA_205	TARA_20131008T1215Z_205_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_205_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131008T1215Z_205_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000764	tara_20131008t1207z_205_event_cast	0.21939	P00DT00H10M	1	7.898	7.898	7.898	7.898	7.898	0.0754	0.0754	0.08155	0.0877	0.0877	0	0	0	0	0	0.7649	0.7649	0.8194	0.8739	0.8739	0.0031	0.0031	0.00315	0.0032	0.0032	0.008	0.008	0.0082	0.0084	0.0084	0.0033	0.0033	0.0034	0.0035	0.0035
TARA_R110000744	SAMEA4398083	ERS1309532	TARA_201	TARA_20130930T2233Z_201_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36	27	45	0.22	TARA_201_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130930T2233Z_201_Combined-EVENTS_CAST_DCM_(36m)_SEQ-(FeCl3)_W<0.22_R110000744	"tara_20130930t1932z_201_event_cast,tara_20130930t1302z_201_event_cast"	5.0813	P00DT03H02M	0	NA	NA	NA	NA	NA	0.0445	0.0445	0.0445	0.0445	0.0445	0	0	0	0	0	0.5729	0.5729	0.5729	0.5729	0.5729	0	0	0	0	0	0.0026	0.0026	0.0026	0.0026	0.0026	0.0015	0.0015	0.0015	0.0015	0.0015
