Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	Kd490 AMODIS at the sampling date	Kd490 AMODIS 8 days period	Kd490 AMODIS 30 days period	Kd490 GlobColour 8 days period	Kd490 GlobColour 30 days period	bbp470 8 days period	acCDOM 8 days period	"Kd(PAR) 30 days avg, eq.9"	"Kd(PAR) 30 days avg, eq.9'"	z(SD)	z(eu) GlobColour 8 days period	z(eu) Secchi Disk and AMODIS	z(eu) AMODIS 30 days avg from Kd(PAR)1	z(eu) AMODIS 30 days avg from Kd(PAR)2	UMLD from sigma theta	UMLD from temperature	Depth chl max 	Depth max Brunt Vaisala freq 	Depth max O2 	Depth min O2 	Depth nitracline 	Temp at depth 10m	Temp at the base of euphotic zone - Kd(PAR)1	Temp at the base of euphotic zone - Kd(PAR)2	Temp at the base of mixed layer - sigma theta	Temp at the depth of mixed layer - temperature	Temp at depth chl max	Temp at depth of max Brunt Vaisala freq	Temp at depth of max oxygent concentration	Temp at depth of min oxygent concentration	Temp at depth of nitracline	Sal at depth 10m	Sal at the base of euphotic zone - Kd(PAR)1	Sal at the base of euphotic zone - Kd(PAR)2	Sal at the base of mixed layer - sigma theta	Sal at the depth of mixed layer - Salerature	Sal at depth chl max	Sal at depth of max Brunt Vaisala freq	Sal at depth of max oxygent concentration	Sal at depth of min oxygent concentration	Sal at depth of nitracline	Sigma-theta at depth 10m	Sigma-theta at the base of euphotic zone - Kd(PAR)1	Sigma-theta at the base of euphotic zone - Kd(PAR)2	Sigma-theta at the base of mixed layer - sigma theta	Sigma-theta at the depth of mixed layer - Sigma-thetaerature	Sigma-theta at depth chl max	Sigma-theta at depth of max Brunt VaiSigma-thetaa freq	Sigma-theta at depth of max oxygent concentration	Sigma-theta at depth of min oxygent concentration	Sigma-theta at depth of nitracline	N**2 at depth 10m	N**2 at the base of euphotic zone - Kd(PAR)1	N**2 at the base of euphotic zone - Kd(PAR)2	N**2 at the base of mixed layer - sigma theta	N**2 at the depth of mixed layer - N**2erature	N**2 at depth chl max	N**2 at depth of max Brunt VaiN**2a freq	N**2 at depth of max oxygent concentration	N**2 at depth of min oxygent concentration	N**2 at depth of nitracline	Chl a at depth 10m	Chl a at the base of euphotic zone - Kd(PAR)1	Chl a at the base of euphotic zoChl a	Chl a at the base of mixed layer - sigma theta	Chl a at the depth of mixed layer - Chl aerature	Chl a at depth chl max	Chl a at depth of max BruChl aa freq	Chl a at depth of max oxygent concentration	Chl a at depth of min oxygent concentration	Chl a at depth of nitracline	Oxygen at depth 10m	Oxygen at the base of euphotic zone - Kd(PAR)1	Oxygen at the base of euphotic zoOxygen	Oxygen at the base of mixed layer - sigma theta	Oxygen at the depth of mixed layer - Oxygenerature	Oxygen at depth chl max	Oxygen at depth of max BruOxygena freq	Oxygen at depth of max oxygent concentration	Oxygen at depth of min oxygent concentration	Oxygen at depth of nitracline	NO3- at depth 10m	NO3- at the base of euphotic zone - Kd(PAR)1	NO3- at the base of euphotic zoNO3-	NO3- at the base of mixed layer - sigma theta	NO3- at the depth of mixed layer - NO3-erature	NO3- at depth chl max	NO3- at depth of max BruNO3-a freq	NO3- at depth of max NO3-t concentration	NO3- at depth of min NO3-t concentration	NO3- at depth of nitracline
TARA_20130711T0613Z_175_Combined-EVENTS_CAST	SV Tara	TARA_20130629Z	TARA_175	Rosette Vertical Sampling System	7/11/13 6:13	79.3349	66.2954	NA	0.12113	0.111397	0.079893306	0.135749616	0.00360384	0.026970702	0.172576592	0.152998926	NA	40.45940208	NA	25	28	NA	355	33	22	29	404	NA	NA	0.95879	0.52153	NA	1.2647	-0.066998	1.2998	0.52153	0.79888	NA	NA	34.5329	34.5521	NA	35.0879	34.5777	34.5309	34.5521	35.0823	NA	NA	27.5432	27.5858	NA	27.9673	27.6392	27.5186	27.5858	27.9944	NA	NA	1.41E-05	0.00016763	NA	4.36E-06	7.09E-05	4.61E-05	0.00016763	3.11E-05	NA	NA	1.2576	1.8285	NA	0	2.6301	NA	1.8285	0.036267	NA	NA	387.7629	382.0149	NA	294.5421	369.2164	389.6608	382.0149	291.7427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_20130702T0424Z_168_Combined-EVENTS_CAST	SV Tara	TARA_20130629Z	TARA_168	Rosette Vertical Sampling System	7/2/13 4:24	72.5199	44.0552	0.085907	0.087012	0.080718	0.076439187	0.104279093	0.002965304	0.042045169	0.140782042	0.122057071	NA	42.17327881	NA	32	37	11	12	NA	40	39	125	76	7.6864	5.294	4.1677	7.6347	7.5299	NA	3.9927	4.0549	1.6564	2.4342	35.0838	35.1502	35.1437	35.0877	35.0953	NA	35.1314	35.1371	35.1715	35.144	27.2582	27.6293	27.752	27.2689	27.29	NA	27.7608	27.7588	28.0045	27.9195	7.15E-05	0.00056208	9.97E-05	0.0001555	0.00018118	NA	6.08E-05	4.34E-05	1.90E-05	6.78E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	298.5363	320.6478	327.6885	299.0639	299.5629	NA	326.6563	327.0877	292.925	303.0413	-4.713	-4.3042	-4.1442	-4.7083	-3.6674	NA	-3.3279	-3.9602	4.9703	0.4595
TARA_20130524T1315Z_155_Combined-EVENTS_CAST	SV Tara	TARA_20130519Z	TARA_155	Rosette Vertical Sampling System	5/24/13 13:15	54.5742	-16.8345	NA	0.04776	0.046118	0.044903968	0.063158765	0.001452232	0.016687522	0.097461907	0.080570088	NA	67.92635345	NA	46	56	28	343	32	32	15	773	825	11.0816	10.7635	10.7382	10.9549	10.9258	10.9385	10.9385	11.0665	8.6984	8.5333	35.4817	35.4948	35.5029	35.49	35.7026	35.4955	35.4955	35.4825	35.5331	35.5716	27.0089	27.0774	27.0885	27.0388	27.216	27.0461	27.0461	27.0124	27.4686	27.5252	1.18E-06	2.44E-05	3.73E-06	2.31E-05	2.25E-06	1.56E-05	1.56E-05	1.16E-05	3.11E-06	1.30E-05	0.49531	0.7065	0.37488	0.63149	0	0.75805	0.75805	0.54001	0	0	272.2024	256.3815	247.6477	269.3435	233.6097	265.2868	265.2868	272.0646	187.6371	189.7795	7.4781	6.3622	7.7682	5.0713	9.9275	7.4683	7.4683	5.3114	14.3053	14.2033
TARA_20130604T0905Z_158_Combined-EVENTS_CAST	SV Tara	TARA_20130519Z	TARA_158	Rosette Vertical Sampling System	6/4/13 9:05	67.1675	0.2177	NA	NA	0.1114	0.072884277	0.133836299	0.004394499	0.024706971	0.172579575	0.153001841	NA	43.70362473	NA	24	27	13	13	14	18	15	53	768	8.3991	6.9746	6.7694	8.2005	8.2005	8.0331	7.7627	7.9645	6.2641	-0.12012	35.3248	35.3178	35.3129	35.3204	35.3204	35.3192	35.3187	35.32	35.3115	35.065	27.3393	27.5433	27.5678	27.3664	27.3664	27.3908	27.4307	27.4018	27.6348	28.0349	5.63E-05	NA	0.00010065	0.00017335	0.00017335	NA	0.00028921	8.53E-05	1.46E-05	6.26E-07	1.4745	0.92965	0.85344	1.7206	1.7206	1.7206	1.7206	1.7206	0.3775	0.002506	316.6228	318.5751	313.1095	320.4928	320.4928	321.2945	317.9731	321.0382	288.1913	293.768	4.6943	7.3014	7.8957	5.1173	5.1173	4.7618	5.4793	6.3646	10.3198	12.453
TARA_20130610T0838Z_163_Combined-EVENTS_CAST	SV Tara	TARA_20130519Z	TARA_163	Rosette Vertical Sampling System	6/10/13 8:38	76.1246	1.3648	NA	0.729699	0.708425	0.235541716	0.390984058	0.004001465	0.168237537	0.710713833	0.683955436	NA	17.82676029	NA	6	6	NA	NA	104	573	584	104	607	NA	NA	NA	NA	NA	0.68998	0.042176	0.037272	0.68998	0.013771	NA	NA	NA	NA	NA	35.1882	35.1106	35.1098	35.1882	35.1091	NA	NA	NA	NA	NA	28.0852	28.0625	28.0621	28.0852	28.0628	NA	NA	NA	NA	NA	3.25E-07	5.49E-06	4.47E-06	3.25E-07	4.90E-06	NA	NA	NA	NA	NA	0.03112	0	0	0.03112	0	NA	NA	NA	NA	NA	307.025	311.6368	313.543	307.025	312.9463	NA	NA	NA	NA	NA	12.0378	12.3631	11.9471	12.0378	10.7621
TARA_20131008T1824Z_205_Combined-EVENTS_CAST	SV Tara	TARA_20130921Z	TARA_205	Rosette Vertical Sampling System	10/8/13 18:24	72.4456	-71.8814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	243	24	48	13	481	53	-0.51538	NA	NA	-0.34423	-0.32591	-0.50684	-0.1673	-0.51301	1.2856	-0.60463	32.1204	NA	NA	32.1544	33.9539	32.1246	32.452	32.1219	34.5415	32.5571	25.6845	NA	NA	25.7052	27.151	25.6876	25.9367	25.6856	27.5296	26.0393	2.29E-06	NA	NA	7.75E-05	3.43E-05	2.35E-07	0.00022858	9.20E-07	1.11E-05	9.68E-05	1.1896	NA	NA	1.4696	0	1.4582	0.8807	1.332	0	0.52958	354.5152	NA	NA	350.1437	266.5242	353.0492	322.0492	354.0423	226.633	311.6756	3.2684	NA	NA	3.9379	11.78	2.0531	4.7569	3.2426	13.5471	6.3408
TARA_20130929T1637Z_201_Combined-EVENTS_CAST	SV Tara	TARA_20130921Z	TARA_201	Rosette Vertical Sampling System	9/29/13 16:37	74.305	-85.6552	NA	NA	0.076308	NA	NA	NA	NA	0.135902715	0.117336401	NA	NA	NA	19	22	11	14	33	9	13	520	99	-1.5781	-0.76475	-0.34962	-1.5601	-1.4294	-0.55676	-1.5867	-1.4518	0.89361	-0.56562	30.8245	31.662	31.7891	30.8503	31.0952	31.923	30.8075	31.0485	34.5737	32.8798	24.6706	25.3245	25.4118	24.6911	24.8861	25.5273	24.6571	24.8489	27.5816	26.2974	0.00016673	0.00042932	6.02E-05	0.00026685	0.0006145	0.00031615	0.00021042	0.00078913	NA	0.00010043	0.71072	1.2618	1.3118	0.76103	0.96853	1.7124	0.60669	0.81076	0.017493	0.19006	368.1992	359.1403	354.1562	369.0854	368.902	342.1109	368.9744	368.1229	220.9135	286.7731	-1.7838	-1.3867	-1.2588	-1.8729	-0.73607	-2.158	-1.7323	-2.6427	9.3435	3.102
TARA_20131012T1802Z_206_Combined-EVENTS_CAST	SV Tara	TARA_20130921Z	TARA_206	Rosette Vertical Sampling System	10/12/13 18:02	70.9433	-53.5127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	205	14	35	15	472	505	1.4127	NA	NA	1.5412	1.5308	1.4155	2.2729	1.4172	2.8231	2.8091	32.2147	NA	NA	32.2389	34.0247	32.2147	32.5791	32.2148	34.7273	34.7446	25.661	NA	NA	25.6719	27.0987	25.6609	25.8909	25.6608	27.5563	27.5715	5.50E-08	NA	NA	0.00015834	2.55E-05	2.09E-07	0.00034672	4.23E-07	5.81E-06	3.47E-06	0.78804	NA	NA	0.7959	0.0093329	0.83089	0.43675	0.83421	0	0	327.9947	NA	NA	328.8838	256.7147	328.2983	316.4245	328.8874	212.3059	215.3697	2.9872	NA	NA	3.517	10.4889	3.107	3.9171	3.5965	11.5433	12.574
TARA_20131027T1630Z_210_Combined-EVENTS_CAST	SV Tara	TARA_20131020Z	TARA_210	Rosette Vertical Sampling System	10/27/13 16:30	61.5754	-55.9846	NA	NA	0.07946	NA	NA	NA	NA	0.139401261	0.120720252	NA	NA	NA	15	17	70	274	NA	79	13	317	73	5.3577	5.359	5.3596	5.6224	5.1829	NA	5.4744	5.3595	5.0641	5.6724	34.4022	34.4025	34.4026	34.4782	35.1268	NA	34.697	34.4023	35.1223	34.6265	27.0321	27.0323	27.0323	27.0607	27.6266	NA	27.2511	27.032	27.6374	27.1714	8.10E-08	9.20E-08	3.40E-08	0.00024423	3.47E-06	NA	9.50E-05	3.90E-08	5.19E-06	0.00027624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	293.7846	293.663	293.3694	287.7516	269.4429	NA	279.541	293.6654	267.7757	283.0155	9.2962	10.4691	10.1626	10.4227	15.8703	NA	12.5903	10.0706	15.8325	10.4445
TARA_20131023T1736Z_209_Combined-EVENTS_CAST	SV Tara	TARA_20131020Z	TARA_209	Rosette Vertical Sampling System	10/23/13 17:36	64.7	-52.996	NA	NA	0.087467	NA	NA	NA	NA	0.148057778	0.129112369	NA	NA	NA	18	21	15	17	NA	89	14	424	426	2.5302	2.7957	2.8686	2.6455	2.7192	NA	3.5037	2.5912	4.2712	4.2643	32.7619	32.9038	32.9352	32.8075	32.8538	NA	33.4932	32.7841	34.8184	34.8169	26.0161	26.1071	26.1259	26.043	26.0737	NA	26.5121	26.0288	27.4867	27.4863	2.33E-06	0.00011324	0.00014935	0.00013915	0.00015965	NA	9.00E-05	0.00012609	2.28E-06	1.66E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	324.9147	322.9526	321.2185	324.899	323.838	NA	303.2572	324.8621	271.4095	271.8754	5.7959	5.8364	5.6261	5.6645	5.5691	NA	6.683	5.7479	9.1732	9.3791
