Sample_event_ID	start_ISO_dateTime	stop_ISO_dateTime	start_lat	stop_lat	start_lon	stop_lon	Cruise_ID	Station_name	sampling_event_type	cruise_expedition
TARA_20131027T1630Z_210_Combined-EVENTS_CAST	2013-10-27 16:30:00	2013-10-27 21:38:00	61.575	64.513	-55.985	-55.989	TARA_20131020Z	TARA_210	cast	Tara Oceans
TARA_20131027T1016Z_210_EVENT_PUMP	2013-10-27 10:16:00	2013-10-27 13:26:00	61.543	61.521	-55.987	-55.997	TARA_20131020Z	TARA_210	pump	Tara Oceans
TARA_20131023T1736Z_209_Combined-EVENTS_CAST	2013-10-23 17:36:00	2013-10-23 23:49:00	64.7	64.76	-52.996	-53.121	TARA_20131020Z	TARA_209	cast	Tara Oceans
TARA_20131023T1025Z_209_EVENT_PUMP	2013-10-23 10:25:00	2013-10-23 13:17:00	64.713	64.761	-53.011	-53.107	TARA_20131020Z	TARA_209	pump	Tara Oceans
TARA_20131020T1034Z_208_EVENT_PUMP	2013-10-20 10:34:00	2013-10-20 15:00:00	69.114	69.109	-51.509	-51.637	TARA_20131020Z	TARA_208	pump	Tara Oceans
TARA_20131012T1802Z_206_Combined-EVENTS_CAST	2013-10-12 18:02:00	2013-10-12 23:19:00	70.943	70.912	-53.513	-53.535	TARA_20130921Z	TARA_206	cast	Tara Oceans
TARA_20131012T1109Z_206_EVENT_PUMP	2013-10-12 11:09:00	2013-10-12 13:33:00	70.957	70.971	-53.599	-53.597	TARA_20130921Z	TARA_206	pump	Tara Oceans
TARA_20131008T1824Z_205_Combined-EVENTS_CAST	2013-10-08 18:24:00	2013-10-08 18:53:00	72.446	72.37	-71.881	-72.023	TARA_20130921Z	TARA_205	cast	Tara Oceans
TARA_20131008T1215Z_205_EVENT_PUMP	2013-10-08 12:15:00	2013-10-08 15:19:00	72.469	72.477	-71.892	-71.933	TARA_20130921Z	TARA_205	pump	Tara Oceans
TARA_20130930T2233Z_201_Combined-EVENTS_CAST	2013-09-30 22:33:00	2013-10-01 00:49:00	74.339	74.335	-85.621	-85.541	TARA_20130921Z	TARA_201	cast	Tara Oceans
TARA_20130930T1502Z_201_EVENT_PUMP	2013-09-30 15:02:00	2013-09-30 17:33:00	74.299	74.322	-85.781	-85.912	TARA_20130921Z	TARA_201	pump	Tara Oceans
TARA_20130929T1637Z_201_Combined-EVENTS_CAST	2013-09-29 16:37:00	2013-09-30 13:37:00	74.305	74.305	-85.655	-85.742	TARA_20130921Z	TARA_201	cast	Tara Oceans
TARA_20130914T1730Z_196_EVENT_PUMP	2013-09-14 17:30:00	2013-09-14 20:06:00	71.889	71.921	-154.91	-154.937	TARA_20130907Z	TARA_196	pump	Tara Oceans
TARA_20130912T0359Z_194_EVENT_PUMP	2013-09-12 03:59:00	2013-09-12 04:52:00	73.328	73.309	-168.814	-168.903	TARA_20130907Z	TARA_194	pump	Tara Oceans
TARA_20130911T2000Z_194_EVENT_PUMP	2013-09-11 20:00:00	2013-09-11 23:00:00	73.383	73.383	-168.133	-168.333	TARA_20130907Z	TARA_194	pump	Tara Oceans
TARA_20130908T0245Z_193_EVENT_PUMP	2013-09-08 02:45:00	2013-09-08 04:45:00	71.07	NA	174.992	NA	TARA_20130907Z	TARA_193	pump	Tara Oceans
TARA_20130902T2237Z_191_EVENT_PUMP	2013-09-02 22:37:00	2013-09-03 00:27:00	71.596	71.544	160.938	160.942	TARA_20130801Z	TARA_191	pump	Tara Oceans
TARA_20130828T0047Z_189_Combined-EVENTS_CAST	2013-08-28 00:47:00	2013-08-28 05:02:00	78.039	78.143	116.41	115.809	TARA_20130801Z	TARA_189	cast	Tara Oceans
TARA_20130827T1140Z_189_EVENT_PUMP	2013-08-27 11:40:00	2013-08-27 13:11:00	77.967	78.001	116.656	116.47	TARA_20130801Z	TARA_189	pump	Tara Oceans
TARA_20130827T0153Z_189_EVENT_PUMP	2013-08-27 01:53:00	2013-08-27 03:48:00	77.903	77.93	117.154	116.994	TARA_20130801Z	TARA_189	pump	Tara Oceans
TARA_20130815T0754Z_188_EVENT_PUMP	2013-08-15 07:54:00	2013-08-15 09:50:00	78.356	78.34	91.608	91.642	TARA_20130801Z	TARA_188	pump	Tara Oceans
TARA_20130815T0030Z_188_EVENT_PUMP	2013-08-15 00:30:00	2013-08-15 03:39:00	78.252	78.319	91.856	91.72	TARA_20130801Z	TARA_188	pump	Tara Oceans
TARA_20130718T0827Z_180_EVENT_PUMP	2013-07-18 08:27:00	2013-07-18 11:30:00	74.828	NA	76.21	NA	TARA_20130629Z	TARA_180	pump	Tara Oceans
TARA_20130718T0204Z_180_EVENT_PUMP	2013-07-18 02:04:00	2013-07-18 05:50:00	74.802	74.8	76.148	76.088	TARA_20130629Z	TARA_180	pump	Tara Oceans
TARA_20130715T0211Z_178_EVENT_PUMP	2013-07-15 02:11:00	2013-07-15 06:04:00	77.16	77.302	73.206	73.244	TARA_20130629Z	TARA_178	pump	Tara Oceans
